relative_path	size	sha256	role	family	resource_id
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_100_H1.txt	740	85a2aac5aacac337f8c2d6fefdf40ae0a1b02d29366625226ae605d3f1398215	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_100_H2.txt	774	1f044b1894c967f63f148bcdcc4eed09d444609185ebbfd1121331c485a31eef	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_100_H3.txt	792	11c11ec895d10de7f16d1c972ca19f3e3b8b6745a7f35f614d724c2a20f1daa1	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_100_H4.txt	807	edb5cf23e037f609e6682d7f3b147855d62b21afaac5010420afd1200a6cd8fe	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_150_H1.txt	1059	5c1b6cda1815220f2125b817e5e78addf94a520b7c6be3781c6b702771a6394a	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_150_H2.txt	1098	17fecbce74e5c0ecd2db4719b4a9c6651dee41aa860e594784dedb94e72d576f	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_150_H3.txt	1130	0c5d574005ec1cdf0b860f7b11fb6c4ed452b44c9d3ba51980c46e980fbec6c5	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_150_H4.txt	1152	4a7f3b3417f63175ad189eaa77aea32dba214ab7d67152404fc28ba0a2fd88ff	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_200_H1.txt	1357	b87f4b01e75de79673df69e9c5a47a91bfa3c83735f3b94172a9029e2c896264	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_200_H2.txt	1412	4b512f26680ea8972e1633d2110befcb31e268a8a4c1798792f1e23c5740ed96	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
legacy/W1-W2-W3-W4_Albareda/ArrivalTimes/TiemposOrders_E_200_H3.txt	1455	3f3029d89d8d1af240dce6c91146aac7816ba0535a64bbab46c84ab5eb67ae6b	AUTHOR_GENERATED_DATA	W1-W4	albareda-arrival-times
