no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: c
routing___: s
type______: n
no_orders_: 40
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 50
start_time: 0
MTCR______: 0.75
m_no_o_p_b: 500000
m_no_a_p_b: 45
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 48
speed_pick: 6
art_capacy: 27466
empty_posi: 25990
chaotical_: 28091
9130,4153,1313,13105,17614,
20660,7211,20718,8637,25816,
32380,6651,26223,10773,20045,
8992,25745,1883,25368,26814,
8192,26928,26262,19435,2124,
9351,15223,25459,28345,23650,
4070,12520,5,21520,6898,
14187,29452,8399,12569,11817,
17873,26596,20494,29810,7035,
26470,2664,31765,28018,2922,
4167,1825,32305,27977,21625,
31103,26693,28049,18698,17445,
27729,22900,6596,10594,21311,
9406,20214,7348,21731,28834,
2711,21165,9824,11297,178,
24847,17649,875,30914,17049,
4616,18657,6396,28841,6929,
13554,1134,28773,4085,29123,
9539,6339,8859,9669,30590,
7811,7646,14791,10041,21518,
5988,17975,8952,2188,21832,
13030,9291,3547,27825,31693,
26081,7306,19610,4052,4674,
26395,18406,30136,21975,14993,
18578,15853,13611,13547,1716,
14271,581,24071,5304,13714,
17958,2083,4119,31294,2208,
8530,14628,25658,32015,24790,
2699,17547,30382,28355,24947,
8426,20392,19200,17138,18547,
3606,21478,14437,25965,11874,
21894,21355,26295,22573,7071,
16235,31372,1777,31219,765,
25692,6632,6949,27268,874,
10107,12266,15682,22695,1720,
1750,3061,13771,29805,32605,
13832,27779,19891,9536,31106,
14106,22643,7298,17157,23626,
24216,29641,25322,23732,24740,
22605,9305,32329,5965,28181,
14528,4994,16437,14492,25719,
2554,24006,1137,28145,4931,
17440,22690,16750,32445,28851,
8766,26817,31871,20517,16774,
3987,22968,20395,21923,17516,
8360,16324,10114,10591,31914,
9314,352,1860,16245,7151,
23536,10074,22967,18678,13706,
2418,18267,29940,20072,20001,
18157,2885,28062,17392,13560,
