Order 0	number of articles 13	due date 84.8542
0	Aisle 3	Location 30
1	Aisle 1	Location 22
2	Aisle 1	Location 32
3	Aisle 9	Location 3
4	Aisle 5	Location 12
5	Aisle 5	Location 25
6	Aisle 0	Location 33
7	Aisle 1	Location 41
8	Aisle 0	Location 1
9	Aisle 0	Location 42
10	Aisle 3	Location 16
11	Aisle 0	Location 5
12	Aisle 0	Location 29
Order 1	number of articles 14	due date 9.85417
0	Aisle 0	Location 43
1	Aisle 1	Location 9
2	Aisle 1	Location 3
3	Aisle 3	Location 30
4	Aisle 0	Location 23
5	Aisle 0	Location 5
6	Aisle 2	Location 26
7	Aisle 11	Location 24
8	Aisle 4	Location 4
9	Aisle 0	Location 13
10	Aisle 5	Location 38
11	Aisle 2	Location 6
12	Aisle 0	Location 11
13	Aisle 17	Location 1
Order 2	number of articles 7	due date 67.8542
0	Aisle 0	Location 38
1	Aisle 0	Location 39
2	Aisle 1	Location 22
3	Aisle 1	Location 18
4	Aisle 0	Location 10
5	Aisle 0	Location 26
6	Aisle 1	Location 0
Order 3	number of articles 20	due date 147.854
0	Aisle 0	Location 38
1	Aisle 0	Location 34
2	Aisle 0	Location 36
3	Aisle 1	Location 35
4	Aisle 0	Location 6
5	Aisle 3	Location 2
6	Aisle 1	Location 8
7	Aisle 3	Location 10
8	Aisle 0	Location 29
9	Aisle 13	Location 22
10	Aisle 4	Location 35
11	Aisle 5	Location 19
12	Aisle 1	Location 36
13	Aisle 3	Location 4
14	Aisle 1	Location 44
15	Aisle 18	Location 41
16	Aisle 1	Location 28
17	Aisle 2	Location 33
18	Aisle 3	Location 36
19	Aisle 5	Location 30
Order 4	number of articles 5	due date 38.8542
0	Aisle 1	Location 33
1	Aisle 4	Location 36
2	Aisle 3	Location 7
3	Aisle 4	Location 1
4	Aisle 0	Location 19
Order 5	number of articles 13	due date 27.8542
0	Aisle 1	Location 11
1	Aisle 7	Location 40
2	Aisle 5	Location 5
3	Aisle 1	Location 29
4	Aisle 3	Location 12
5	Aisle 4	Location 43
6	Aisle 0	Location 20
7	Aisle 0	Location 38
8	Aisle 1	Location 43
9	Aisle 0	Location 39
10	Aisle 0	Location 10
11	Aisle 5	Location 28
12	Aisle 5	Location 26
Order 6	number of articles 23	due date 33.8542
0	Aisle 0	Location 4
1	Aisle 5	Location 33
2	Aisle 1	Location 22
3	Aisle 0	Location 43
4	Aisle 1	Location 10
5	Aisle 0	Location 16
6	Aisle 3	Location 4
7	Aisle 0	Location 37
8	Aisle 0	Location 21
9	Aisle 4	Location 4
10	Aisle 5	Location 30
11	Aisle 0	Location 33
12	Aisle 1	Location 14
13	Aisle 4	Location 0
14	Aisle 1	Location 30
15	Aisle 0	Location 6
16	Aisle 0	Location 2
17	Aisle 1	Location 1
18	Aisle 5	Location 17
19	Aisle 1	Location 4
20	Aisle 3	Location 30
21	Aisle 1	Location 26
22	Aisle 1	Location 13
Order 7	number of articles 7	due date 16.8542
0	Aisle 2	Location 22
1	Aisle 1	Location 24
2	Aisle 2	Location 15
3	Aisle 0	Location 25
4	Aisle 5	Location 5
5	Aisle 1	Location 14
6	Aisle 2	Location 23
Order 8	number of articles 24	due date 21.8542
0	Aisle 0	Location 25
1	Aisle 0	Location 34
2	Aisle 1	Location 6
3	Aisle 9	Location 42
4	Aisle 18	Location 15
5	Aisle 0	Location 3
6	Aisle 0	Location 16
7	Aisle 15	Location 6
8	Aisle 3	Location 4
9	Aisle 2	Location 27
10	Aisle 15	Location 41
11	Aisle 10	Location 20
12	Aisle 3	Location 31
13	Aisle 1	Location 41
14	Aisle 5	Location 31
15	Aisle 0	Location 9
16	Aisle 1	Location 1
17	Aisle 1	Location 32
18	Aisle 0	Location 22
19	Aisle 1	Location 28
20	Aisle 0	Location 44
21	Aisle 1	Location 15
22	Aisle 0	Location 21
23	Aisle 0	Location 11
Order 9	number of articles 15	due date 140.854
0	Aisle 5	Location 40
1	Aisle 0	Location 38
2	Aisle 0	Location 12
3	Aisle 18	Location 35
4	Aisle 1	Location 17
5	Aisle 7	Location 33
6	Aisle 4	Location 17
7	Aisle 10	Location 19
8	Aisle 4	Location 20
9	Aisle 1	Location 12
10	Aisle 5	Location 21
11	Aisle 0	Location 17
12	Aisle 19	Location 17
13	Aisle 3	Location 27
14	Aisle 4	Location 36
Order 10	number of articles 11	due date 137.854
0	Aisle 0	Location 22
1	Aisle 0	Location 21
2	Aisle 0	Location 41
3	Aisle 1	Location 17
4	Aisle 5	Location 11
5	Aisle 1	Location 30
6	Aisle 1	Location 33
7	Aisle 1	Location 27
8	Aisle 5	Location 7
9	Aisle 0	Location 16
10	Aisle 10	Location 1
Order 11	number of articles 15	due date 145.854
0	Aisle 2	Location 13
1	Aisle 0	Location 32
2	Aisle 0	Location 26
3	Aisle 3	Location 42
4	Aisle 5	Location 5
5	Aisle 0	Location 36
6	Aisle 0	Location 41
7	Aisle 6	Location 37
8	Aisle 14	Location 35
9	Aisle 18	Location 13
10	Aisle 5	Location 23
11	Aisle 1	Location 33
12	Aisle 1	Location 40
13	Aisle 1	Location 9
14	Aisle 4	Location 23
Order 12	number of articles 17	due date 121.854
0	Aisle 0	Location 30
1	Aisle 5	Location 13
2	Aisle 0	Location 14
3	Aisle 1	Location 1
