Order 0	number of articles 21	due date 94.2083
0	Aisle 0	Location 40
1	Aisle 1	Location 12
2	Aisle 1	Location 22
3	Aisle 1	Location 16
4	Aisle 2	Location 13
5	Aisle 14	Location 35
6	Aisle 2	Location 30
7	Aisle 3	Location 21
8	Aisle 4	Location 40
9	Aisle 5	Location 33
10	Aisle 1	Location 19
11	Aisle 0	Location 5
12	Aisle 5	Location 5
13	Aisle 1	Location 1
14	Aisle 0	Location 15
15	Aisle 0	Location 44
16	Aisle 5	Location 31
17	Aisle 0	Location 13
18	Aisle 14	Location 2
19	Aisle 1	Location 44
20	Aisle 1	Location 8
Order 1	number of articles 21	due date 766.208
0	Aisle 5	Location 36
1	Aisle 4	Location 4
2	Aisle 2	Location 4
3	Aisle 0	Location 11
4	Aisle 0	Location 12
5	Aisle 5	Location 23
6	Aisle 0	Location 17
7	Aisle 19	Location 0
8	Aisle 0	Location 33
9	Aisle 2	Location 30
10	Aisle 2	Location 38
11	Aisle 4	Location 13
12	Aisle 0	Location 13
13	Aisle 0	Location 36
14	Aisle 0	Location 9
15	Aisle 0	Location 32
16	Aisle 1	Location 7
17	Aisle 0	Location 6
18	Aisle 4	Location 2
19	Aisle 0	Location 37
20	Aisle 4	Location 21
Order 2	number of articles 18	due date 752.208
0	Aisle 1	Location 7
1	Aisle 1	Location 4
2	Aisle 1	Location 15
3	Aisle 1	Location 43
4	Aisle 5	Location 23
5	Aisle 0	Location 35
6	Aisle 1	Location 29
7	Aisle 0	Location 31
8	Aisle 0	Location 29
9	Aisle 0	Location 10
10	Aisle 1	Location 3
11	Aisle 11	Location 25
12	Aisle 1	Location 40
13	Aisle 18	Location 43
14	Aisle 0	Location 39
15	Aisle 0	Location 14
16	Aisle 0	Location 1
17	Aisle 2	Location 20
Order 3	number of articles 15	due date 300.208
0	Aisle 5	Location 44
1	Aisle 1	Location 24
2	Aisle 1	Location 10
3	Aisle 2	Location 13
4	Aisle 1	Location 35
5	Aisle 14	Location 42
6	Aisle 1	Location 17
7	Aisle 0	Location 19
8	Aisle 5	Location 10
9	Aisle 1	Location 18
10	Aisle 2	Location 12
11	Aisle 4	Location 31
12	Aisle 0	Location 12
13	Aisle 1	Location 0
14	Aisle 0	Location 26
Order 4	number of articles 18	due date 728.208
0	Aisle 5	Location 31
1	Aisle 3	Location 14
2	Aisle 5	Location 9
3	Aisle 0	Location 2
4	Aisle 2	Location 42
5	Aisle 1	Location 14
6	Aisle 1	Location 19
7	Aisle 0	Location 34
8	Aisle 0	Location 42
9	Aisle 4	Location 37
10	Aisle 3	Location 40
11	Aisle 1	Location 11
12	Aisle 0	Location 20
13	Aisle 5	Location 11
14	Aisle 0	Location 9
15	Aisle 0	Location 24
16	Aisle 1	Location 13
17	Aisle 12	Location 7
Order 5	number of articles 14	due date 401.208
0	Aisle 1	Location 25
1	Aisle 1	Location 4
2	Aisle 0	Location 8
3	Aisle 0	Location 44
4	Aisle 0	Location 20
5	Aisle 5	Location 38
6	Aisle 16	Location 30
7	Aisle 1	Location 21
8	Aisle 10	Location 12
9	Aisle 0	Location 23
10	Aisle 3	Location 35
11	Aisle 12	Location 33
12	Aisle 18	Location 5
13	Aisle 8	Location 12
Order 6	number of articles 11	due date 122.208
0	Aisle 1	Location 30
1	Aisle 0	Location 2
2	Aisle 5	Location 17
3	Aisle 0	Location 10
4	Aisle 0	Location 24
5	Aisle 4	Location 23
6	Aisle 0	Location 13
7	Aisle 4	Location 3
8	Aisle 3	Location 22
9	Aisle 0	Location 7
10	Aisle 1	Location 40
Order 7	number of articles 17	due date 452.208
0	Aisle 1	Location 10
1	Aisle 0	Location 35
2	Aisle 1	Location 8
3	Aisle 8	Location 23
4	Aisle 12	Location 13
5	Aisle 9	Location 11
6	Aisle 0	Location 19
7	Aisle 5	Location 17
8	Aisle 1	Location 12
9	Aisle 1	Location 31
10	Aisle 17	Location 26
11	Aisle 7	Location 21
12	Aisle 5	Location 25
13	Aisle 1	Location 23
14	Aisle 0	Location 17
15	Aisle 1	Location 1
16	Aisle 0	Location 9
Order 8	number of articles 22	due date 375.208
0	Aisle 1	Location 30
1	Aisle 0	Location 9
2	Aisle 0	Location 18
3	Aisle 12	Location 25
4	Aisle 1	Location 31
5	Aisle 1	Location 41
6	Aisle 0	Location 19
7	Aisle 1	Location 35
8	Aisle 3	Location 25
9	Aisle 0	Location 30
10	Aisle 1	Location 23
11	Aisle 0	Location 20
12	Aisle 3	Location 29
13	Aisle 2	Location 29
14	Aisle 8	Location 41
15	Aisle 4	Location 1
16	Aisle 0	Location 29
17	Aisle 0	Location 8
18	Aisle 1	Location 29
19	Aisle 1	Location 13
20	Aisle 1	Location 12
21	Aisle 1	Location 39
Order 9	number of articles 10	due date 475.208
0	Aisle 3	Location 3
1	Aisle 1	Location 19
