Order 0	number of articles 19	due date 15.7292
0	Aisle 5	Location 36
1	Aisle 3	Location 3
2	Aisle 5	Location 33
3	Aisle 3	Location 20
4	Aisle 0	Location 8
5	Aisle 1	Location 33
6	Aisle 1	Location 29
7	Aisle 3	Location 0
8	Aisle 0	Location 35
9	Aisle 3	Location 43
10	Aisle 0	Location 11
11	Aisle 1	Location 7
12	Aisle 2	Location 34
13	Aisle 5	Location 5
14	Aisle 3	Location 6
15	Aisle 1	Location 31
16	Aisle 4	Location 15
17	Aisle 0	Location 44
18	Aisle 5	Location 11
Order 1	number of articles 18	due date 94.7292
0	Aisle 16	Location 19
1	Aisle 0	Location 25
2	Aisle 17	Location 20
3	Aisle 1	Location 31
4	Aisle 4	Location 42
5	Aisle 0	Location 22
6	Aisle 1	Location 39
7	Aisle 3	Location 20
8	Aisle 0	Location 39
9	Aisle 1	Location 3
10	Aisle 0	Location 14
11	Aisle 4	Location 5
12	Aisle 0	Location 8
13	Aisle 2	Location 7
14	Aisle 1	Location 15
15	Aisle 3	Location 1
16	Aisle 0	Location 11
17	Aisle 1	Location 43
Order 2	number of articles 21	due date 44.7292
0	Aisle 0	Location 41
1	Aisle 1	Location 18
2	Aisle 0	Location 43
3	Aisle 5	Location 31
4	Aisle 1	Location 22
5	Aisle 2	Location 41
6	Aisle 0	Location 5
7	Aisle 0	Location 28
8	Aisle 1	Location 31
9	Aisle 0	Location 38
10	Aisle 0	Location 16
11	Aisle 3	Location 15
12	Aisle 0	Location 18
13	Aisle 5	Location 20
14	Aisle 1	Location 21
15	Aisle 8	Location 39
16	Aisle 0	Location 10
17	Aisle 17	Location 19
18	Aisle 4	Location 8
19	Aisle 1	Location 28
20	Aisle 3	Location 40
Order 3	number of articles 21	due date 68.7292
0	Aisle 5	Location 42
1	Aisle 1	Location 38
2	Aisle 12	Location 11
3	Aisle 0	Location 25
4	Aisle 4	Location 44
5	Aisle 1	Location 41
6	Aisle 1	Location 22
7	Aisle 1	Location 37
8	Aisle 3	Location 27
9	Aisle 5	Location 24
10	Aisle 4	Location 13
11	Aisle 4	Location 12
12	Aisle 3	Location 29
13	Aisle 1	Location 39
14	Aisle 0	Location 43
15	Aisle 3	Location 36
16	Aisle 6	Location 11
17	Aisle 4	Location 7
18	Aisle 0	Location 39
19	Aisle 9	Location 17
20	Aisle 1	Location 30
Order 4	number of articles 13	due date 101.729
0	Aisle 1	Location 19
1	Aisle 4	Location 32
2	Aisle 9	Location 17
3	Aisle 3	Location 2
4	Aisle 1	Location 21
5	Aisle 1	Location 42
6	Aisle 3	Location 40
7	Aisle 3	Location 25
8	Aisle 2	Location 22
9	Aisle 0	Location 3
10	Aisle 1	Location 25
11	Aisle 2	Location 38
12	Aisle 2	Location 29
Order 5	number of articles 23	due date 33.7292
0	Aisle 2	Location 18
1	Aisle 1	Location 20
2	Aisle 13	Location 5
3	Aisle 4	Location 36
4	Aisle 1	Location 7
5	Aisle 18	Location 4
6	Aisle 0	Location 0
7	Aisle 1	Location 26
8	Aisle 2	Location 0
9	Aisle 4	Location 41
10	Aisle 5	Location 11
11	Aisle 4	Location 28
12	Aisle 0	Location 22
13	Aisle 0	Location 5
14	Aisle 1	Location 18
15	Aisle 2	Location 19
16	Aisle 0	Location 21
17	Aisle 0	Location 29
18	Aisle 2	Location 24
19	Aisle 5	Location 17
20	Aisle 0	Location 24
21	Aisle 1	Location 39
22	Aisle 0	Location 25
Order 6	number of articles 21	due date 32.7292
0	Aisle 1	Location 44
1	Aisle 1	Location 18
2	Aisle 2	Location 13
3	Aisle 4	Location 19
4	Aisle 4	Location 35
5	Aisle 2	Location 16
6	Aisle 0	Location 20
7	Aisle 3	Location 24
8	Aisle 0	Location 19
9	Aisle 2	Location 26
10	Aisle 7	Location 36
11	Aisle 4	Location 10
12	Aisle 6	Location 34
13	Aisle 14	Location 36
14	Aisle 19	Location 20
15	Aisle 3	Location 34
16	Aisle 13	Location 27
17	Aisle 4	Location 16
18	Aisle 1	Location 32
19	Aisle 2	Location 43
20	Aisle 2	Location 17
Order 7	number of articles 14	due date 59.7292
0	Aisle 4	Location 2
1	Aisle 1	Location 11
2	Aisle 0	Location 27
3	Aisle 1	Location 22
4	Aisle 0	Location 10
5	Aisle 5	Location 29
6	Aisle 1	Location 15
7	Aisle 12	Location 1
8	Aisle 4	Location 19
9	Aisle 4	Location 22
10	Aisle 2	Location 19
11	Aisle 0	Location 6
12	Aisle 1	Location 23
13	Aisle 0	Location 35
Order 8	number of articles 8	due date 117.729
0	Aisle 1	Location 10
1	Aisle 1	Location 22
2	Aisle 1	Location 24
3	Aisle 0	Location 1
4	Aisle 2	Location 39
5	Aisle 2	Location 18
6	Aisle 4	Location 27
7	Aisle 4	Location 30
Order 9	number of articles 18	due date 40.7292
0	Aisle 0	Location 44
1	Aisle 5	Location 24
2	Aisle 4	Location 41
3	Aisle 0	Location 27
4	Aisle 1	Location 16
5	Aisle 3	Location 9
6	Aisle 1	Location 30
7	Aisle 2	Location 2
8	Aisle 2	Location 41
9	Aisle 4	Location 17
10	Aisle 2	Location 11
11	Aisle 1	Location 24
12	Aisle 11	Location 23
13	Aisle 5	Location 43
14	Aisle 1	Location 13
15	Aisle 3	Location 40
16	Aisle 6	Location 9
17	Aisle 4	Location 34
Order 10	number of articles 8	due date 55.7292
0	Aisle 0	Location 1
1	Aisle 4	Location 7
2	Aisle 11	Location 15
3	Aisle 19	Location 19
4	Aisle 1	Location 40
5	Aisle 1	Location 3
6	Aisle 5	Location 40
7	Aisle 0	Location 21
Order 11	number of articles 21	due date 53.7292
0	Aisle 0	Location 10
1	Aisle 5	Location 33
2	Aisle 1	Location 24
3	Aisle 4	Location 10
4	Aisle 1	Location 42
5	Aisle 0	Location 43
6	Aisle 4	Location 3
7	Aisle 1	Location 6
8	Aisle 1	Location 8
9	Aisle 1	Location 41
10	Aisle 0	Location 8
11	Aisle 0	Location 23
12	Aisle 2	Location 7
13	Aisle 9	Location 43
14	Aisle 1	Location 22
15	Aisle 0	Location 12
16	Aisle 0	Location 15
17	Aisle 1	Location 26
18	Aisle 1	Location 14
19	Aisle 2	Location 27
20	Aisle 5	Location 39
Order 12	number of articles 11	due date 95.7292
0	Aisle 1	Location 33
1	Aisle 1	Location 8
2	Aisle 1	Location 10
