Order 0	number of articles 20	due date 66.75
0	Aisle 3	Location 32
1	Aisle 1	Location 1
2	Aisle 3	Location 11
3	Aisle 0	Location 33
4	Aisle 16	Location 9
5	Aisle 1	Location 40
6	Aisle 5	Location 19
7	Aisle 6	Location 24
8	Aisle 1	Location 20
9	Aisle 2	Location 32
10	Aisle 1	Location 10
11	Aisle 1	Location 18
12	Aisle 3	Location 23
13	Aisle 1	Location 9
14	Aisle 1	Location 25
15	Aisle 0	Location 18
16	Aisle 4	Location 19
17	Aisle 2	Location 10
18	Aisle 5	Location 3
19	Aisle 8	Location 29
Order 1	number of articles 20	due date 7.75
0	Aisle 0	Location 15
1	Aisle 0	Location 9
2	Aisle 0	Location 6
3	Aisle 0	Location 29
4	Aisle 0	Location 35
5	Aisle 5	Location 29
6	Aisle 0	Location 4
7	Aisle 1	Location 42
8	Aisle 1	Location 12
9	Aisle 5	Location 39
10	Aisle 2	Location 31
11	Aisle 2	Location 21
12	Aisle 3	Location 32
13	Aisle 18	Location 34
14	Aisle 7	Location 28
15	Aisle 0	Location 25
16	Aisle 1	Location 33
17	Aisle 1	Location 29
18	Aisle 2	Location 4
19	Aisle 5	Location 31
Order 2	number of articles 7	due date 38.75
0	Aisle 11	Location 37
1	Aisle 0	Location 9
2	Aisle 1	Location 8
3	Aisle 4	Location 32
4	Aisle 2	Location 16
5	Aisle 1	Location 32
6	Aisle 1	Location 21
Order 3	number of articles 11	due date 81.75
0	Aisle 3	Location 0
1	Aisle 6	Location 22
2	Aisle 15	Location 34
3	Aisle 5	Location 14
4	Aisle 1	Location 4
5	Aisle 2	Location 21
6	Aisle 14	Location 35
7	Aisle 0	Location 26
8	Aisle 19	Location 2
9	Aisle 3	Location 36
10	Aisle 1	Location 39
Order 4	number of articles 16	due date 26.75
0	Aisle 1	Location 35
1	Aisle 3	Location 24
2	Aisle 0	Location 26
3	Aisle 13	Location 18
4	Aisle 2	Location 44
5	Aisle 1	Location 21
6	Aisle 0	Location 31
7	Aisle 0	Location 4
8	Aisle 4	Location 3
9	Aisle 0	Location 12
10	Aisle 1	Location 44
11	Aisle 3	Location 10
12	Aisle 1	Location 7
13	Aisle 5	Location 25
14	Aisle 3	Location 32
15	Aisle 1	Location 16
Order 5	number of articles 21	due date 80.75
0	Aisle 0	Location 26
1	Aisle 3	Location 3
2	Aisle 0	Location 42
3	Aisle 5	Location 30
4	Aisle 4	Location 30
5	Aisle 1	Location 34
6	Aisle 0	Location 43
7	Aisle 4	Location 13
8	Aisle 1	Location 12
9	Aisle 1	Location 3
10	Aisle 1	Location 40
11	Aisle 1	Location 16
12	Aisle 5	Location 40
13	Aisle 4	Location 10
14	Aisle 0	Location 2
15	Aisle 3	Location 42
16	Aisle 0	Location 12
17	Aisle 0	Location 13
18	Aisle 2	Location 29
19	Aisle 1	Location 11
20	Aisle 0	Location 21
Order 6	number of articles 17	due date 8.75
0	Aisle 4	Location 29
1	Aisle 15	Location 35
2	Aisle 2	Location 17
3	Aisle 2	Location 38
4	Aisle 13	Location 40
5	Aisle 0	Location 33
6	Aisle 1	Location 11
7	Aisle 1	Location 19
8	Aisle 5	Location 17
9	Aisle 0	Location 19
10	Aisle 3	Location 36
11	Aisle 3	Location 19
12	Aisle 3	Location 8
13	Aisle 0	Location 23
14	Aisle 9	Location 43
15	Aisle 19	Location 25
16	Aisle 1	Location 23
Order 7	number of articles 12	due date 68.75
0	Aisle 1	Location 24
1	Aisle 1	Location 19
2	Aisle 1	Location 3
3	Aisle 0	Location 3
4	Aisle 5	Location 41
5	Aisle 0	Location 40
6	Aisle 3	Location 27
7	Aisle 0	Location 39
8	Aisle 5	Location 2
9	Aisle 0	Location 31
10	Aisle 6	Location 20
11	Aisle 1	Location 38
Order 8	number of articles 18	due date 101.75
0	Aisle 0	Location 28
1	Aisle 1	Location 15
2	Aisle 1	Location 29
3	Aisle 11	Location 43
4	Aisle 0	Location 20
5	Aisle 0	Location 39
6	Aisle 0	Location 14
7	Aisle 5	Location 18
8	Aisle 1	Location 36
9	Aisle 1	Location 17
10	Aisle 0	Location 0
11	Aisle 1	Location 14
12	Aisle 4	Location 28
13	Aisle 1	Location 40
14	Aisle 1	Location 42
15	Aisle 3	Location 21
16	Aisle 3	Location 8
17	Aisle 4	Location 43
Order 9	number of articles 16	due date 38.75
0	Aisle 5	Location 42
1	Aisle 4	Location 7
2	Aisle 0	Location 16
3	Aisle 4	Location 17
4	Aisle 2	Location 14
5	Aisle 0	Location 5
6	Aisle 2	Location 18
7	Aisle 8	Location 10
8	Aisle 1	Location 15
9	Aisle 2	Location 6
10	Aisle 0	Location 3
11	Aisle 1	Location 35
12	Aisle 2	Location 25
13	Aisle 1	Location 1
14	Aisle 0	Location 41
15	Aisle 1	Location 6
Order 10	number of articles 10	due date 36.75
0	Aisle 1	Location 31
1	Aisle 0	Location 28
2	Aisle 4	Location 7
3	Aisle 0	Location 25
4	Aisle 14	Location 19
5	Aisle 1	Location 43
6	Aisle 1	Location 0
7	Aisle 0	Location 36
8	Aisle 0	Location 1
9	Aisle 0	Location 30
Order 11	number of articles 22	due date 56.75
0	Aisle 0	Location 37
