Order 0	number of articles 20	due date 219.833
0	Aisle 3	Location 18
1	Aisle 17	Location 38
2	Aisle 0	Location 17
3	Aisle 1	Location 44
4	Aisle 0	Location 10
5	Aisle 16	Location 30
6	Aisle 1	Location 21
7	Aisle 12	Location 37
8	Aisle 17	Location 20
9	Aisle 1	Location 34
10	Aisle 1	Location 24
11	Aisle 0	Location 43
12	Aisle 2	Location 13
13	Aisle 1	Location 37
14	Aisle 3	Location 35
15	Aisle 0	Location 37
16	Aisle 0	Location 0
17	Aisle 1	Location 41
18	Aisle 11	Location 11
19	Aisle 16	Location 8
Order 1	number of articles 11	due date 90.8333
0	Aisle 1	Location 18
1	Aisle 10	Location 28
2	Aisle 1	Location 29
3	Aisle 3	Location 2
4	Aisle 0	Location 32
5	Aisle 5	Location 13
6	Aisle 2	Location 21
7	Aisle 0	Location 4
8	Aisle 5	Location 17
9	Aisle 9	Location 9
10	Aisle 5	Location 10
Order 2	number of articles 13	due date 44.8333
0	Aisle 3	Location 31
1	Aisle 2	Location 14
2	Aisle 0	Location 27
3	Aisle 0	Location 28
4	Aisle 0	Location 30
5	Aisle 1	Location 16
6	Aisle 4	Location 25
7	Aisle 1	Location 4
8	Aisle 3	Location 30
9	Aisle 2	Location 34
10	Aisle 0	Location 41
11	Aisle 1	Location 35
12	Aisle 0	Location 39
Order 3	number of articles 5	due date 7.83333
0	Aisle 0	Location 21
1	Aisle 10	Location 36
2	Aisle 0	Location 1
3	Aisle 0	Location 34
4	Aisle 1	Location 43
Order 4	number of articles 13	due date 220.833
0	Aisle 3	Location 41
1	Aisle 5	Location 13
2	Aisle 5	Location 17
3	Aisle 1	Location 21
4	Aisle 0	Location 10
5	Aisle 2	Location 23
6	Aisle 15	Location 8
7	Aisle 0	Location 25
8	Aisle 5	Location 35
9	Aisle 0	Location 29
10	Aisle 0	Location 35
11	Aisle 1	Location 23
12	Aisle 0	Location 30
Order 5	number of articles 14	due date 69.8333
0	Aisle 0	Location 15
1	Aisle 19	Location 4
2	Aisle 2	Location 9
3	Aisle 13	Location 20
4	Aisle 0	Location 27
5	Aisle 1	Location 18
6	Aisle 1	Location 38
7	Aisle 10	Location 44
8	Aisle 4	Location 37
9	Aisle 8	Location 39
10	Aisle 14	Location 9
11	Aisle 0	Location 1
12	Aisle 5	Location 42
13	Aisle 1	Location 27
Order 6	number of articles 23	due date 58.8333
0	Aisle 1	Location 14
1	Aisle 0	Location 29
2	Aisle 0	Location 3
3	Aisle 0	Location 39
4	Aisle 2	Location 18
5	Aisle 4	Location 21
6	Aisle 1	Location 18
7	Aisle 2	Location 10
8	Aisle 0	Location 14
9	Aisle 0	Location 5
10	Aisle 16	Location 16
11	Aisle 3	Location 9
12	Aisle 13	Location 37
13	Aisle 2	Location 42
14	Aisle 7	Location 5
15	Aisle 5	Location 4
16	Aisle 3	Location 28
17	Aisle 0	Location 40
18	Aisle 2	Location 22
19	Aisle 4	Location 10
20	Aisle 0	Location 6
21	Aisle 4	Location 3
22	Aisle 2	Location 28
Order 7	number of articles 22	due date 173.833
0	Aisle 12	Location 21
1	Aisle 1	Location 3
2	Aisle 2	Location 25
3	Aisle 1	Location 19
4	Aisle 6	Location 34
5	Aisle 4	Location 39
6	Aisle 2	Location 23
7	Aisle 7	Location 20
