Order 0	number of articles 7	due date 77.3542
0	Aisle 4	Location 2
1	Aisle 1	Location 5
2	Aisle 5	Location 27
3	Aisle 1	Location 6
4	Aisle 10	Location 15
5	Aisle 0	Location 4
6	Aisle 5	Location 30
Order 1	number of articles 12	due date 92.3542
0	Aisle 0	Location 34
1	Aisle 4	Location 32
2	Aisle 1	Location 36
3	Aisle 1	Location 13
4	Aisle 4	Location 11
5	Aisle 1	Location 6
6	Aisle 6	Location 20
7	Aisle 5	Location 0
8	Aisle 0	Location 9
9	Aisle 1	Location 42
10	Aisle 4	Location 4
11	Aisle 1	Location 41
Order 2	number of articles 18	due date 172.354
0	Aisle 0	Location 28
1	Aisle 0	Location 39
2	Aisle 2	Location 27
3	Aisle 8	Location 18
4	Aisle 0	Location 19
5	Aisle 0	Location 43
6	Aisle 12	Location 28
7	Aisle 3	Location 27
8	Aisle 1	Location 23
9	Aisle 3	Location 44
10	Aisle 2	Location 31
11	Aisle 0	Location 7
12	Aisle 1	Location 35
13	Aisle 1	Location 14
14	Aisle 0	Location 10
15	Aisle 0	Location 20
16	Aisle 0	Location 34
17	Aisle 0	Location 29
Order 3	number of articles 22	due date 123.354
0	Aisle 5	Location 32
1	Aisle 3	Location 26
2	Aisle 0	Location 22
3	Aisle 1	Location 32
4	Aisle 13	Location 17
5	Aisle 0	Location 30
6	Aisle 11	Location 44
7	Aisle 1	Location 34
8	Aisle 4	Location 27
9	Aisle 14	Location 35
10	Aisle 12	Location 2
11	Aisle 0	Location 12
12	Aisle 2	Location 22
13	Aisle 2	Location 12
14	Aisle 4	Location 13
15	Aisle 5	Location 5
16	Aisle 1	Location 6
17	Aisle 4	Location 11
18	Aisle 2	Location 37
19	Aisle 4	Location 2
20	Aisle 3	Location 25
21	Aisle 1	Location 41
Order 4	number of articles 23	due date 83.3542
0	Aisle 4	Location 22
1	Aisle 0	Location 9
2	Aisle 0	Location 33
3	Aisle 1	Location 10
4	Aisle 1	Location 35
5	Aisle 1	Location 3
6	Aisle 1	Location 26
7	Aisle 0	Location 40
8	Aisle 0	Location 23
9	Aisle 5	Location 1
10	Aisle 1	Location 43
11	Aisle 5	Location 11
12	Aisle 0	Location 6
13	Aisle 1	Location 6
14	Aisle 4	Location 0
15	Aisle 5	Location 18
16	Aisle 0	Location 24
17	Aisle 0	Location 14
18	Aisle 2	Location 43
19	Aisle 5	Location 24
20	Aisle 5	Location 9
21	Aisle 1	Location 7
22	Aisle 2	Location 41
Order 5	number of articles 7	due date 15.3542
0	Aisle 1	Location 29
1	Aisle 0	Location 10
2	Aisle 13	Location 14
3	Aisle 2	Location 21
4	Aisle 0	Location 12
5	Aisle 3	Location 20
6	Aisle 1	Location 11
Order 6	number of articles 8	due date 78.3542
0	Aisle 14	Location 0
1	Aisle 2	Location 14
2	Aisle 0	Location 19
3	Aisle 0	Location 10
4	Aisle 2	Location 2
5	Aisle 0	Location 17
6	Aisle 0	Location 20
7	Aisle 1	Location 41
Order 7	number of articles 5	due date 21.3542
0	Aisle 11	Location 28
1	Aisle 0	Location 30
2	Aisle 5	Location 12
3	Aisle 0	Location 16
4	Aisle 4	Location 23
Order 8	number of articles 8	due date 50.3542
0	Aisle 0	Location 15
1	Aisle 0	Location 27
2	Aisle 5	Location 41
3	Aisle 1	Location 33
4	Aisle 3	Location 26
5	Aisle 8	Location 25
6	Aisle 3	Location 30
7	Aisle 1	Location 36
Order 9	number of articles 7	due date 132.354
0	Aisle 0	Location 6
1	Aisle 0	Location 38
2	Aisle 2	Location 14
3	Aisle 1	Location 24
4	Aisle 5	Location 18
5	Aisle 0	Location 34
6	Aisle 0	Location 41
Order 10	number of articles 17	due date 138.354
0	Aisle 1	Location 42
1	Aisle 5	Location 8
2	Aisle 0	Location 31
3	Aisle 4	Location 17
4	Aisle 1	Location 13
5	Aisle 1	Location 8
6	Aisle 14	Location 36
7	Aisle 0	Location 8
8	Aisle 19	Location 35
9	Aisle 4	Location 5
10	Aisle 0	Location 28
11	Aisle 1	Location 34
12	Aisle 4	Location 32
13	Aisle 2	Location 26
14	Aisle 3	Location 8
15	Aisle 0	Location 44
16	Aisle 3	Location 7
Order 11	number of articles 9	due date 61.3542
0	Aisle 4	Location 14
1	Aisle 2	Location 38
2	Aisle 4	Location 43
3	Aisle 1	Location 15
4	Aisle 1	Location 32
5	Aisle 0	Location 43
6	Aisle 15	Location 22
7	Aisle 1	Location 38
8	Aisle 0	Location 3
Order 12	number of articles 19	due date 187.354
0	Aisle 2	Location 21
1	Aisle 2	Location 17
2	Aisle 0	Location 10
3	Aisle 4	Location 31
4	Aisle 1	Location 32
5	Aisle 1	Location 9
6	Aisle 5	Location 22
7	Aisle 4	Location 21
8	Aisle 1	Location 6
9	Aisle 5	Location 39
10	Aisle 13	Location 12
11	Aisle 4	Location 37
12	Aisle 3	Location 31
13	Aisle 3	Location 11
14	Aisle 1	Location 31
15	Aisle 0	Location 19
16	Aisle 5	Location 34
17	Aisle 1	Location 10
18	Aisle 2	Location 0
Order 13	number of articles 16	due date 137.354
0	Aisle 0	Location 11
1	Aisle 0	Location 31
2	Aisle 3	Location 2
3	Aisle 1	Location 2
4	Aisle 3	Location 42
5	Aisle 3	Location 22
6	Aisle 1	Location 3
7	Aisle 3	Location 28
8	Aisle 0	Location 33
9	Aisle 0	Location 36
10	Aisle 5	Location 38
11	Aisle 1	Location 39
12	Aisle 2	Location 27
13	Aisle 1	Location 41
14	Aisle 1	Location 19
15	Aisle 0	Location 30
Order 14	number of articles 9	due date 60.3542
0	Aisle 0	Location 0
1	Aisle 3	Location 4
2	Aisle 1	Location 37
3	Aisle 5	Location 3
4	Aisle 4	Location 30
5	Aisle 0	Location 24
6	Aisle 1	Location 24
7	Aisle 10	Location 42
8	Aisle 1	Location 40
Order 15	number of articles 20	due date 92.3542
0	Aisle 1	Location 44
1	Aisle 1	Location 38
2	Aisle 0	Location 0
3	Aisle 5	Location 39
4	Aisle 1	Location 27
5	Aisle 19	Location 5
6	Aisle 0	Location 30
7	Aisle 4	Location 27
8	Aisle 12	Location 36
9	Aisle 1	Location 3
10	Aisle 1	Location 14
11	Aisle 0	Location 1
12	Aisle 2	Location 10
13	Aisle 3	Location 17
14	Aisle 2	Location 21
15	Aisle 0	Location 21
16	Aisle 19	Location 11
17	Aisle 1	Location 6
18	Aisle 15	Location 7
19	Aisle 4	Location 6
Order 16	number of articles 12	due date 24.3542
0	Aisle 0	Location 32
1	Aisle 4	Location 30
2	Aisle 1	Location 17
3	Aisle 0	Location 35
4	Aisle 4	Location 34
5	Aisle 0	Location 0
6	Aisle 4	Location 38
7	Aisle 1	Location 9
8	Aisle 1	Location 28
9	Aisle 5	Location 9
10	Aisle 1	Location 36
11	Aisle 5	Location 35
Order 17	number of articles 17	due date 58.3542
0	Aisle 0	Location 2
1	Aisle 7	Location 33
2	Aisle 0	Location 21
3	Aisle 3	Location 37
4	Aisle 0	Location 28
5	Aisle 0	Location 9
6	Aisle 5	Location 43
7	Aisle 5	Location 32
8	Aisle 2	Location 11
9	Aisle 3	Location 39
10	Aisle 19	Location 34
11	Aisle 19	Location 28
12	Aisle 1	Location 27
13	Aisle 4	Location 13
14	Aisle 3	Location 23
15	Aisle 0	Location 34
16	Aisle 16	Location 13
Order 18	number of articles 20	due date 108.354
0	Aisle 1	Location 29
1	Aisle 6	Location 24
2	Aisle 2	Location 30
3	Aisle 5	Location 30
4	Aisle 2	Location 39
5	Aisle 1	Location 14
6	Aisle 6	Location 43
7	Aisle 2	Location 15
8	Aisle 1	Location 31
9	Aisle 0	Location 41
10	Aisle 1	Location 17
11	Aisle 5	Location 32
12	Aisle 5	Location 19
13	Aisle 3	Location 1
14	Aisle 3	Location 25
15	Aisle 5	Location 16
16	Aisle 5	Location 27
17	Aisle 0	Location 2
18	Aisle 3	Location 37
19	Aisle 1	Location 25
Order 19	number of articles 14	due date 52.3542
0	Aisle 0	Location 20
1	Aisle 0	Location 9
2	Aisle 0	Location 4
3	Aisle 0	Location 30
4	Aisle 2	Location 34
5	Aisle 1	Location 13
6	Aisle 1	Location 5
7	Aisle 0	Location 11
8	Aisle 1	Location 20
9	Aisle 1	Location 3
10	Aisle 15	Location 10
11	Aisle 1	Location 8
12	Aisle 0	Location 34
13	Aisle 0	Location 15
