Order 0	number of articles 8	due date 188.063
0	Aisle 17	Location 29
1	Aisle 0	Location 35
2	Aisle 1	Location 25
3	Aisle 12	Location 4
4	Aisle 3	Location 41
5	Aisle 1	Location 22
6	Aisle 5	Location 43
7	Aisle 1	Location 31
Order 1	number of articles 17	due date 95.0625
0	Aisle 1	Location 15
1	Aisle 0	Location 28
2	Aisle 1	Location 10
3	Aisle 0	Location 29
4	Aisle 1	Location 12
5	Aisle 5	Location 17
6	Aisle 1	Location 14
7	Aisle 0	Location 33
8	Aisle 17	Location 11
9	Aisle 1	Location 43
10	Aisle 4	Location 1
11	Aisle 0	Location 36
12	Aisle 1	Location 21
13	Aisle 4	Location 3
14	Aisle 11	Location 4
15	Aisle 5	Location 43
16	Aisle 0	Location 19
Order 2	number of articles 19	due date 189.063
0	Aisle 4	Location 29
1	Aisle 19	Location 44
2	Aisle 5	Location 20
3	Aisle 3	Location 0
4	Aisle 16	Location 32
5	Aisle 0	Location 23
6	Aisle 6	Location 24
7	Aisle 0	Location 44
8	Aisle 5	Location 13
9	Aisle 1	Location 38
10	Aisle 0	Location 5
11	Aisle 7	Location 12
12	Aisle 2	Location 24
13	Aisle 1	Location 21
14	Aisle 1	Location 44
15	Aisle 0	Location 24
16	Aisle 0	Location 2
17	Aisle 3	Location 43
18	Aisle 3	Location 6
Order 3	number of articles 15	due date 185.063
0	Aisle 4	Location 2
1	Aisle 5	Location 11
2	Aisle 12	Location 19
3	Aisle 1	Location 25
4	Aisle 3	Location 36
5	Aisle 5	Location 44
6	Aisle 5	Location 15
7	Aisle 8	Location 22
8	Aisle 1	Location 16
9	Aisle 4	Location 34
10	Aisle 0	Location 23
11	Aisle 0	Location 2
12	Aisle 5	Location 12
13	Aisle 1	Location 1
14	Aisle 0	Location 1
Order 4	number of articles 11	due date 46.0625
0	Aisle 0	Location 13
1	Aisle 0	Location 3
2	Aisle 1	Location 41
3	Aisle 10	Location 39
4	Aisle 8	Location 24
5	Aisle 3	Location 15
6	Aisle 14	Location 19
7	Aisle 4	Location 3
8	Aisle 3	Location 8
9	Aisle 0	Location 34
10	Aisle 1	Location 35
Order 5	number of articles 23	due date 183.063
0	Aisle 1	Location 34
1	Aisle 1	Location 14
2	Aisle 1	Location 8
3	Aisle 0	Location 10
4	Aisle 1	Location 38
5	Aisle 1	Location 31
6	Aisle 2	Location 23
7	Aisle 0	Location 44
8	Aisle 2	Location 3
9	Aisle 0	Location 32
10	Aisle 4	Location 7
11	Aisle 2	Location 35
12	Aisle 5	Location 12
13	Aisle 4	Location 42
14	Aisle 2	Location 18
15	Aisle 1	Location 44
16	Aisle 0	Location 3
17	Aisle 4	Location 16
18	Aisle 3	Location 42
19	Aisle 0	Location 16
20	Aisle 0	Location 7
21	Aisle 3	Location 1
22	Aisle 13	Location 40
Order 6	number of articles 12	due date 86.0625
0	Aisle 4	Location 35
1	Aisle 0	Location 31
2	Aisle 3	Location 9
3	Aisle 1	Location 39
4	Aisle 0	Location 41
5	Aisle 1	Location 3
6	Aisle 4	Location 40
7	Aisle 2	Location 12
8	Aisle 0	Location 44
9	Aisle 0	Location 14
10	Aisle 3	Location 37
11	Aisle 1	Location 14
Order 7	number of articles 13	due date 174.063
0	Aisle 5	Location 22
1	Aisle 0	Location 22
2	Aisle 0	Location 4
3	Aisle 0	Location 43
4	Aisle 7	Location 1
5	Aisle 1	Location 9
6	Aisle 2	Location 26
7	Aisle 0	Location 9
8	Aisle 2	Location 30
9	Aisle 3	Location 38
10	Aisle 0	Location 29
11	Aisle 1	Location 26
12	Aisle 3	Location 23
Order 8	number of articles 14	due date 184.063
0	Aisle 4	Location 6
1	Aisle 2	Location 42
2	Aisle 3	Location 24
3	Aisle 12	Location 3
4	Aisle 3	Location 21
5	Aisle 0	Location 18
6	Aisle 0	Location 22
7	Aisle 0	Location 44
8	Aisle 0	Location 4
9	Aisle 1	Location 21
10	Aisle 4	Location 27
11	Aisle 0	Location 37
12	Aisle 1	Location 10
13	Aisle 5	Location 19
Order 9	number of articles 19	due date 193.063
0	Aisle 0	Location 6
1	Aisle 5	Location 5
2	Aisle 1	Location 19
