Order 0	number of articles 17	due date 33.3333
0	Aisle 1	Location 41
1	Aisle 2	Location 36
2	Aisle 3	Location 6
3	Aisle 2	Location 30
4	Aisle 2	Location 10
5	Aisle 15	Location 1
6	Aisle 19	Location 42
7	Aisle 1	Location 35
8	Aisle 5	Location 23
9	Aisle 1	Location 1
10	Aisle 1	Location 39
11	Aisle 0	Location 6
12	Aisle 0	Location 2
13	Aisle 4	Location 43
14	Aisle 3	Location 40
15	Aisle 1	Location 7
16	Aisle 0	Location 12
Order 1	number of articles 8	due date 40.3333
0	Aisle 1	Location 38
1	Aisle 3	Location 0
2	Aisle 1	Location 14
3	Aisle 10	Location 42
4	Aisle 3	Location 15
5	Aisle 0	Location 2
6	Aisle 0	Location 31
7	Aisle 0	Location 0
Order 2	number of articles 20	due date 108.333
0	Aisle 3	Location 11
1	Aisle 1	Location 18
2	Aisle 17	Location 5
3	Aisle 1	Location 23
4	Aisle 1	Location 8
5	Aisle 5	Location 23
6	Aisle 1	Location 30
7	Aisle 2	Location 14
8	Aisle 0	Location 35
9	Aisle 2	Location 21
10	Aisle 2	Location 23
11	Aisle 17	Location 12
12	Aisle 5	Location 12
13	Aisle 1	Location 0
14	Aisle 2	Location 17
15	Aisle 0	Location 33
16	Aisle 14	Location 11
17	Aisle 1	Location 16
18	Aisle 2	Location 27
19	Aisle 13	Location 28
Order 3	number of articles 23	due date 36.3333
0	Aisle 0	Location 23
1	Aisle 0	Location 26
2	Aisle 6	Location 15
3	Aisle 0	Location 6
4	Aisle 3	Location 10
5	Aisle 17	Location 40
6	Aisle 0	Location 37
7	Aisle 1	Location 32
8	Aisle 1	Location 15
9	Aisle 1	Location 13
10	Aisle 1	Location 40
11	Aisle 0	Location 21
12	Aisle 0	Location 32
13	Aisle 18	Location 3
14	Aisle 1	Location 30
15	Aisle 4	Location 20
16	Aisle 1	Location 14
17	Aisle 1	Location 37
18	Aisle 2	Location 8
19	Aisle 0	Location 11
20	Aisle 6	Location 2
21	Aisle 4	Location 11
22	Aisle 1	Location 8
Order 4	number of articles 10	due date 29.3333
0	Aisle 0	Location 23
1	Aisle 0	Location 37
2	Aisle 1	Location 21
3	Aisle 5	Location 9
4	Aisle 3	Location 12
5	Aisle 2	Location 7
6	Aisle 1	Location 11
7	Aisle 4	Location 32
8	Aisle 5	Location 15
9	Aisle 0	Location 9
Order 5	number of articles 15	due date 137.333
0	Aisle 0	Location 43
1	Aisle 1	Location 13
2	Aisle 1	Location 34
3	Aisle 2	Location 25
4	Aisle 3	Location 37
5	Aisle 0	Location 11
6	Aisle 1	Location 30
7	Aisle 0	Location 4
8	Aisle 2	Location 15
9	Aisle 6	Location 33
10	Aisle 0	Location 1
11	Aisle 0	Location 27
12	Aisle 5	Location 28
13	Aisle 4	Location 16
14	Aisle 0	Location 30
Order 6	number of articles 6	due date 39.3333
0	Aisle 1	Location 10
1	Aisle 1	Location 11
2	Aisle 3	Location 26
3	Aisle 2	Location 6
4	Aisle 1	Location 31
5	Aisle 0	Location 38
Order 7	number of articles 5	due date 13.3333
0	Aisle 0	Location 5
1	Aisle 19	Location 42
2	Aisle 1	Location 15
3	Aisle 1	Location 22
4	Aisle 2	Location 6
Order 8	number of articles 19	due date 19.3333
0	Aisle 5	Location 7
1	Aisle 1	Location 1
2	Aisle 1	Location 3
3	Aisle 1	Location 19
4	Aisle 17	Location 24
5	Aisle 2	Location 0
6	Aisle 0	Location 44
7	Aisle 5	Location 22
8	Aisle 1	Location 30
9	Aisle 0	Location 21
10	Aisle 1	Location 5
11	Aisle 0	Location 17
12	Aisle 1	Location 14
13	Aisle 10	Location 23
14	Aisle 4	Location 43
15	Aisle 1	Location 22
16	Aisle 0	Location 28
17	Aisle 3	Location 26
18	Aisle 5	Location 24
Order 9	number of articles 5	due date 152.333
0	Aisle 3	Location 25
1	Aisle 4	Location 23
2	Aisle 5	Location 15
3	Aisle 0	Location 38
4	Aisle 5	Location 31
Order 10	number of articles 17	due date 116.333
0	Aisle 3	Location 26
1	Aisle 0	Location 12
2	Aisle 1	Location 37
3	Aisle 0	Location 2
4	Aisle 3	Location 44
5	Aisle 0	Location 19
6	Aisle 0	Location 3
7	Aisle 3	Location 19
8	Aisle 0	Location 4
9	Aisle 0	Location 16
10	Aisle 2	Location 31
11	Aisle 1	Location 19
12	Aisle 1	Location 11
13	Aisle 2	Location 24
14	Aisle 5	Location 44
15	Aisle 1	Location 34
16	Aisle 0	Location 11
Order 11	number of articles 5	due date 46.3333
0	Aisle 7	Location 26
1	Aisle 5	Location 41
2	Aisle 0	Location 9
3	Aisle 2	Location 40
4	Aisle 4	Location 10
Order 12	number of articles 5	due date 151.333
0	Aisle 4	Location 20
1	Aisle 1	Location 5
2	Aisle 4	Location 26
3	Aisle 12	Location 43
4	Aisle 4	Location 35
Order 13	number of articles 11	due date 96.3333
0	Aisle 17	Location 15
1	Aisle 3	Location 25
2	Aisle 1	Location 4
3	Aisle 0	Location 23
4	Aisle 0	Location 26
5	Aisle 7	Location 5
6	Aisle 12	Location 42
7	Aisle 0	Location 22
8	Aisle 5	Location 9
9	Aisle 1	Location 21
10	Aisle 0	Location 9
Order 14	number of articles 22	due date 155.333
0	Aisle 1	Location 13
1	Aisle 4	Location 39
2	Aisle 7	Location 24
3	Aisle 15	Location 20
4	Aisle 2	Location 7
5	Aisle 1	Location 17
6	Aisle 2	Location 30
7	Aisle 5	Location 25
8	Aisle 19	Location 44
9	Aisle 2	Location 1
10	Aisle 1	Location 41
11	Aisle 0	Location 1
12	Aisle 0	Location 40
13	Aisle 5	Location 30
14	Aisle 4	Location 34
15	Aisle 0	Location 24
16	Aisle 0	Location 0
17	Aisle 0	Location 43
18	Aisle 1	Location 31
19	Aisle 2	Location 9
20	Aisle 5	Location 16
21	Aisle 0	Location 16
Order 15	number of articles 21	due date 43.3333
0	Aisle 0	Location 18
1	Aisle 0	Location 17
2	Aisle 8	Location 38
3	Aisle 1	Location 33
4	Aisle 5	Location 2
5	Aisle 4	Location 18
6	Aisle 12	Location 24
7	Aisle 2	Location 39
8	Aisle 2	Location 37
9	Aisle 0	Location 38
10	Aisle 10	Location 42
11	Aisle 0	Location 15
12	Aisle 1	Location 16
13	Aisle 0	Location 6
14	Aisle 0	Location 34
15	Aisle 14	Location 6
16	Aisle 1	Location 41
17	Aisle 1	Location 28
18	Aisle 5	Location 11
19	Aisle 0	Location 2
20	Aisle 1	Location 42
Order 16	number of articles 12	due date 155.333
0	Aisle 0	Location 26
1	Aisle 3	Location 26
2	Aisle 0	Location 3
3	Aisle 4	Location 18
4	Aisle 0	Location 41
5	Aisle 1	Location 16
6	Aisle 4	Location 0
7	Aisle 1	Location 43
8	Aisle 1	Location 5
9	Aisle 18	Location 15
10	Aisle 1	Location 8
11	Aisle 4	Location 26
Order 17	number of articles 21	due date 125.333
0	Aisle 0	Location 18
1	Aisle 3	Location 20
2	Aisle 0	Location 38
3	Aisle 0	Location 43
4	Aisle 0	Location 13
5	Aisle 1	Location 10
6	Aisle 5	Location 18
7	Aisle 2	Location 9
8	Aisle 1	Location 15
9	Aisle 10	Location 30
10	Aisle 4	Location 34
11	Aisle 5	Location 6
12	Aisle 0	Location 8
13	Aisle 0	Location 44
14	Aisle 1	Location 11
15	Aisle 16	Location 17
16	Aisle 7	Location 9
17	Aisle 2	Location 40
18	Aisle 0	Location 29
19	Aisle 0	Location 24
20	Aisle 0	Location 15
Order 18	number of articles 21	due date 30.3333
0	Aisle 3	Location 13
1	Aisle 0	Location 14
2	Aisle 1	Location 35
3	Aisle 6	Location 9
4	Aisle 1	Location 31
5	Aisle 0	Location 26
6	Aisle 1	Location 28
7	Aisle 19	Location 20
8	Aisle 0	Location 36
9	Aisle 1	Location 18
10	Aisle 0	Location 4
11	Aisle 0	Location 13
12	Aisle 4	Location 8
13	Aisle 2	Location 37
14	Aisle 5	Location 12
15	Aisle 0	Location 17
16	Aisle 5	Location 25
17	Aisle 1	Location 25
18	Aisle 0	Location 29
19	Aisle 1	Location 40
20	Aisle 1	Location 7
Order 19	number of articles 19	due date 156.333
0	Aisle 5	Location 0
1	Aisle 19	Location 15
2	Aisle 6	Location 28
3	Aisle 0	Location 40
4	Aisle 0	Location 8
5	Aisle 0	Location 35
6	Aisle 5	Location 21
7	Aisle 4	Location 16
8	Aisle 1	Location 11
9	Aisle 5	Location 38
10	Aisle 18	Location 25
11	Aisle 0	Location 43
12	Aisle 0	Location 15
13	Aisle 4	Location 32
14	Aisle 3	Location 11
15	Aisle 0	Location 10
16	Aisle 10	Location 41
17	Aisle 19	Location 39
18	Aisle 0	Location 13
