Order 0	number of articles 20	due date 72.1667
0	Aisle 0	Location 25
1	Aisle 0	Location 23
2	Aisle 12	Location 42
3	Aisle 1	Location 11
4	Aisle 2	Location 26
5	Aisle 2	Location 39
6	Aisle 18	Location 16
7	Aisle 11	Location 0
8	Aisle 3	Location 0
9	Aisle 0	Location 18
10	Aisle 3	Location 31
11	Aisle 1	Location 28
12	Aisle 0	Location 6
13	Aisle 0	Location 32
14	Aisle 0	Location 12
15	Aisle 5	Location 41
16	Aisle 3	Location 21
17	Aisle 3	Location 42
18	Aisle 0	Location 42
19	Aisle 1	Location 17
Order 1	number of articles 5	due date 102.167
0	Aisle 0	Location 29
1	Aisle 3	Location 6
2	Aisle 4	Location 4
3	Aisle 3	Location 34
4	Aisle 5	Location 42
Order 2	number of articles 6	due date 85.1667
0	Aisle 0	Location 25
1	Aisle 1	Location 26
2	Aisle 13	Location 44
3	Aisle 0	Location 39
4	Aisle 1	Location 14
5	Aisle 3	Location 26
Order 3	number of articles 20	due date 47.1667
0	Aisle 0	Location 17
1	Aisle 0	Location 38
2	Aisle 2	Location 1
3	Aisle 5	Location 5
4	Aisle 3	Location 8
5	Aisle 19	Location 39
6	Aisle 4	Location 34
7	Aisle 1	Location 23
8	Aisle 1	Location 26
9	Aisle 1	Location 31
10	Aisle 2	Location 7
11	Aisle 4	Location 31
12	Aisle 2	Location 44
13	Aisle 1	Location 8
14	Aisle 1	Location 29
15	Aisle 0	Location 14
16	Aisle 4	Location 6
17	Aisle 2	Location 3
18	Aisle 17	Location 31
19	Aisle 0	Location 26
Order 4	number of articles 11	due date 25.1667
0	Aisle 0	Location 27
1	Aisle 3	Location 24
2	Aisle 0	Location 26
3	Aisle 1	Location 9
4	Aisle 0	Location 40
5	Aisle 2	Location 34
6	Aisle 1	Location 0
7	Aisle 2	Location 44
8	Aisle 5	Location 23
9	Aisle 1	Location 21
10	Aisle 1	Location 4
Order 5	number of articles 9	due date 55.1667
0	Aisle 5	Location 2
1	Aisle 0	Location 20
2	Aisle 1	Location 33
3	Aisle 3	Location 20
4	Aisle 0	Location 16
5	Aisle 1	Location 14
6	Aisle 18	Location 20
7	Aisle 7	Location 44
8	Aisle 0	Location 40
Order 6	number of articles 24	due date 92.1667
0	Aisle 6	Location 25
1	Aisle 2	Location 43
2	Aisle 4	Location 11
3	Aisle 1	Location 2
4	Aisle 4	Location 37
5	Aisle 0	Location 29
6	Aisle 1	Location 41
7	Aisle 4	Location 1
8	Aisle 19	Location 37
9	Aisle 0	Location 33
10	Aisle 0	Location 8
11	Aisle 0	Location 14
12	Aisle 0	Location 7
13	Aisle 2	Location 25
14	Aisle 0	Location 31
15	Aisle 18	Location 41
16	Aisle 4	Location 39
17	Aisle 0	Location 18
18	Aisle 2	Location 15
19	Aisle 1	Location 27
20	Aisle 2	Location 20
21	Aisle 0	Location 2
22	Aisle 1	Location 13
23	Aisle 3	Location 24
Order 7	number of articles 23	due date 26.1667
0	Aisle 2	Location 10
1	Aisle 5	Location 20
2	Aisle 15	Location 7
3	Aisle 0	Location 19
4	Aisle 0	Location 16
5	Aisle 3	Location 17
6	Aisle 3	Location 32
7	Aisle 3	Location 40
8	Aisle 0	Location 21
9	Aisle 1	Location 30
10	Aisle 4	Location 11
11	Aisle 4	Location 2
12	Aisle 18	Location 20
13	Aisle 1	Location 9
14	Aisle 5	Location 6
15	Aisle 1	Location 20
16	Aisle 0	Location 44
17	Aisle 3	Location 33
18	Aisle 1	Location 40
19	Aisle 3	Location 44
20	Aisle 1	Location 29
21	Aisle 15	Location 32
22	Aisle 18	Location 26
Order 8	number of articles 20	due date 77.1667
0	Aisle 7	Location 37
1	Aisle 5	Location 12
2	Aisle 5	Location 29
3	Aisle 1	Location 13
4	Aisle 0	Location 34
5	Aisle 0	Location 44
6	Aisle 3	Location 20
7	Aisle 1	Location 42
8	Aisle 4	Location 31
9	Aisle 0	Location 24
10	Aisle 11	Location 19
11	Aisle 2	Location 42
12	Aisle 6	Location 41
13	Aisle 5	Location 35
14	Aisle 0	Location 1
15	Aisle 1	Location 2
16	Aisle 4	Location 32
