Order 0	number of articles 16	due date 315.625
0	Aisle 1	Location 40
1	Aisle 1	Location 1
2	Aisle 1	Location 15
3	Aisle 8	Location 8
4	Aisle 0	Location 39
5	Aisle 1	Location 41
6	Aisle 0	Location 42
7	Aisle 1	Location 2
8	Aisle 19	Location 4
9	Aisle 0	Location 25
10	Aisle 13	Location 42
11	Aisle 1	Location 4
12	Aisle 18	Location 39
13	Aisle 1	Location 9
14	Aisle 4	Location 39
15	Aisle 1	Location 11
Order 1	number of articles 14	due date 340.625
0	Aisle 3	Location 33
1	Aisle 0	Location 16
2	Aisle 0	Location 7
3	Aisle 19	Location 26
4	Aisle 8	Location 18
5	Aisle 6	Location 38
6	Aisle 4	Location 4
7	Aisle 13	Location 2
8	Aisle 7	Location 17
9	Aisle 9	Location 7
10	Aisle 0	Location 40
11	Aisle 4	Location 5
12	Aisle 4	Location 35
13	Aisle 4	Location 13
Order 2	number of articles 20	due date 188.625
0	Aisle 0	Location 29
1	Aisle 3	Location 30
2	Aisle 4	Location 11
3	Aisle 8	Location 9
4	Aisle 7	Location 29
5	Aisle 3	Location 44
6	Aisle 1	Location 15
7	Aisle 2	Location 33
8	Aisle 0	Location 3
9	Aisle 17	Location 37
10	Aisle 0	Location 44
11	Aisle 1	Location 10
12	Aisle 13	Location 13
13	Aisle 5	Location 36
14	Aisle 0	Location 37
15	Aisle 4	Location 6
16	Aisle 4	Location 41
17	Aisle 4	Location 5
18	Aisle 3	Location 3
19	Aisle 7	Location 27
Order 3	number of articles 18	due date 448.625
0	Aisle 1	Location 25
1	Aisle 0	Location 23
2	Aisle 1	Location 15
3	Aisle 1	Location 9
4	Aisle 1	Location 22
5	Aisle 13	Location 23
6	Aisle 0	Location 9
7	Aisle 1	Location 3
8	Aisle 4	Location 29
9	Aisle 3	Location 21
10	Aisle 5	Location 36
11	Aisle 1	Location 41
12	Aisle 1	Location 2
13	Aisle 15	Location 42
14	Aisle 5	Location 17
15	Aisle 5	Location 30
16	Aisle 3	Location 1
17	Aisle 3	Location 4
Order 4	number of articles 12	due date 196.625
0	Aisle 3	Location 8
1	Aisle 1	Location 33
2	Aisle 5	Location 6
3	Aisle 0	Location 27
4	Aisle 1	Location 11
5	Aisle 1	Location 0
6	Aisle 1	Location 42
7	Aisle 2	Location 21
8	Aisle 1	Location 18
9	Aisle 0	Location 0
10	Aisle 0	Location 3
11	Aisle 1	Location 15
Order 5	number of articles 17	due date 154.625
0	Aisle 3	Location 15
1	Aisle 1	Location 27
2	Aisle 2	Location 10
3	Aisle 16	Location 3
4	Aisle 1	Location 31
