Order 0	number of articles 20	due date 27.2917
0	Aisle 4	Location 19
1	Aisle 0	Location 15
2	Aisle 14	Location 32
3	Aisle 17	Location 14
4	Aisle 4	Location 10
5	Aisle 0	Location 4
6	Aisle 0	Location 43
7	Aisle 0	Location 25
8	Aisle 3	Location 0
9	Aisle 0	Location 26
10	Aisle 0	Location 0
11	Aisle 3	Location 20
12	Aisle 4	Location 0
13	Aisle 9	Location 28
14	Aisle 0	Location 24
15	Aisle 0	Location 13
16	Aisle 3	Location 19
17	Aisle 1	Location 17
18	Aisle 2	Location 25
19	Aisle 2	Location 18
Order 1	number of articles 12	due date 104.292
0	Aisle 3	Location 12
1	Aisle 5	Location 43
2	Aisle 4	Location 15
3	Aisle 5	Location 41
4	Aisle 10	Location 7
5	Aisle 0	Location 44
6	Aisle 1	Location 9
7	Aisle 8	Location 38
8	Aisle 0	Location 36
9	Aisle 1	Location 6
10	Aisle 3	Location 4
11	Aisle 8	Location 9
Order 2	number of articles 12	due date 11.2917
0	Aisle 1	Location 2
1	Aisle 0	Location 1
2	Aisle 0	Location 8
3	Aisle 16	Location 10
4	Aisle 8	Location 44
5	Aisle 0	Location 37
6	Aisle 1	Location 28
7	Aisle 5	Location 24
8	Aisle 0	Location 6
9	Aisle 0	Location 27
10	Aisle 1	Location 40
11	Aisle 5	Location 10
Order 3	number of articles 20	due date 17.2917
0	Aisle 0	Location 11
1	Aisle 2	Location 29
2	Aisle 1	Location 42
3	Aisle 3	Location 6
4	Aisle 17	Location 19
5	Aisle 12	Location 29
6	Aisle 4	Location 29
7	Aisle 18	Location 35
8	Aisle 4	Location 5
9	Aisle 2	Location 16
10	Aisle 13	Location 34
11	Aisle 0	Location 16
12	Aisle 0	Location 35
13	Aisle 4	Location 19
14	Aisle 1	Location 41
15	Aisle 0	Location 28
16	Aisle 0	Location 31
17	Aisle 1	Location 37
18	Aisle 1	Location 30
19	Aisle 3	Location 40
Order 4	number of articles 14	due date 99.2917
0	Aisle 1	Location 38
1	Aisle 4	Location 34
2	Aisle 3	Location 34
3	Aisle 2	Location 35
4	Aisle 4	Location 26
5	Aisle 4	Location 40
6	Aisle 3	Location 21
7	Aisle 17	Location 14
8	Aisle 4	Location 3
9	Aisle 16	Location 2
10	Aisle 18	Location 37
11	Aisle 1	Location 30
12	Aisle 1	Location 15
13	Aisle 5	Location 40
Order 5	number of articles 10	due date 12.2917
0	Aisle 1	Location 43
1	Aisle 1	Location 6
2	Aisle 0	Location 42
3	Aisle 6	Location 10
4	Aisle 0	Location 20
5	Aisle 1	Location 4
6	Aisle 2	Location 43
7	Aisle 0	Location 30
8	Aisle 4	Location 15
9	Aisle 5	Location 28
Order 6	number of articles 16	due date 106.292
0	Aisle 4	Location 17
1	Aisle 5	Location 16
