Order 0	number of articles 11	due date 164.104
0	Aisle 0	Location 4
1	Aisle 1	Location 25
2	Aisle 1	Location 9
3	Aisle 12	Location 5
4	Aisle 0	Location 3
5	Aisle 6	Location 9
6	Aisle 1	Location 2
7	Aisle 4	Location 29
8	Aisle 0	Location 14
9	Aisle 0	Location 18
10	Aisle 5	Location 24
Order 1	number of articles 16	due date 141.104
0	Aisle 0	Location 22
1	Aisle 3	Location 40
2	Aisle 1	Location 5
3	Aisle 2	Location 29
4	Aisle 1	Location 28
5	Aisle 2	Location 37
6	Aisle 18	Location 20
7	Aisle 1	Location 39
8	Aisle 0	Location 3
9	Aisle 7	Location 29
10	Aisle 5	Location 5
11	Aisle 1	Location 25
12	Aisle 4	Location 26
13	Aisle 1	Location 23
14	Aisle 12	Location 5
15	Aisle 3	Location 38
Order 2	number of articles 17	due date 24.1042
0	Aisle 1	Location 36
1	Aisle 0	Location 16
2	Aisle 0	Location 26
3	Aisle 3	Location 11
4	Aisle 1	Location 7
5	Aisle 2	Location 34
6	Aisle 5	Location 2
7	Aisle 5	Location 6
8	Aisle 2	Location 35
9	Aisle 1	Location 39
10	Aisle 1	Location 41
11	Aisle 4	Location 14
12	Aisle 0	Location 31
13	Aisle 1	Location 22
14	Aisle 1	Location 38
15	Aisle 3	Location 0
16	Aisle 9	Location 43
Order 3	number of articles 7	due date 72.1042
0	Aisle 4	Location 16
1	Aisle 3	Location 17
2	Aisle 15	Location 32
3	Aisle 4	Location 22
4	Aisle 2	Location 23
5	Aisle 3	Location 26
6	Aisle 1	Location 1
Order 4	number of articles 15	due date 110.104
0	Aisle 1	Location 23
1	Aisle 2	Location 5
2	Aisle 0	Location 21
3	Aisle 0	Location 1
4	Aisle 1	Location 33
5	Aisle 0	Location 33
6	Aisle 1	Location 1
7	Aisle 0	Location 16
8	Aisle 0	Location 19
9	Aisle 4	Location 27
10	Aisle 4	Location 7
11	Aisle 4	Location 23
12	Aisle 4	Location 35
13	Aisle 0	Location 22
14	Aisle 1	Location 18
Order 5	number of articles 18	due date 120.104
0	Aisle 0	Location 32
1	Aisle 0	Location 29
2	Aisle 1	Location 8
3	Aisle 16	Location 39
4	Aisle 5	Location 34
5	Aisle 1	Location 36
6	Aisle 18	Location 43
7	Aisle 2	Location 15
8	Aisle 0	Location 27
9	Aisle 0	Location 6
10	Aisle 1	Location 40
11	Aisle 7	Location 10
12	Aisle 4	Location 7
13	Aisle 0	Location 13
14	Aisle 3	Location 42
15	Aisle 1	Location 2
16	Aisle 0	Location 39
17	Aisle 1	Location 5
Order 6	number of articles 12	due date 48.1042
0	Aisle 0	Location 44
1	Aisle 0	Location 16
2	Aisle 1	Location 31
3	Aisle 0	Location 42
4	Aisle 12	Location 1
5	Aisle 16	Location 12
6	Aisle 5	Location 17
7	Aisle 1	Location 29
8	Aisle 0	Location 30
9	Aisle 0	Location 2
10	Aisle 0	Location 38
11	Aisle 5	Location 35
Order 7	number of articles 20	due date 134.104
0	Aisle 1	Location 20
1	Aisle 5	Location 36
2	Aisle 1	Location 13
3	Aisle 4	Location 3
4	Aisle 0	Location 44
5	Aisle 0	Location 6
6	Aisle 2	Location 35
7	Aisle 2	Location 13
8	Aisle 1	Location 0
9	Aisle 15	Location 29
10	Aisle 3	Location 13
11	Aisle 0	Location 24
12	Aisle 1	Location 2
13	Aisle 1	Location 4
14	Aisle 1	Location 3
15	Aisle 12	Location 16
16	Aisle 0	Location 13
17	Aisle 1	Location 9
18	Aisle 0	Location 8
19	Aisle 3	Location 0
Order 8	number of articles 17	due date 97.1042
0	Aisle 11	Location 27
1	Aisle 3	Location 37
2	Aisle 1	Location 8
3	Aisle 8	Location 29
4	Aisle 0	Location 16
5	Aisle 3	Location 17
6	Aisle 18	Location 14
7	Aisle 3	Location 14
8	Aisle 3	Location 42
9	Aisle 2	Location 16
10	Aisle 5	Location 43
11	Aisle 4	Location 10
12	Aisle 1	Location 30
13	Aisle 0	Location 24
14	Aisle 4	Location 18
15	Aisle 0	Location 0
16	Aisle 1	Location 18
Order 9	number of articles 10	due date 10.1042
0	Aisle 0	Location 38
1	Aisle 15	Location 41
2	Aisle 2	Location 39
3	Aisle 5	Location 5
4	Aisle 3	Location 12
5	Aisle 2	Location 20
6	Aisle 0	Location 21
7	Aisle 5	Location 37
8	Aisle 0	Location 29
9	Aisle 4	Location 10
Order 10	number of articles 13	due date 34.1042
0	Aisle 1	Location 24
1	Aisle 0	Location 19
2	Aisle 0	Location 36
3	Aisle 1	Location 37
4	Aisle 5	Location 39
5	Aisle 2	Location 39
6	Aisle 1	Location 19
7	Aisle 4	Location 34
8	Aisle 1	Location 15
9	Aisle 0	Location 13
10	Aisle 19	Location 33
11	Aisle 4	Location 19
12	Aisle 5	Location 5
Order 11	number of articles 12	due date 145.104
0	Aisle 3	Location 2
1	Aisle 5	Location 32
2	Aisle 5	Location 35
3	Aisle 1	Location 14
4	Aisle 2	Location 23
5	Aisle 1	Location 13
6	Aisle 5	Location 12
7	Aisle 0	Location 20
8	Aisle 0	Location 34
9	Aisle 0	Location 19
10	Aisle 4	Location 25
11	Aisle 4	Location 34
Order 12	number of articles 7	due date 13.1042
