Order 0	number of articles 5	due date 150.229
0	Aisle 6	Location 8
1	Aisle 1	Location 15
2	Aisle 0	Location 14
3	Aisle 3	Location 18
4	Aisle 4	Location 34
Order 1	number of articles 7	due date 37.2292
0	Aisle 0	Location 32
1	Aisle 1	Location 38
2	Aisle 4	Location 24
3	Aisle 17	Location 35
4	Aisle 3	Location 35
5	Aisle 0	Location 40
6	Aisle 1	Location 23
Order 2	number of articles 22	due date 209.229
0	Aisle 5	Location 22
1	Aisle 1	Location 7
2	Aisle 0	Location 44
3	Aisle 0	Location 42
4	Aisle 0	Location 0
5	Aisle 4	Location 25
6	Aisle 5	Location 17
7	Aisle 1	Location 10
8	Aisle 3	Location 31
9	Aisle 0	Location 32
10	Aisle 1	Location 21
11	Aisle 1	Location 1
12	Aisle 2	Location 41
13	Aisle 5	Location 32
14	Aisle 5	Location 2
15	Aisle 7	Location 2
16	Aisle 6	Location 24
17	Aisle 4	Location 27
18	Aisle 0	Location 29
19	Aisle 4	Location 37
20	Aisle 0	Location 31
21	Aisle 4	Location 31
Order 3	number of articles 20	due date 17.2292
0	Aisle 5	Location 40
1	Aisle 1	Location 16
2	Aisle 0	Location 43
3	Aisle 9	Location 1
4	Aisle 5	Location 8
5	Aisle 2	Location 4
6	Aisle 3	Location 26
7	Aisle 0	Location 11
8	Aisle 4	Location 19
9	Aisle 11	Location 4
10	Aisle 4	Location 35
11	Aisle 1	Location 17
12	Aisle 3	Location 42
13	Aisle 1	Location 31
14	Aisle 2	Location 10
15	Aisle 0	Location 13
16	Aisle 2	Location 29
17	Aisle 3	Location 7
18	Aisle 0	Location 34
19	Aisle 3	Location 0
Order 4	number of articles 21	due date 120.229
0	Aisle 1	Location 11
1	Aisle 4	Location 17
2	Aisle 0	Location 6
3	Aisle 0	Location 14
4	Aisle 4	Location 44
5	Aisle 3	Location 43
6	Aisle 1	Location 20
7	Aisle 1	Location 22
8	Aisle 5	Location 23
9	Aisle 4	Location 4
10	Aisle 0	Location 3
11	Aisle 1	Location 3
12	Aisle 0	Location 27
13	Aisle 10	Location 28
14	Aisle 3	Location 23
15	Aisle 5	Location 9
16	Aisle 1	Location 19
17	Aisle 0	Location 15
18	Aisle 1	Location 44
19	Aisle 4	Location 25
20	Aisle 0	Location 44
Order 5	number of articles 16	due date 14.2292
0	Aisle 1	Location 18
1	Aisle 1	Location 5
2	Aisle 0	Location 5
3	Aisle 9	Location 39
4	Aisle 0	Location 0
5	Aisle 14	Location 8
6	Aisle 1	Location 12
7	Aisle 1	Location 34
8	Aisle 1	Location 13
9	Aisle 0	Location 33
10	Aisle 11	Location 35
11	Aisle 5	Location 16
12	Aisle 0	Location 35
13	Aisle 11	Location 4
14	Aisle 2	Location 5
15	Aisle 8	Location 22
Order 6	number of articles 6	due date 125.229
0	Aisle 0	Location 3
1	Aisle 12	Location 44
2	Aisle 1	Location 14
3	Aisle 3	Location 9
4	Aisle 4	Location 11
5	Aisle 3	Location 24
Order 7	number of articles 19	due date 205.229
0	Aisle 3	Location 7
1	Aisle 2	Location 6
2	Aisle 3	Location 36
3	Aisle 3	Location 31
4	Aisle 6	Location 13
5	Aisle 0	Location 18
6	Aisle 6	Location 10
7	Aisle 0	Location 13
8	Aisle 0	Location 29
9	Aisle 2	Location 15
10	Aisle 4	Location 13
11	Aisle 3	Location 41
12	Aisle 5	Location 44
13	Aisle 13	Location 11
14	Aisle 9	Location 28
15	Aisle 1	Location 43
16	Aisle 0	Location 39
17	Aisle 1	Location 13
18	Aisle 1	Location 1
Order 8	number of articles 23	due date 7.22917
0	Aisle 1	Location 26
1	Aisle 5	Location 37
2	Aisle 3	Location 18
3	Aisle 1	Location 2
4	Aisle 0	Location 10
5	Aisle 3	Location 34
6	Aisle 2	Location 15
7	Aisle 12	Location 30
8	Aisle 4	Location 40
9	Aisle 0	Location 2
10	Aisle 0	Location 7
11	Aisle 3	Location 0
12	Aisle 0	Location 18
13	Aisle 0	Location 20
14	Aisle 0	Location 17
15	Aisle 4	Location 44
16	Aisle 1	Location 42
17	Aisle 3	Location 44
18	Aisle 4	Location 16
19	Aisle 9	Location 6
20	Aisle 1	Location 39
21	Aisle 1	Location 0
22	Aisle 3	Location 39
Order 9	number of articles 21	due date 152.229
0	Aisle 1	Location 15
1	Aisle 4	Location 38
2	Aisle 1	Location 42
3	Aisle 0	Location 36
4	Aisle 1	Location 8
5	Aisle 1	Location 13
6	Aisle 3	Location 20
7	Aisle 2	Location 0
8	Aisle 1	Location 14
9	Aisle 0	Location 5
10	Aisle 2	Location 23
11	Aisle 2	Location 30
12	Aisle 8	Location 2
13	Aisle 0	Location 20
14	Aisle 1	Location 3
15	Aisle 3	Location 9
16	Aisle 1	Location 16
17	Aisle 0	Location 24
18	Aisle 1	Location 9
19	Aisle 0	Location 19
20	Aisle 1	Location 1
Order 10	number of articles 11	due date 157.229
0	Aisle 0	Location 21
1	Aisle 3	Location 4
2	Aisle 0	Location 6
3	Aisle 4	Location 11
4	Aisle 16	Location 8
5	Aisle 2	Location 21
6	Aisle 7	Location 44
7	Aisle 4	Location 13
8	Aisle 5	Location 18
9	Aisle 5	Location 21
10	Aisle 1	Location 26
Order 11	number of articles 10	due date 137.229
0	Aisle 0	Location 17
1	Aisle 0	Location 2
2	Aisle 0	Location 21
3	Aisle 5	Location 43
4	Aisle 2	Location 27
5	Aisle 1	Location 28
6	Aisle 12	Location 12
7	Aisle 2	Location 24
8	Aisle 4	Location 16
9	Aisle 1	Location 30
Order 12	number of articles 19	due date 28.2292
0	Aisle 0	Location 9
1	Aisle 5	Location 13
2	Aisle 4	Location 19
3	Aisle 7	Location 23
4	Aisle 1	Location 34
5	Aisle 0	Location 1
6	Aisle 0	Location 11
7	Aisle 1	Location 18
8	Aisle 1	Location 11
9	Aisle 5	Location 25
10	Aisle 5	Location 24
11	Aisle 2	Location 14
12	Aisle 7	Location 37
13	Aisle 1	Location 23
14	Aisle 2	Location 30
15	Aisle 5	Location 38
16	Aisle 1	Location 36
17	Aisle 3	Location 7
18	Aisle 5	Location 8
Order 13	number of articles 15	due date 178.229
0	Aisle 2	Location 36
1	Aisle 1	Location 20
2	Aisle 5	Location 11
3	Aisle 2	Location 33
4	Aisle 5	Location 1
5	Aisle 1	Location 31
6	Aisle 0	Location 14
7	Aisle 2	Location 1
8	Aisle 5	Location 20
9	Aisle 5	Location 16
10	Aisle 0	Location 11
11	Aisle 4	Location 32
12	Aisle 4	Location 16
13	Aisle 1	Location 34
14	Aisle 19	Location 11
Order 14	number of articles 10	due date 109.229
0	Aisle 0	Location 27
1	Aisle 4	Location 43
2	Aisle 0	Location 41
3	Aisle 4	Location 1
4	Aisle 1	Location 41
5	Aisle 3	Location 12
6	Aisle 1	Location 24
7	Aisle 0	Location 12
8	Aisle 5	Location 16
9	Aisle 0	Location 3
Order 15	number of articles 10	due date 60.2292
0	Aisle 5	Location 10
1	Aisle 1	Location 17
2	Aisle 0	Location 5
3	Aisle 5	Location 40
4	Aisle 3	Location 24
5	Aisle 1	Location 33
6	Aisle 1	Location 25
7	Aisle 5	Location 33
8	Aisle 0	Location 7
9	Aisle 1	Location 15
Order 16	number of articles 22	due date 81.2292
0	Aisle 14	Location 1
1	Aisle 2	Location 4
2	Aisle 1	Location 42
3	Aisle 2	Location 8
4	Aisle 3	Location 1
5	Aisle 3	Location 36
6	Aisle 1	Location 43
7	Aisle 0	Location 28
8	Aisle 1	Location 31
9	Aisle 9	Location 6
10	Aisle 1	Location 0
11	Aisle 1	Location 5
12	Aisle 0	Location 38
13	Aisle 2	Location 12
14	Aisle 11	Location 42
15	Aisle 0	Location 29
16	Aisle 1	Location 37
17	Aisle 2	Location 28
18	Aisle 5	Location 31
19	Aisle 3	Location 3
20	Aisle 1	Location 15
21	Aisle 6	Location 25
Order 17	number of articles 22	due date 187.229
0	Aisle 9	Location 32
1	Aisle 4	Location 37
2	Aisle 1	Location 19
3	Aisle 9	Location 10
4	Aisle 3	Location 11
5	Aisle 3	Location 2
6	Aisle 2	Location 2
7	Aisle 2	Location 32
8	Aisle 0	Location 30
9	Aisle 2	Location 23
10	Aisle 1	Location 9
11	Aisle 1	Location 31
12	Aisle 0	Location 17
13	Aisle 1	Location 30
14	Aisle 1	Location 34
15	Aisle 0	Location 12
16	Aisle 1	Location 39
17	Aisle 4	Location 28
18	Aisle 3	Location 12
19	Aisle 0	Location 18
20	Aisle 0	Location 43
21	Aisle 10	Location 42
Order 18	number of articles 13	due date 34.2292
0	Aisle 1	Location 1
1	Aisle 11	Location 42
2	Aisle 3	Location 1
3	Aisle 2	Location 21
4	Aisle 2	Location 20
5	Aisle 0	Location 29
6	Aisle 5	Location 33
7	Aisle 0	Location 15
8	Aisle 1	Location 17
9	Aisle 3	Location 13
