Order 0	number of articles 10	due date 94.375
0	Aisle 1	Location 13
1	Aisle 3	Location 24
2	Aisle 0	Location 36
3	Aisle 0	Location 27
4	Aisle 1	Location 23
5	Aisle 8	Location 7
6	Aisle 0	Location 2
7	Aisle 1	Location 32
8	Aisle 2	Location 42
9	Aisle 2	Location 43
Order 1	number of articles 6	due date 38.375
0	Aisle 4	Location 30
1	Aisle 2	Location 3
2	Aisle 2	Location 6
3	Aisle 0	Location 3
4	Aisle 3	Location 24
5	Aisle 1	Location 4
Order 2	number of articles 10	due date 86.375
0	Aisle 2	Location 13
1	Aisle 0	Location 43
2	Aisle 0	Location 5
3	Aisle 0	Location 12
4	Aisle 4	Location 34
5	Aisle 16	Location 7
6	Aisle 0	Location 8
7	Aisle 1	Location 42
8	Aisle 14	Location 23
9	Aisle 18	Location 4
Order 3	number of articles 6	due date 102.375
0	Aisle 3	Location 13
1	Aisle 1	Location 2
2	Aisle 0	Location 43
3	Aisle 15	Location 12
4	Aisle 1	Location 14
5	Aisle 5	Location 20
Order 4	number of articles 24	due date 87.375
0	Aisle 5	Location 32
1	Aisle 0	Location 31
2	Aisle 0	Location 34
3	Aisle 0	Location 11
4	Aisle 5	Location 20
5	Aisle 2	Location 29
6	Aisle 17	Location 34
7	Aisle 1	Location 19
8	Aisle 4	Location 37
9	Aisle 2	Location 4
10	Aisle 1	Location 7
11	Aisle 1	Location 4
12	Aisle 7	Location 41
13	Aisle 2	Location 3
14	Aisle 0	Location 26
15	Aisle 4	Location 41
16	Aisle 1	Location 23
17	Aisle 0	Location 16
18	Aisle 2	Location 17
19	Aisle 0	Location 32
20	Aisle 5	Location 24
21	Aisle 0	Location 41
22	Aisle 3	Location 34
23	Aisle 3	Location 25
Order 5	number of articles 6	due date 37.375
0	Aisle 4	Location 32
1	Aisle 4	Location 10
2	Aisle 0	Location 34
3	Aisle 0	Location 29
4	Aisle 0	Location 4
5	Aisle 0	Location 7
Order 6	number of articles 20	due date 13.375
0	Aisle 0	Location 16
1	Aisle 1	Location 10
2	Aisle 4	Location 38
3	Aisle 0	Location 12
4	Aisle 3	Location 28
5	Aisle 3	Location 20
6	Aisle 1	Location 41
7	Aisle 5	Location 1
8	Aisle 5	Location 16
9	Aisle 0	Location 19
10	Aisle 0	Location 13
11	Aisle 2	Location 1
12	Aisle 0	Location 31
13	Aisle 1	Location 43
14	Aisle 0	Location 8
15	Aisle 3	Location 30
16	Aisle 0	Location 40
17	Aisle 3	Location 12
18	Aisle 1	Location 31
19	Aisle 3	Location 36
Order 7	number of articles 17	due date 18.375
0	Aisle 5	Location 8
1	Aisle 1	Location 14
2	Aisle 0	Location 4
3	Aisle 0	Location 15
4	Aisle 0	Location 41
5	Aisle 0	Location 7
6	Aisle 1	Location 19
