Order 0	number of articles 16	due date 52.5208
0	Aisle 17	Location 4
1	Aisle 5	Location 7
2	Aisle 1	Location 14
3	Aisle 9	Location 21
4	Aisle 5	Location 27
5	Aisle 2	Location 40
6	Aisle 6	Location 20
7	Aisle 4	Location 42
8	Aisle 5	Location 29
9	Aisle 1	Location 38
10	Aisle 3	Location 9
11	Aisle 1	Location 6
12	Aisle 0	Location 20
13	Aisle 0	Location 37
14	Aisle 3	Location 18
15	Aisle 2	Location 43
Order 1	number of articles 20	due date 259.521
0	Aisle 2	Location 34
1	Aisle 4	Location 39
2	Aisle 0	Location 13
3	Aisle 1	Location 3
4	Aisle 1	Location 41
5	Aisle 2	Location 7
6	Aisle 1	Location 43
7	Aisle 5	Location 7
8	Aisle 1	Location 23
9	Aisle 5	Location 35
10	Aisle 7	Location 34
11	Aisle 2	Location 19
12	Aisle 4	Location 18
13	Aisle 1	Location 34
14	Aisle 5	Location 39
15	Aisle 3	Location 43
16	Aisle 6	Location 6
17	Aisle 4	Location 35
18	Aisle 0	Location 23
19	Aisle 4	Location 24
Order 2	number of articles 21	due date 294.521
0	Aisle 2	Location 2
1	Aisle 0	Location 41
2	Aisle 1	Location 44
3	Aisle 0	Location 16
4	Aisle 18	Location 31
5	Aisle 0	Location 8
6	Aisle 4	Location 21
7	Aisle 1	Location 15
8	Aisle 4	Location 43
9	Aisle 1	Location 13
10	Aisle 1	Location 29
11	Aisle 1	Location 12
12	Aisle 0	Location 44
13	Aisle 5	Location 35
14	Aisle 16	Location 38
15	Aisle 3	Location 36
16	Aisle 5	Location 17
17	Aisle 3	Location 26
18	Aisle 0	Location 23
19	Aisle 0	Location 33
20	Aisle 2	Location 12
Order 3	number of articles 19	due date 550.521
0	Aisle 5	Location 3
1	Aisle 3	Location 7
2	Aisle 4	Location 30
3	Aisle 1	Location 12
4	Aisle 4	Location 33
5	Aisle 2	Location 39
6	Aisle 0	Location 17
7	Aisle 3	Location 30
8	Aisle 1	Location 3
9	Aisle 5	Location 12
10	Aisle 3	Location 19
11	Aisle 2	Location 42
12	Aisle 0	Location 27
13	Aisle 2	Location 10
14	Aisle 14	Location 26
15	Aisle 0	Location 11
16	Aisle 5	Location 43
17	Aisle 0	Location 34
18	Aisle 2	Location 1
Order 4	number of articles 22	due date 254.521
0	Aisle 1	Location 6
1	Aisle 2	Location 27
2	Aisle 1	Location 14
3	Aisle 0	Location 29
4	Aisle 0	Location 2
5	Aisle 5	Location 34
6	Aisle 0	Location 41
7	Aisle 5	Location 19
8	Aisle 3	Location 2
9	Aisle 1	Location 4
10	Aisle 12	Location 43
11	Aisle 8	Location 11
12	Aisle 3	Location 7
13	Aisle 3	Location 25
14	Aisle 1	Location 36
15	Aisle 1	Location 18
16	Aisle 2	Location 1
17	Aisle 17	Location 42
18	Aisle 5	Location 28
19	Aisle 1	Location 10
20	Aisle 0	Location 37
21	Aisle 1	Location 26
Order 5	number of articles 10	due date 445.521
0	Aisle 1	Location 41
1	Aisle 1	Location 21
2	Aisle 2	Location 43
3	Aisle 15	Location 24
4	Aisle 5	Location 8
5	Aisle 4	Location 21
6	Aisle 5	Location 0
7	Aisle 0	Location 22
8	Aisle 4	Location 27
9	Aisle 1	Location 20
Order 6	number of articles 8	due date 235.521
0	Aisle 1	Location 13
1	Aisle 5	Location 33
2	Aisle 16	Location 10
3	Aisle 1	Location 34
4	Aisle 19	Location 29
5	Aisle 1	Location 12
6	Aisle 1	Location 37
7	Aisle 7	Location 44
Order 7	number of articles 10	due date 36.5208
0	Aisle 1	Location 3
1	Aisle 4	Location 30
2	Aisle 3	Location 5
3	Aisle 1	Location 19
4	Aisle 3	Location 32
5	Aisle 1	Location 18
6	Aisle 1	Location 14
7	Aisle 0	Location 9
8	Aisle 0	Location 0
9	Aisle 4	Location 39
Order 8	number of articles 24	due date 156.521
0	Aisle 1	Location 33
1	Aisle 5	Location 15
2	Aisle 0	Location 19
3	Aisle 15	Location 20
4	Aisle 3	Location 3
5	Aisle 1	Location 9
6	Aisle 0	Location 33
7	Aisle 0	Location 25
8	Aisle 3	Location 0
9	Aisle 1	Location 21
10	Aisle 5	Location 26
11	Aisle 0	Location 5
12	Aisle 5	Location 28
13	Aisle 1	Location 6
14	Aisle 0	Location 10
15	Aisle 1	Location 2
16	Aisle 0	Location 43
17	Aisle 8	Location 16
18	Aisle 2	Location 14
19	Aisle 1	Location 13
20	Aisle 2	Location 21
21	Aisle 4	Location 2
22	Aisle 0	Location 27
23	Aisle 1	Location 27
Order 9	number of articles 12	due date 228.521
0	Aisle 5	Location 19
1	Aisle 12	Location 10
2	Aisle 2	Location 24
3	Aisle 3	Location 0
4	Aisle 5	Location 36
5	Aisle 1	Location 13
6	Aisle 3	Location 16
7	Aisle 4	Location 5
8	Aisle 0	Location 42
9	Aisle 0	Location 17
10	Aisle 0	Location 12
11	Aisle 1	Location 21
Order 10	number of articles 16	due date 101.521
0	Aisle 18	Location 39
1	Aisle 16	Location 42
2	Aisle 0	Location 38
3	Aisle 0	Location 26
4	Aisle 0	Location 18
5	Aisle 3	Location 29
6	Aisle 0	Location 6
7	Aisle 0	Location 5
8	Aisle 2	Location 26
9	Aisle 1	Location 13
10	Aisle 19	Location 3
11	Aisle 0	Location 40
12	Aisle 4	Location 11
13	Aisle 1	Location 35
14	Aisle 0	Location 11
15	Aisle 1	Location 10
Order 11	number of articles 10	due date 36.5208
0	Aisle 0	Location 33
1	Aisle 5	Location 22
2	Aisle 0	Location 37
3	Aisle 0	Location 27
4	Aisle 16	Location 40
5	Aisle 4	Location 0
6	Aisle 1	Location 8
7	Aisle 1	Location 24
8	Aisle 0	Location 3
9	Aisle 3	Location 0
Order 12	number of articles 23	due date 156.521
0	Aisle 4	Location 22
1	Aisle 5	Location 27
2	Aisle 2	Location 0
3	Aisle 1	Location 39
4	Aisle 5	Location 37
5	Aisle 1	Location 34
6	Aisle 1	Location 43
7	Aisle 1	Location 44
8	Aisle 1	Location 19
9	Aisle 1	Location 12
10	Aisle 0	Location 37
11	Aisle 3	Location 2
12	Aisle 4	Location 37
13	Aisle 0	Location 42
14	Aisle 4	Location 33
15	Aisle 1	Location 35
16	Aisle 1	Location 13
17	Aisle 9	Location 5
18	Aisle 0	Location 14
19	Aisle 0	Location 29
20	Aisle 1	Location 37
21	Aisle 0	Location 43
22	Aisle 4	Location 23
Order 13	number of articles 13	due date 225.521
0	Aisle 0	Location 29
1	Aisle 2	Location 36
2	Aisle 1	Location 21
3	Aisle 1	Location 1
4	Aisle 4	Location 38
5	Aisle 6	Location 27
6	Aisle 0	Location 14
7	Aisle 2	Location 17
8	Aisle 1	Location 9
9	Aisle 5	Location 9
10	Aisle 4	Location 20
11	Aisle 1	Location 40
12	Aisle 2	Location 12
Order 14	number of articles 17	due date 218.521
0	Aisle 19	Location 27
1	Aisle 8	Location 2
2	Aisle 6	Location 5
3	Aisle 2	Location 23
4	Aisle 2	Location 26
5	Aisle 0	Location 15
6	Aisle 18	Location 42
7	Aisle 3	Location 31
8	Aisle 1	Location 18
9	Aisle 1	Location 40
10	Aisle 1	Location 14
11	Aisle 3	Location 11
12	Aisle 1	Location 26
13	Aisle 0	Location 6
14	Aisle 1	Location 44
15	Aisle 3	Location 16
16	Aisle 3	Location 28
Order 15	number of articles 24	due date 538.521
0	Aisle 0	Location 20
1	Aisle 5	Location 25
2	Aisle 1	Location 32
3	Aisle 2	Location 37
4	Aisle 0	Location 27
5	Aisle 0	Location 9
6	Aisle 5	Location 28
7	Aisle 3	Location 28
8	Aisle 2	Location 28
9	Aisle 1	Location 5
10	Aisle 0	Location 22
11	Aisle 1	Location 7
12	Aisle 1	Location 33
13	Aisle 3	Location 42
14	Aisle 1	Location 0
15	Aisle 2	Location 0
16	Aisle 1	Location 10
17	Aisle 2	Location 12
18	Aisle 1	Location 38
19	Aisle 2	Location 31
20	Aisle 0	Location 14
21	Aisle 2	Location 8
22	Aisle 0	Location 30
23	Aisle 1	Location 42
Order 16	number of articles 7	due date 504.521
0	Aisle 14	Location 20
1	Aisle 5	Location 33
2	Aisle 5	Location 25
3	Aisle 0	Location 35
4	Aisle 1	Location 36
5	Aisle 0	Location 22
6	Aisle 3	Location 24
Order 17	number of articles 15	due date 214.521
0	Aisle 5	Location 42
1	Aisle 1	Location 22
2	Aisle 5	Location 34
3	Aisle 2	Location 43
4	Aisle 1	Location 32
5	Aisle 5	Location 9
6	Aisle 3	Location 15
7	Aisle 5	Location 13
8	Aisle 1	Location 43
9	Aisle 2	Location 27
10	Aisle 0	Location 28
11	Aisle 5	Location 0
12	Aisle 1	Location 27
13	Aisle 1	Location 41
14	Aisle 14	Location 19
Order 18	number of articles 24	due date 425.521
0	Aisle 4	Location 6
1	Aisle 5	Location 2
2	Aisle 5	Location 7
3	Aisle 1	Location 33
4	Aisle 1	Location 35
5	Aisle 1	Location 10
6	Aisle 0	Location 31
7	Aisle 2	Location 13
8	Aisle 3	Location 39
9	Aisle 0	Location 15
10	Aisle 4	Location 13
11	Aisle 3	Location 20
12	Aisle 5	Location 16
13	Aisle 5	Location 36
14	Aisle 4	Location 27
15	Aisle 0	Location 14
16	Aisle 4	Location 1
17	Aisle 2	Location 32
18	Aisle 1	Location 20
19	Aisle 3	Location 22
20	Aisle 1	Location 21
21	Aisle 17	Location 18
22	Aisle 0	Location 2
23	Aisle 5	Location 24
Order 19	number of articles 20	due date 560.521
0	Aisle 1	Location 26
1	Aisle 4	Location 4
2	Aisle 3	Location 17
3	Aisle 3	Location 20
4	Aisle 3	Location 7
5	Aisle 13	Location 1
6	Aisle 1	Location 34
7	Aisle 1	Location 10
8	Aisle 1	Location 30
9	Aisle 1	Location 20
10	Aisle 1	Location 35
11	Aisle 1	Location 44
12	Aisle 1	Location 15
13	Aisle 2	Location 24
14	Aisle 9	Location 1
15	Aisle 5	Location 14
16	Aisle 0	Location 29
17	Aisle 2	Location 16
18	Aisle 1	Location 12
19	Aisle 1	Location 16
Order 20	number of articles 17	due date 172.521
0	Aisle 3	Location 42
1	Aisle 4	Location 0
2	Aisle 3	Location 2
3	Aisle 0	Location 5
4	Aisle 4	Location 36
5	Aisle 1	Location 20
6	Aisle 5	Location 28
7	Aisle 2	Location 23
8	Aisle 11	Location 19
9	Aisle 3	Location 23
10	Aisle 3	Location 28
11	Aisle 1	Location 12
12	Aisle 6	Location 42
13	Aisle 1	Location 43
14	Aisle 0	Location 26
15	Aisle 4	Location 4
16	Aisle 1	Location 26
Order 21	number of articles 22	due date 347.521
0	Aisle 1	Location 15
1	Aisle 17	Location 33
2	Aisle 1	Location 2
3	Aisle 1	Location 30
4	Aisle 0	Location 9
5	Aisle 1	Location 38
6	Aisle 1	Location 26
7	Aisle 1	Location 33
8	Aisle 5	Location 20
9	Aisle 2	Location 7
10	Aisle 4	Location 44
11	Aisle 3	Location 3
12	Aisle 1	Location 16
13	Aisle 4	Location 0
14	Aisle 3	Location 25
15	Aisle 0	Location 7
16	Aisle 3	Location 18
17	Aisle 1	Location 32
18	Aisle 0	Location 37
19	Aisle 3	Location 30
20	Aisle 3	Location 28
21	Aisle 3	Location 12
Order 22	number of articles 9	due date 495.521
0	Aisle 1	Location 9
1	Aisle 5	Location 43
2	Aisle 3	Location 11
3	Aisle 13	Location 16
4	Aisle 14	Location 20
5	Aisle 3	Location 19
6	Aisle 18	Location 39
7	Aisle 4	Location 31
