Order 0	number of articles 10	due date 116.458
0	Aisle 3	Location 9
1	Aisle 2	Location 23
2	Aisle 3	Location 15
3	Aisle 4	Location 23
4	Aisle 7	Location 4
5	Aisle 4	Location 7
6	Aisle 4	Location 39
7	Aisle 2	Location 17
8	Aisle 1	Location 38
9	Aisle 3	Location 31
Order 1	number of articles 22	due date 68.4583
0	Aisle 0	Location 7
1	Aisle 0	Location 9
2	Aisle 0	Location 40
3	Aisle 5	Location 17
4	Aisle 7	Location 30
5	Aisle 2	Location 43
6	Aisle 3	Location 36
7	Aisle 0	Location 15
8	Aisle 13	Location 20
9	Aisle 1	Location 17
10	Aisle 2	Location 16
11	Aisle 15	Location 33
12	Aisle 4	Location 30
13	Aisle 17	Location 1
14	Aisle 2	Location 18
15	Aisle 2	Location 27
16	Aisle 0	Location 42
17	Aisle 1	Location 35
18	Aisle 1	Location 9
19	Aisle 1	Location 1
20	Aisle 2	Location 36
21	Aisle 0	Location 5
Order 2	number of articles 17	due date 152.458
0	Aisle 0	Location 7
1	Aisle 1	Location 29
2	Aisle 0	Location 38
3	Aisle 1	Location 1
4	Aisle 0	Location 40
5	Aisle 5	Location 14
6	Aisle 16	Location 24
7	Aisle 0	Location 13
8	Aisle 0	Location 39
9	Aisle 3	Location 9
10	Aisle 0	Location 32
11	Aisle 1	Location 0
12	Aisle 4	Location 7
13	Aisle 1	Location 12
14	Aisle 1	Location 10
15	Aisle 15	Location 43
16	Aisle 0	Location 2
Order 3	number of articles 23	due date 78.4583
0	Aisle 1	Location 31
1	Aisle 0	Location 42
2	Aisle 3	Location 8
3	Aisle 1	Location 12
4	Aisle 1	Location 41
5	Aisle 0	Location 6
6	Aisle 0	Location 32
7	Aisle 1	Location 1
8	Aisle 9	Location 34
9	Aisle 0	Location 16
10	Aisle 14	Location 3
11	Aisle 1	Location 32
12	Aisle 0	Location 36
13	Aisle 6	Location 8
14	Aisle 2	Location 36
15	Aisle 0	Location 44
16	Aisle 1	Location 25
17	Aisle 4	Location 42
18	Aisle 1	Location 11
19	Aisle 6	Location 43
20	Aisle 5	Location 12
21	Aisle 2	Location 22
22	Aisle 1	Location 7
Order 4	number of articles 16	due date 100.458
0	Aisle 0	Location 1
1	Aisle 4	Location 37
2	Aisle 0	Location 35
3	Aisle 18	Location 6
4	Aisle 3	Location 30
5	Aisle 1	Location 19
6	Aisle 3	Location 37
7	Aisle 0	Location 12
8	Aisle 1	Location 33
9	Aisle 0	Location 29
10	Aisle 4	Location 18
11	Aisle 0	Location 3
12	Aisle 1	Location 18
13	Aisle 1	Location 11
14	Aisle 5	Location 19
15	Aisle 1	Location 23
Order 5	number of articles 22	due date 91.4583
0	Aisle 3	Location 1
1	Aisle 1	Location 43
2	Aisle 11	Location 13
3	Aisle 13	Location 10
4	Aisle 3	Location 4
5	Aisle 0	Location 18
6	Aisle 11	Location 1
7	Aisle 1	Location 29
8	Aisle 0	Location 12
9	Aisle 0	Location 39
10	Aisle 1	Location 19
11	Aisle 0	Location 36
12	Aisle 1	Location 22
13	Aisle 0	Location 13
14	Aisle 2	Location 25
15	Aisle 0	Location 8
16	Aisle 3	Location 36
17	Aisle 0	Location 9
18	Aisle 2	Location 29
19	Aisle 1	Location 33
20	Aisle 0	Location 23
21	Aisle 4	Location 7
Order 6	number of articles 12	due date 66.4583
0	Aisle 0	Location 33
1	Aisle 1	Location 11
2	Aisle 1	Location 37
3	Aisle 10	Location 7
4	Aisle 0	Location 16
5	Aisle 0	Location 4
6	Aisle 1	Location 13
7	Aisle 7	Location 7
8	Aisle 4	Location 20
9	Aisle 4	Location 32
10	Aisle 5	Location 18
11	Aisle 2	Location 37
Order 7	number of articles 19	due date 45.4583
0	Aisle 5	Location 40
1	Aisle 11	Location 26
2	Aisle 0	Location 38
3	Aisle 1	Location 35
4	Aisle 2	Location 17
5	Aisle 0	Location 44
6	Aisle 4	Location 8
7	Aisle 8	Location 12
8	Aisle 0	Location 1
9	Aisle 10	Location 40
10	Aisle 2	Location 19
11	Aisle 2	Location 41
12	Aisle 0	Location 12
13	Aisle 5	Location 10
14	Aisle 3	Location 6
15	Aisle 0	Location 26
16	Aisle 5	Location 23
17	Aisle 1	Location 29
18	Aisle 5	Location 25
Order 8	number of articles 9	due date 106.458
0	Aisle 4	Location 33
1	Aisle 2	Location 8
2	Aisle 0	Location 25
3	Aisle 1	Location 41
4	Aisle 18	Location 23
5	Aisle 2	Location 21
6	Aisle 5	Location 39
7	Aisle 1	Location 1
8	Aisle 2	Location 25
Order 9	number of articles 7	due date 21.4583
0	Aisle 1	Location 9
1	Aisle 1	Location 38
2	Aisle 0	Location 24
3	Aisle 3	Location 12
4	Aisle 1	Location 30
5	Aisle 16	Location 21
6	Aisle 14	Location 1
Order 10	number of articles 14	due date 34.4583
0	Aisle 1	Location 4
1	Aisle 4	Location 14
2	Aisle 1	Location 12
3	Aisle 1	Location 25
4	Aisle 0	Location 20
5	Aisle 18	Location 26
6	Aisle 2	Location 39
7	Aisle 1	Location 5
8	Aisle 0	Location 13
9	Aisle 3	Location 34
10	Aisle 0	Location 7
11	Aisle 0	Location 25
12	Aisle 1	Location 19
13	Aisle 4	Location 22
Order 11	number of articles 15	due date 88.4583
0	Aisle 4	Location 22
1	Aisle 0	Location 41
2	Aisle 0	Location 19
3	Aisle 10	Location 11
4	Aisle 2	Location 33
5	Aisle 1	Location 28
6	Aisle 4	Location 13
7	Aisle 9	Location 9
8	Aisle 1	Location 16
9	Aisle 3	Location 7
10	Aisle 1	Location 33
11	Aisle 0	Location 14
12	Aisle 5	Location 31
13	Aisle 3	Location 8
14	Aisle 1	Location 29
Order 12	number of articles 24	due date 45.4583
0	Aisle 1	Location 5
1	Aisle 0	Location 6
2	Aisle 1	Location 38
3	Aisle 1	Location 27
4	Aisle 1	Location 22
5	Aisle 1	Location 16
6	Aisle 4	Location 3
7	Aisle 1	Location 40
8	Aisle 0	Location 23
9	Aisle 3	Location 16
10	Aisle 0	Location 4
11	Aisle 10	Location 22
12	Aisle 2	Location 12
13	Aisle 3	Location 38
14	Aisle 5	Location 27
15	Aisle 4	Location 31
16	Aisle 1	Location 39
17	Aisle 1	Location 2
18	Aisle 1	Location 13
19	Aisle 4	Location 7
20	Aisle 0	Location 12
21	Aisle 5	Location 10
22	Aisle 0	Location 31
23	Aisle 4	Location 15
Order 13	number of articles 10	due date 118.458
0	Aisle 1	Location 36
1	Aisle 5	Location 30
2	Aisle 1	Location 10
3	Aisle 13	Location 24
4	Aisle 1	Location 23
5	Aisle 3	Location 13
6	Aisle 1	Location 30
7	Aisle 3	Location 38
8	Aisle 3	Location 44
9	Aisle 5	Location 20
Order 14	number of articles 15	due date 142.458
0	Aisle 1	Location 44
1	Aisle 6	Location 30
2	Aisle 2	Location 33
3	Aisle 1	Location 16
4	Aisle 10	Location 15
5	Aisle 5	Location 22
6	Aisle 1	Location 27
7	Aisle 5	Location 27
8	Aisle 2	Location 26
9	Aisle 16	Location 10
10	Aisle 1	Location 5
11	Aisle 1	Location 34
12	Aisle 0	Location 39
13	Aisle 0	Location 23
14	Aisle 1	Location 41
Order 15	number of articles 9	due date 149.458
0	Aisle 0	Location 11
1	Aisle 1	Location 17
2	Aisle 0	Location 27
3	Aisle 4	Location 10
4	Aisle 0	Location 8
5	Aisle 1	Location 30
6	Aisle 1	Location 21
7	Aisle 2	Location 28
8	Aisle 15	Location 29
Order 16	number of articles 18	due date 130.458
0	Aisle 0	Location 18
1	Aisle 0	Location 17
