Order 0	number of articles 10	due date 213.729
0	Aisle 0	Location 8
1	Aisle 0	Location 42
2	Aisle 5	Location 16
3	Aisle 5	Location 28
4	Aisle 3	Location 23
5	Aisle 1	Location 20
6	Aisle 16	Location 39
7	Aisle 1	Location 41
8	Aisle 0	Location 22
9	Aisle 15	Location 17
Order 1	number of articles 14	due date 278.729
0	Aisle 1	Location 44
1	Aisle 1	Location 22
2	Aisle 1	Location 26
3	Aisle 12	Location 3
4	Aisle 0	Location 24
5	Aisle 3	Location 11
6	Aisle 0	Location 6
7	Aisle 4	Location 27
8	Aisle 2	Location 25
9	Aisle 0	Location 38
10	Aisle 3	Location 8
11	Aisle 5	Location 34
12	Aisle 0	Location 29
13	Aisle 1	Location 37
Order 2	number of articles 13	due date 248.729
0	Aisle 0	Location 25
1	Aisle 4	Location 20
2	Aisle 3	Location 22
3	Aisle 5	Location 29
4	Aisle 5	Location 13
5	Aisle 11	Location 21
6	Aisle 5	Location 11
7	Aisle 0	Location 3
8	Aisle 3	Location 6
9	Aisle 1	Location 13
10	Aisle 2	Location 27
11	Aisle 2	Location 41
12	Aisle 0	Location 6
Order 3	number of articles 12	due date 60.7292
0	Aisle 1	Location 3
1	Aisle 4	Location 37
2	Aisle 11	Location 26
3	Aisle 4	Location 40
4	Aisle 3	Location 2
5	Aisle 3	Location 13
6	Aisle 0	Location 36
7	Aisle 0	Location 17
8	Aisle 3	Location 29
9	Aisle 0	Location 21
10	Aisle 5	Location 28
11	Aisle 0	Location 29
Order 4	number of articles 11	due date 276.729
0	Aisle 1	Location 37
1	Aisle 5	Location 22
2	Aisle 1	Location 16
3	Aisle 5	Location 36
4	Aisle 1	Location 13
5	Aisle 2	Location 38
6	Aisle 5	Location 30
7	Aisle 1	Location 29
8	Aisle 8	Location 17
9	Aisle 0	Location 38
10	Aisle 2	Location 43
Order 5	number of articles 11	due date 156.729
0	Aisle 19	Location 27
1	Aisle 2	Location 23
2	Aisle 1	Location 2
3	Aisle 1	Location 43
4	Aisle 0	Location 13
5	Aisle 4	Location 14
6	Aisle 1	Location 20
7	Aisle 0	Location 5
8	Aisle 1	Location 36
9	Aisle 0	Location 27
