 1	 9	232.52	 1	0.00	232.52	
 2	 8	64.32	10	3.25	61.07	
 3	 9	123.70	18	3.32	120.38	
 4	20	166.97	27	4.90	162.07	
 5	19	189.50	47	5.78	183.72	
 6	19	238.33	66	7.58	230.75	
 7	19	349.75	85	17.37	332.39	
 8	18	73.75	104	17.76	55.99	
 9	13	351.39	122	26.53	324.86	
10	23	285.25	135	35.01	250.24	
11	12	130.14	158	36.37	93.76	
12	14	358.44	170	37.59	320.85	
13	18	54.08	184	38.98	15.10	
14	20	358.45	202	44.59	313.86	
15	10	319.11	222	45.36	273.75	
16	24	161.28	232	46.34	114.94	
17	15	112.29	256	47.33	64.96	
18	18	132.62	271	48.22	84.40	
19	 5	350.66	289	49.90	300.76	
20	21	258.84	294	51.60	207.24	
21	11	292.42	315	54.69	237.73	
22	22	404.86	326	57.39	347.47	
23	14	195.57	348	57.79	137.78	
24	11	137.00	362	57.85	79.15	
25	 9	168.32	373	61.85	106.47	
26	25	328.28	382	63.01	265.27	
27	 8	173.94	407	64.28	109.66	
28	 7	408.74	415	67.19	341.56	
29	18	130.43	422	67.52	62.91	
30	 8	373.79	440	68.77	305.02	
31	14	303.89	448	70.64	233.25	
32	 8	218.98	462	70.67	148.31	
33	23	422.93	470	72.37	350.56	
34	 9	286.36	493	80.17	206.19	
35	11	390.27	502	80.23	310.03	
36	10	120.29	513	81.05	39.24	
37	21	293.76	523	84.53	209.23	
38	18	98.40	544	84.74	13.66	
39	16	140.36	562	84.86	55.50	
40	13	227.88	578	87.47	140.41	
41	22	150.06	591	87.69	62.38	
42	24	167.61	613	88.17	79.44	
43	20	115.06	637	89.60	25.46	
44	17	418.59	657	89.70	328.89	
45	12	301.04	674	90.67	210.37	
46	23	263.16	686	91.93	171.23	
47	21	296.09	709	93.02	203.08	
48	21	369.03	730	94.89	274.13	
49	 9	203.35	751	98.38	104.97	
50	10	239.17	760	99.30	139.86	
51	19	444.78	770	104.08	340.70	
52	21	266.42	789	104.44	161.98	
53	 9	411.19	810	105.03	306.15	
54	18	344.90	819	106.25	238.65	
55	25	341.09	837	107.87	233.22	
56	25	174.85	862	108.53	66.31	
57	20	202.49	887	108.60	93.88	
58	 7	305.57	907	116.20	189.37	
59	23	282.18	914	120.79	161.39	
60	 9	258.45	937	124.17	134.28	
61	16	452.81	946	124.51	328.30	
62	12	270.87	962	126.31	144.56	
63	25	255.52	974	127.57	127.94	
64	20	202.19	999	129.93	72.26	
65	19	163.08	1019	131.39	31.68	
66	14	349.54	1038	131.87	217.67	
67	14	310.16	1052	134.30	175.86	
68	 9	328.71	1066	134.69	194.02	
69	17	269.79	1075	138.30	131.49	
70	22	469.29	1092	138.64	330.65	
71	10	163.04	1114	139.61	23.43	
72	20	295.21	1124	139.66	155.55	
73	19	180.95	1144	142.04	38.91	
74	12	310.88	1163	144.18	166.70	
75	 8	346.66	1175	145.63	201.04	
76	12	205.66	1183	148.47	57.19	
77	16	195.54	1195	148.60	46.94	
78	16	469.76	1211	153.80	315.95	
79	 5	181.19	1227	154.67	26.53	
80	12	170.90	1232	157.55	13.35	
