 1	22	304.09	 1	0.00	304.09	
 2	23	571.21	23	0.82	570.39	
 3	17	710.66	46	4.69	705.97	
 4	22	211.04	63	8.75	202.29	
 5	 8	205.77	85	13.68	192.09	
 6	21	388.26	93	16.75	371.51	
 7	25	661.73	114	19.70	642.03	
 8	13	365.95	139	20.06	345.89	
 9	25	334.88	152	21.23	313.65	
10	 7	758.60	177	21.63	736.97	
11	19	135.78	184	22.69	113.09	
12	19	296.58	203	24.40	272.19	
13	17	39.18	222	26.17	13.02	
14	11	127.28	239	26.46	100.83	
15	13	184.72	250	30.72	154.00	
16	 5	697.97	263	30.80	667.17	
17	17	109.58	268	31.25	78.33	
18	19	708.75	285	37.24	671.52	
19	17	448.48	304	39.81	408.68	
20	14	70.23	321	40.07	30.16	
21	13	168.42	335	41.10	127.32	
22	23	218.58	348	41.67	176.91	
23	18	246.13	371	41.73	204.40	
24	15	494.00	389	43.44	450.56	
25	 9	515.90	404	43.50	472.40	
26	21	889.24	413	45.35	843.90	
27	 7	358.82	434	45.68	313.14	
28	 7	798.45	441	49.73	748.72	
29	19	610.37	448	50.22	560.15	
30	23	669.78	467	53.03	616.75	
31	17	74.58	490	53.03	21.54	
32	22	544.81	507	57.37	487.44	
33	23	486.78	529	60.50	426.29	
34	 7	362.00	552	61.10	300.90	
35	20	604.36	559	68.40	535.96	
36	10	745.77	579	71.41	674.36	
37	 9	367.47	589	71.46	296.01	
38	23	864.11	598	73.80	790.31	
39	15	378.46	621	74.14	304.32	
40	22	497.77	636	74.76	423.01	
41	13	520.61	658	77.63	442.98	
42	21	593.22	671	80.08	513.14	
43	 8	224.27	692	80.36	143.91	
44	 6	904.16	700	85.70	818.46	
45	 7	547.15	706	91.59	455.57	
46	19	717.12	713	92.78	624.34	
47	23	784.32	732	93.07	691.26	
48	 7	382.10	755	93.23	288.87	
49	24	335.60	762	94.70	240.89	
50	13	136.61	786	96.04	40.56	
51	14	127.26	799	98.70	28.56	
52	 9	169.96	813	98.97	70.99	
53	17	395.22	822	101.65	293.56	
54	13	645.35	839	101.95	543.40	
55	16	693.04	852	103.15	589.89	
56	22	657.13	868	104.09	553.04	
57	11	778.79	890	105.64	673.15	
58	13	687.78	901	108.54	579.24	
59	25	172.53	914	109.80	62.73	
60	17	519.01	939	116.19	402.82	
61	 7	378.57	956	118.58	259.98	
62	 7	689.71	963	122.69	567.02	
63	 9	432.93	970	124.62	308.31	
64	16	526.44	979	125.21	401.23	
65	 7	482.18	995	126.01	356.17	
66	19	495.84	1002	126.98	368.86	
67	12	147.17	1021	127.65	19.52	
68	 8	491.78	1033	127.80	363.98	
69	24	551.80	1041	129.76	422.04	
70	18	660.14	1065	130.12	530.02	
71	17	846.87	1083	132.39	714.48	
72	11	753.75	1100	135.99	617.77	
73	22	944.49	1111	139.33	805.16	
74	 7	484.33	1133	142.36	341.96	
75	 7	536.03	1140	143.86	392.17	
76	 7	949.85	1147	149.47	800.38	
77	14	365.15	1154	152.96	212.18	
78	11	175.14	1168	155.40	19.74	
79	 6	409.78	1179	156.07	253.70	
80	10	173.14	1185	156.37	16.77	
81	10	977.13	1195	156.52	820.61	
82	23	176.00	1205	158.04	17.96	
83	10	266.61	1228	164.87	101.74	
84	15	970.73	1238	165.49	805.24	
85	21	695.25	1253	170.04	525.21	
86	18	537.88	1274	170.05	367.83	
87	24	211.43	1292	171.40	40.03	
88	 9	749.46	1316	171.96	577.51	
89	 5	988.15	1325	175.14	813.01	
90	 6	871.00	1330	176.16	694.84	
91	12	870.87	1336	179.20	691.67	
92	15	537.73	1348	179.71	358.02	
93	23	685.73	1363	183.58	502.15	
94	25	731.37	1386	183.81	547.56	
95	10	921.18	1411	184.44	736.74	
96	12	1031.53	1421	185.03	846.50	
97	18	791.10	1433	189.88	601.22	
98	24	751.00	1451	190.31	560.69	
99	 7	653.30	1475	190.75	462.54	
100	21	787.75	1482	191.10	596.65	
