no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: c
routing___: l
type______: n
no_orders_: 80
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 50
start_time: 0
MTCR______: 0.5
m_no_o_p_b: 500000
m_no_a_p_b: 75
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 48
speed_pick: 6
art_capacy: 22738
empty_posi: 15918
chaotical_: 6691
19991,22262,6549,6069,29262,
11975,29437,24104,18228,22168,
10815,17793,7687,3776,8743,
31214,13458,5868,28793,31668,
1361,19898,20273,23401,25302,
28291,13071,1635,25195,24951,
11091,14192,23033,20976,28358,
24519,29993,32512,14841,7231,
9672,31308,25297,2751,29552,
18718,17731,5110,28261,7093,
27997,32076,18877,3808,8838,
22296,24772,11211,14342,6931,
11166,6680,18121,3853,26414,
14385,13407,16350,29751,3549,
11080,10400,12737,19730,26735,
23067,22207,21771,500,13953,
3822,27545,2862,5468,24320,
8382,14833,25540,5114,4216,
28940,5333,16859,30427,21526,
30304,5502,19042,18539,15841,
32193,20615,1905,25009,28647,
24721,9760,4733,19259,18606,
13761,26871,8182,2369,25077,
7115,23907,23165,12282,20949,
11073,12339,17194,25745,29289,
12264,19140,9939,22705,19755,
31983,952,13327,38,17148,
2524,14594,19058,31468,14029,
26669,32304,29234,5824,32581,
31573,32186,3203,28974,22341,
21289,21939,10593,8868,1895,
7983,7825,16744,22107,15820,
30862,2355,6133,24395,19817,
6625,1650,18312,14809,9308,
14811,28147,22749,5048,31951,
3908,24227,19580,24195,1899,
23209,30269,9735,1990,25890,
882,2763,32151,15259,27523,
22113,15541,4318,19235,21380,
17026,5143,24288,11866,9500,
29493,3064,10742,728,23699,
27503,20257,1516,17368,2910,
30810,20587,28188,23182,24347,
25719,2380,29253,3678,23730,
21199,12896,24160,2293,4457,
25506,23973,17221,26208,21580,
19260,4354,14814,8942,1604,
25698,18071,11132,5807,4638,
2219,19108,13126,20331,5070,
27487,26861,19500,5286,4807,
