Order 0	number of articles 21	due date 102.667
0	Aisle 12	Location 6
1	Aisle 0	Location 9
2	Aisle 1	Location 39
3	Aisle 0	Location 6
4	Aisle 1	Location 1
5	Aisle 5	Location 21
6	Aisle 6	Location 27
7	Aisle 0	Location 19
8	Aisle 2	Location 10
9	Aisle 2	Location 13
10	Aisle 6	Location 40
11	Aisle 0	Location 43
12	Aisle 8	Location 40
13	Aisle 14	Location 13
14	Aisle 5	Location 16
15	Aisle 0	Location 15
16	Aisle 1	Location 41
17	Aisle 1	Location 33
18	Aisle 1	Location 2
19	Aisle 4	Location 41
20	Aisle 5	Location 30
Order 1	number of articles 10	due date 94.6667
0	Aisle 2	Location 15
1	Aisle 3	Location 7
2	Aisle 1	Location 7
3	Aisle 3	Location 41
4	Aisle 12	Location 32
5	Aisle 0	Location 11
6	Aisle 0	Location 1
7	Aisle 18	Location 10
8	Aisle 1	Location 15
9	Aisle 4	Location 20
Order 2	number of articles 23	due date 153.667
0	Aisle 0	Location 3
1	Aisle 2	Location 41
2	Aisle 9	Location 27
3	Aisle 8	Location 44
4	Aisle 0	Location 6
5	Aisle 4	Location 33
6	Aisle 15	Location 41
7	Aisle 0	Location 41
8	Aisle 5	Location 18
9	Aisle 1	Location 11
10	Aisle 1	Location 41
11	Aisle 1	Location 39
12	Aisle 1	Location 32
13	Aisle 0	Location 26
14	Aisle 2	Location 9
15	Aisle 9	Location 42
16	Aisle 4	Location 44
17	Aisle 2	Location 22
18	Aisle 4	Location 34
19	Aisle 2	Location 4
20	Aisle 3	Location 19
21	Aisle 2	Location 43
22	Aisle 12	Location 33
Order 3	number of articles 14	due date 82.6667
0	Aisle 2	Location 6
1	Aisle 1	Location 1
2	Aisle 5	Location 35
3	Aisle 0	Location 21
4	Aisle 5	Location 1
5	Aisle 6	Location 37
6	Aisle 2	Location 8
7	Aisle 0	Location 16
8	Aisle 12	Location 11
9	Aisle 0	Location 25
10	Aisle 5	Location 38
11	Aisle 0	Location 27
12	Aisle 4	Location 34
13	Aisle 0	Location 14
Order 4	number of articles 10	due date 155.667
0	Aisle 1	Location 1
1	Aisle 1	Location 24
2	Aisle 6	Location 28
3	Aisle 1	Location 28
4	Aisle 0	Location 2
5	Aisle 0	Location 17
6	Aisle 1	Location 36
7	Aisle 1	Location 7
8	Aisle 0	Location 1
9	Aisle 2	Location 33
Order 5	number of articles 12	due date 15.6667
0	Aisle 1	Location 32
1	Aisle 4	Location 40
2	Aisle 4	Location 43
3	Aisle 0	Location 24
4	Aisle 0	Location 27
5	Aisle 0	Location 41
6	Aisle 1	Location 1
7	Aisle 4	Location 10
8	Aisle 4	Location 18
9	Aisle 0	Location 37
10	Aisle 1	Location 31
11	Aisle 0	Location 28
Order 6	number of articles 14	due date 23.6667
0	Aisle 0	Location 1
1	Aisle 0	Location 16
2	Aisle 2	Location 25
3	Aisle 5	Location 43
4	Aisle 0	Location 10
5	Aisle 1	Location 27
6	Aisle 5	Location 38
7	Aisle 1	Location 19
8	Aisle 2	Location 24
9	Aisle 3	Location 6
10	Aisle 2	Location 22
11	Aisle 0	Location 28
12	Aisle 6	Location 33
13	Aisle 0	Location 32
Order 7	number of articles 18	due date 164.667
0	Aisle 16	Location 39
1	Aisle 0	Location 13
2	Aisle 19	Location 23
3	Aisle 0	Location 12
4	Aisle 5	Location 8
5	Aisle 0	Location 2
6	Aisle 4	Location 13
7	Aisle 4	Location 12
8	Aisle 1	Location 23
9	Aisle 5	Location 29
10	Aisle 0	Location 40
11	Aisle 3	Location 21
12	Aisle 2	Location 37
13	Aisle 1	Location 19
14	Aisle 0	Location 23
15	Aisle 5	Location 30
16	Aisle 1	Location 29
17	Aisle 0	Location 27
Order 8	number of articles 9	due date 66.6667
0	Aisle 3	Location 16
1	Aisle 0	Location 12
2	Aisle 2	Location 40
3	Aisle 1	Location 5
4	Aisle 1	Location 33
5	Aisle 0	Location 7
6	Aisle 0	Location 9
7	Aisle 1	Location 22
8	Aisle 0	Location 23
Order 9	number of articles 22	due date 70.6667
0	Aisle 1	Location 1
1	Aisle 0	Location 12
2	Aisle 1	Location 30
3	Aisle 1	Location 0
4	Aisle 1	Location 15
5	Aisle 3	Location 34
6	Aisle 0	Location 15
7	Aisle 1	Location 43
8	Aisle 4	Location 38
9	Aisle 16	Location 38
10	Aisle 0	Location 3
11	Aisle 0	Location 2
12	Aisle 2	Location 23
13	Aisle 4	Location 15
14	Aisle 1	Location 7
15	Aisle 5	Location 38
16	Aisle 4	Location 31
17	Aisle 3	Location 35
18	Aisle 0	Location 44
19	Aisle 1	Location 37
20	Aisle 4	Location 16
21	Aisle 7	Location 31
Order 10	number of articles 13	due date 108.667
0	Aisle 0	Location 43
1	Aisle 5	Location 29
2	Aisle 5	Location 16
3	Aisle 4	Location 39
4	Aisle 1	Location 32
5	Aisle 2	Location 18
6	Aisle 4	Location 12
7	Aisle 0	Location 23
8	Aisle 1	Location 33
9	Aisle 1	Location 10
10	Aisle 4	Location 20
11	Aisle 2	Location 8
12	Aisle 1	Location 8
Order 11	number of articles 7	due date 54.6667
0	Aisle 1	Location 31
1	Aisle 0	Location 7
2	Aisle 2	Location 31
3	Aisle 0	Location 42
4	Aisle 0	Location 39
5	Aisle 1	Location 32
6	Aisle 5	Location 7
Order 12	number of articles 9	due date 26.6667
0	Aisle 10	Location 27
1	Aisle 0	Location 3
2	Aisle 0	Location 1
3	Aisle 1	Location 37
4	Aisle 1	Location 15
5	Aisle 1	Location 1
6	Aisle 8	Location 9
7	Aisle 3	Location 5
8	Aisle 0	Location 13
Order 13	number of articles 21	due date 153.667
0	Aisle 0	Location 9
1	Aisle 0	Location 3
2	Aisle 3	Location 13
3	Aisle 1	Location 31
4	Aisle 2	Location 26
5	Aisle 0	Location 32
6	Aisle 2	Location 18
7	Aisle 0	Location 2
8	Aisle 5	Location 3
9	Aisle 0	Location 40
10	Aisle 17	Location 29
11	Aisle 1	Location 24
12	Aisle 1	Location 6
13	Aisle 3	Location 14
14	Aisle 1	Location 34
15	Aisle 0	Location 36
16	Aisle 0	Location 11
17	Aisle 1	Location 43
18	Aisle 2	Location 17
19	Aisle 0	Location 28
20	Aisle 1	Location 29
Order 14	number of articles 23	due date 6.66667
0	Aisle 1	Location 7
1	Aisle 5	Location 44
2	Aisle 2	Location 17
3	Aisle 2	Location 27
4	Aisle 0	Location 44
5	Aisle 1	Location 32
6	Aisle 12	Location 6
7	Aisle 0	Location 15
8	Aisle 3	Location 24
9	Aisle 3	Location 4
10	Aisle 5	Location 39
11	Aisle 10	Location 38
12	Aisle 1	Location 2
13	Aisle 1	Location 40
14	Aisle 5	Location 24
15	Aisle 2	Location 25
16	Aisle 4	Location 12
17	Aisle 5	Location 41
18	Aisle 5	Location 7
19	Aisle 0	Location 36
20	Aisle 13	Location 34
21	Aisle 1	Location 23
22	Aisle 5	Location 43
Order 15	number of articles 18	due date 141.667
0	Aisle 0	Location 36
1	Aisle 0	Location 35
2	Aisle 3	Location 23
3	Aisle 1	Location 42
4	Aisle 4	Location 9
5	Aisle 14	Location 19
6	Aisle 1	Location 4
7	Aisle 1	Location 29
8	Aisle 1	Location 11
9	Aisle 1	Location 32
10	Aisle 18	Location 40
11	Aisle 1	Location 12
12	Aisle 0	Location 34
13	Aisle 2	Location 24
14	Aisle 1	Location 23
15	Aisle 2	Location 31
16	Aisle 0	Location 19
17	Aisle 1	Location 25
Order 16	number of articles 5	due date 161.667
0	Aisle 5	Location 12
1	Aisle 18	Location 17
2	Aisle 5	Location 31
3	Aisle 0	Location 42
4	Aisle 1	Location 3
Order 17	number of articles 8	due date 91.6667
0	Aisle 1	Location 11
1	Aisle 5	Location 8
2	Aisle 5	Location 32
3	Aisle 5	Location 34
4	Aisle 1	Location 9
5	Aisle 0	Location 21
6	Aisle 1	Location 33
7	Aisle 0	Location 41
Order 18	number of articles 8	due date 127.667
0	Aisle 0	Location 25
1	Aisle 1	Location 27
2	Aisle 1	Location 32
3	Aisle 1	Location 20
4	Aisle 2	Location 6
5	Aisle 5	Location 10
6	Aisle 2	Location 20
7	Aisle 1	Location 0
Order 19	number of articles 17	due date 78.6667
0	Aisle 0	Location 10
1	Aisle 0	Location 27
2	Aisle 0	Location 41
3	Aisle 0	Location 44
4	Aisle 5	Location 8
5	Aisle 4	Location 7
6	Aisle 1	Location 27
7	Aisle 1	Location 16
8	Aisle 0	Location 36
9	Aisle 3	Location 30
10	Aisle 0	Location 1
11	Aisle 16	Location 7
12	Aisle 5	Location 18
13	Aisle 6	Location 2
14	Aisle 5	Location 21
15	Aisle 4	Location 39
16	Aisle 0	Location 17
