Order 0	number of articles 13	due date 68.6458
0	Aisle 2	Location 18
1	Aisle 3	Location 3
2	Aisle 1	Location 38
3	Aisle 0	Location 43
4	Aisle 1	Location 22
5	Aisle 1	Location 37
6	Aisle 0	Location 26
7	Aisle 0	Location 41
8	Aisle 4	Location 17
9	Aisle 4	Location 38
10	Aisle 1	Location 28
11	Aisle 2	Location 9
12	Aisle 4	Location 42
Order 1	number of articles 23	due date 169.646
0	Aisle 3	Location 28
1	Aisle 4	Location 37
2	Aisle 5	Location 33
3	Aisle 0	Location 1
4	Aisle 1	Location 9
5	Aisle 4	Location 12
6	Aisle 2	Location 30
7	Aisle 0	Location 22
8	Aisle 1	Location 23
9	Aisle 0	Location 12
10	Aisle 0	Location 41
11	Aisle 1	Location 2
12	Aisle 4	Location 0
13	Aisle 1	Location 24
14	Aisle 0	Location 10
15	Aisle 0	Location 40
16	Aisle 7	Location 24
17	Aisle 17	Location 10
18	Aisle 1	Location 42
19	Aisle 3	Location 31
20	Aisle 1	Location 44
21	Aisle 4	Location 41
22	Aisle 1	Location 32
Order 2	number of articles 9	due date 141.646
0	Aisle 1	Location 24
1	Aisle 1	Location 39
2	Aisle 16	Location 14
3	Aisle 0	Location 24
4	Aisle 0	Location 38
5	Aisle 1	Location 44
6	Aisle 5	Location 6
7	Aisle 6	Location 19
8	Aisle 1	Location 11
Order 3	number of articles 18	due date 13.6458
0	Aisle 2	Location 0
1	Aisle 2	Location 40
2	Aisle 15	Location 15
3	Aisle 5	Location 30
4	Aisle 4	Location 43
5	Aisle 1	Location 29
6	Aisle 2	Location 39
7	Aisle 15	Location 9
8	Aisle 9	Location 15
9	Aisle 0	Location 33
10	Aisle 0	Location 0
11	Aisle 1	Location 35
12	Aisle 5	Location 40
13	Aisle 4	Location 20
14	Aisle 5	Location 3
15	Aisle 0	Location 28
16	Aisle 9	Location 31
17	Aisle 1	Location 5
Order 4	number of articles 23	due date 52.6458
0	Aisle 2	Location 16
1	Aisle 1	Location 42
2	Aisle 0	Location 35
3	Aisle 4	Location 23
4	Aisle 0	Location 40
5	Aisle 1	Location 25
6	Aisle 4	Location 31
7	Aisle 0	Location 12
8	Aisle 1	Location 27
9	Aisle 2	Location 43
10	Aisle 0	Location 18
11	Aisle 5	Location 16
12	Aisle 1	Location 30
13	Aisle 1	Location 14
14	Aisle 0	Location 32
15	Aisle 1	Location 4
16	Aisle 5	Location 27
17	Aisle 2	Location 33
18	Aisle 5	Location 1
19	Aisle 1	Location 34
20	Aisle 2	Location 35
21	Aisle 2	Location 9
22	Aisle 4	Location 34
Order 5	number of articles 12	due date 170.646
0	Aisle 0	Location 15
1	Aisle 2	Location 26
2	Aisle 5	Location 40
3	Aisle 10	Location 2
4	Aisle 8	Location 26
5	Aisle 3	Location 2
6	Aisle 0	Location 28
7	Aisle 0	Location 38
8	Aisle 1	Location 12
9	Aisle 5	Location 16
10	Aisle 0	Location 1
11	Aisle 6	Location 40
Order 6	number of articles 18	due date 93.6458
0	Aisle 4	Location 3
1	Aisle 0	Location 37
2	Aisle 4	Location 39
3	Aisle 3	Location 1
4	Aisle 2	Location 30
5	Aisle 1	Location 43
6	Aisle 0	Location 14
7	Aisle 1	Location 20
8	Aisle 14	Location 36
9	Aisle 18	Location 14
10	Aisle 0	Location 18
11	Aisle 5	Location 34
12	Aisle 2	Location 2
13	Aisle 2	Location 9
14	Aisle 4	Location 10
15	Aisle 13	Location 39
16	Aisle 2	Location 23
17	Aisle 1	Location 4
Order 7	number of articles 21	due date 40.6458
0	Aisle 0	Location 44
1	Aisle 1	Location 40
2	Aisle 7	Location 0
3	Aisle 4	Location 1
4	Aisle 0	Location 31
5	Aisle 0	Location 29
6	Aisle 1	Location 4
7	Aisle 0	Location 38
8	Aisle 5	Location 9
9	Aisle 5	Location 44
10	Aisle 1	Location 5
11	Aisle 0	Location 40
12	Aisle 3	Location 34
13	Aisle 1	Location 14
14	Aisle 11	Location 44
15	Aisle 0	Location 20
16	Aisle 13	Location 39
17	Aisle 0	Location 14
18	Aisle 4	Location 37
19	Aisle 5	Location 31
20	Aisle 0	Location 7
Order 8	number of articles 18	due date 101.646
0	Aisle 2	Location 7
1	Aisle 1	Location 18
2	Aisle 19	Location 36
3	Aisle 0	Location 6
4	Aisle 11	Location 9
5	Aisle 2	Location 32
6	Aisle 12	Location 39
7	Aisle 3	Location 35
8	Aisle 5	Location 16
9	Aisle 0	Location 16
10	Aisle 3	Location 39
11	Aisle 5	Location 6
12	Aisle 4	Location 14
13	Aisle 7	Location 0
14	Aisle 0	Location 1
15	Aisle 2	Location 36
16	Aisle 0	Location 25
17	Aisle 0	Location 21
Order 9	number of articles 8	due date 136.646
0	Aisle 3	Location 29
1	Aisle 13	Location 8
2	Aisle 0	Location 16
3	Aisle 4	Location 25
4	Aisle 5	Location 9
5	Aisle 1	Location 13
6	Aisle 1	Location 27
7	Aisle 0	Location 40
Order 10	number of articles 21	due date 181.646
0	Aisle 4	Location 11
1	Aisle 4	Location 34
2	Aisle 0	Location 28
3	Aisle 5	Location 15
4	Aisle 0	Location 4
5	Aisle 2	Location 3
6	Aisle 1	Location 30
7	Aisle 1	Location 1
8	Aisle 2	Location 27
9	Aisle 1	Location 26
10	Aisle 2	Location 33
11	Aisle 1	Location 42
12	Aisle 1	Location 34
13	Aisle 3	Location 27
14	Aisle 1	Location 25
15	Aisle 7	Location 6
16	Aisle 0	Location 11
17	Aisle 0	Location 12
18	Aisle 7	Location 9
19	Aisle 0	Location 15
20	Aisle 1	Location 31
Order 11	number of articles 9	due date 103.646
0	Aisle 0	Location 17
1	Aisle 1	Location 41
2	Aisle 0	Location 3
3	Aisle 2	Location 5
4	Aisle 19	Location 44
5	Aisle 1	Location 38
6	Aisle 1	Location 33
7	Aisle 1	Location 27
8	Aisle 1	Location 22
Order 12	number of articles 8	due date 166.646
0	Aisle 1	Location 8
1	Aisle 8	Location 35
2	Aisle 4	Location 31
3	Aisle 0	Location 15
4	Aisle 1	Location 43
5	Aisle 1	Location 36
6	Aisle 0	Location 33
7	Aisle 1	Location 16
Order 13	number of articles 19	due date 23.6458
0	Aisle 3	Location 41
1	Aisle 1	Location 8
2	Aisle 0	Location 18
3	Aisle 1	Location 5
4	Aisle 4	Location 3
5	Aisle 4	Location 0
6	Aisle 4	Location 33
7	Aisle 1	Location 31
8	Aisle 19	Location 40
9	Aisle 3	Location 39
10	Aisle 1	Location 19
11	Aisle 1	Location 29
12	Aisle 5	Location 32
13	Aisle 10	Location 21
14	Aisle 0	Location 10
15	Aisle 4	Location 27
16	Aisle 0	Location 38
17	Aisle 1	Location 18
18	Aisle 1	Location 2
Order 14	number of articles 9	due date 180.646
0	Aisle 5	Location 10
1	Aisle 0	Location 6
2	Aisle 12	Location 5
3	Aisle 0	Location 7
4	Aisle 16	Location 41
5	Aisle 3	Location 38
6	Aisle 0	Location 26
7	Aisle 1	Location 37
8	Aisle 18	Location 36
Order 15	number of articles 13	due date 104.646
0	Aisle 0	Location 1
1	Aisle 0	Location 4
2	Aisle 0	Location 19
3	Aisle 5	Location 18
4	Aisle 3	Location 27
