no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: c
routing___: s
type______: n
no_orders_: 60
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 50
start_time: 0
MTCR______: 0.5
m_no_o_p_b: 500000
m_no_a_p_b: 45
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 48
speed_pick: 6
art_capacy: 22566
empty_posi: 1505
chaotical_: 7463
29987,22070,28826,16008,15265,
5405,17920,11328,15348,32239,
31596,13467,16461,21222,10174,
14915,27324,4007,29334,13993,
15870,7878,967,15270,10390,
2189,1800,14435,17951,32505,
6125,1398,19168,27398,10774,
31821,19873,24364,16807,7632,
25533,4906,4087,3138,17273,
19714,18573,23656,24724,23365,
16968,494,14111,1168,14557,
23302,14479,4183,17031,8018,
3857,19681,19961,13828,11037,
13972,15512,14148,20302,9331,
27879,7378,3697,7653,18754,
26092,28636,15800,11984,12914,
11777,18021,16563,6472,17218,
19350,31617,15868,14599,5349,
7416,27048,27918,7655,13293,
11034,16643,22377,27782,16947,
26705,3577,27817,23181,18487,
6569,21684,22880,7710,15119,
14447,17063,24618,18832,9279,
31102,3087,5855,668,24527,
22566,11200,30148,6445,31424,
16914,31153,29952,31674,8204,
25161,17379,17489,14535,2518,
7242,24888,13820,17333,21096,
10984,20240,26450,10064,18488,
4429,1876,29530,16173,32115,
10516,20424,2067,7791,4180,
937,22220,32106,29486,14334,
3689,5893,10826,14108,4855,
13795,12628,15185,28059,22121,
2989,4298,30434,30657,24929,
3764,31570,32293,26714,11170,
3653,2650,28115,12591,32503,
27258,5135,21220,9181,2039,
6218,11356,28728,30429,13552,
27301,2027,2647,29709,9450,
17801,4725,1540,10319,26291,
10028,28805,15133,21153,9375,
10681,6943,12030,15516,29631,
15180,14073,16746,3164,1189,
2201,3522,1262,7777,23632,
11803,22178,328,23252,12075,
1767,23133,1322,13738,28707,
191,25347,17241,676,721,
27468,19779,4569,3737,23297,
1858,450,14694,28226,2246,
