Order 0	number of articles 17	due date 104.417
0	Aisle 3	Location 19
1	Aisle 0	Location 5
2	Aisle 9	Location 13
3	Aisle 0	Location 44
4	Aisle 0	Location 37
5	Aisle 0	Location 18
6	Aisle 0	Location 7
7	Aisle 8	Location 27
8	Aisle 0	Location 6
9	Aisle 4	Location 41
10	Aisle 15	Location 7
11	Aisle 1	Location 28
12	Aisle 5	Location 36
13	Aisle 1	Location 36
14	Aisle 5	Location 10
15	Aisle 1	Location 42
16	Aisle 18	Location 31
Order 1	number of articles 24	due date 43.4167
0	Aisle 0	Location 10
1	Aisle 3	Location 29
2	Aisle 1	Location 38
3	Aisle 3	Location 24
4	Aisle 11	Location 22
5	Aisle 0	Location 31
6	Aisle 0	Location 5
7	Aisle 13	Location 44
8	Aisle 4	Location 43
9	Aisle 0	Location 19
10	Aisle 2	Location 29
11	Aisle 1	Location 44
12	Aisle 0	Location 33
13	Aisle 4	Location 0
14	Aisle 1	Location 12
15	Aisle 1	Location 43
16	Aisle 3	Location 9
17	Aisle 1	Location 2
18	Aisle 2	Location 35
19	Aisle 3	Location 40
20	Aisle 1	Location 30
21	Aisle 4	Location 25
22	Aisle 3	Location 31
23	Aisle 4	Location 22
Order 2	number of articles 20	due date 114.417
0	Aisle 4	Location 23
1	Aisle 0	Location 24
2	Aisle 5	Location 24
3	Aisle 18	Location 42
4	Aisle 1	Location 23
5	Aisle 1	Location 25
6	Aisle 1	Location 13
7	Aisle 1	Location 2
8	Aisle 0	Location 27
9	Aisle 5	Location 1
10	Aisle 1	Location 5
11	Aisle 2	Location 32
12	Aisle 5	Location 18
13	Aisle 5	Location 38
14	Aisle 3	Location 40
15	Aisle 1	Location 16
16	Aisle 1	Location 10
17	Aisle 1	Location 33
18	Aisle 0	Location 3
19	Aisle 4	Location 0
Order 3	number of articles 17	due date 32.4167
0	Aisle 17	Location 18
1	Aisle 0	Location 31
2	Aisle 1	Location 11
3	Aisle 6	Location 21
4	Aisle 0	Location 32
5	Aisle 1	Location 23
6	Aisle 3	Location 43
7	Aisle 0	Location 7
8	Aisle 0	Location 35
9	Aisle 15	Location 43
10	Aisle 7	Location 3
11	Aisle 11	Location 30
12	Aisle 2	Location 20
13	Aisle 0	Location 30
14	Aisle 4	Location 39
15	Aisle 1	Location 31
16	Aisle 1	Location 35
Order 4	number of articles 10	due date 82.4167
0	Aisle 1	Location 11
1	Aisle 1	Location 0
2	Aisle 0	Location 40
3	Aisle 1	Location 27
4	Aisle 5	Location 14
5	Aisle 1	Location 40
6	Aisle 15	Location 41
7	Aisle 17	Location 24
8	Aisle 1	Location 44
9	Aisle 11	Location 0
Order 5	number of articles 18	due date 44.4167
0	Aisle 2	Location 43
1	Aisle 1	Location 16
2	Aisle 0	Location 12
3	Aisle 9	Location 15
4	Aisle 0	Location 37
5	Aisle 5	Location 6
6	Aisle 0	Location 42
7	Aisle 0	Location 14
8	Aisle 1	Location 32
9	Aisle 4	Location 24
10	Aisle 2	Location 10
11	Aisle 2	Location 25
12	Aisle 1	Location 12
13	Aisle 3	Location 39
14	Aisle 11	Location 41
15	Aisle 5	Location 14
16	Aisle 0	Location 44
17	Aisle 1	Location 29
Order 6	number of articles 22	due date 62.4167
0	Aisle 1	Location 30
1	Aisle 0	Location 41
2	Aisle 1	Location 31
3	Aisle 9	Location 24
4	Aisle 0	Location 7
5	Aisle 3	Location 8
6	Aisle 0	Location 37
7	Aisle 4	Location 19
8	Aisle 4	Location 3
9	Aisle 0	Location 34
10	Aisle 5	Location 19
11	Aisle 0	Location 20
12	Aisle 1	Location 40
13	Aisle 0	Location 3
14	Aisle 1	Location 8
15	Aisle 1	Location 33
16	Aisle 2	Location 19
17	Aisle 1	Location 11
18	Aisle 2	Location 10
19	Aisle 1	Location 20
