Order 0	number of articles 23	due date 135.521
0	Aisle 0	Location 11
1	Aisle 0	Location 31
2	Aisle 4	Location 11
3	Aisle 0	Location 0
4	Aisle 0	Location 6
5	Aisle 2	Location 36
6	Aisle 0	Location 37
7	Aisle 2	Location 26
8	Aisle 2	Location 23
9	Aisle 16	Location 2
10	Aisle 2	Location 9
11	Aisle 0	Location 15
12	Aisle 1	Location 29
13	Aisle 1	Location 27
14	Aisle 2	Location 2
15	Aisle 9	Location 39
16	Aisle 1	Location 0
17	Aisle 0	Location 19
18	Aisle 1	Location 25
19	Aisle 0	Location 22
20	Aisle 4	Location 21
21	Aisle 1	Location 39
22	Aisle 2	Location 30
Order 1	number of articles 11	due date 43.5208
0	Aisle 0	Location 32
1	Aisle 3	Location 28
2	Aisle 17	Location 0
3	Aisle 5	Location 20
4	Aisle 1	Location 7
5	Aisle 5	Location 22
6	Aisle 9	Location 30
7	Aisle 4	Location 10
8	Aisle 3	Location 34
9	Aisle 9	Location 44
10	Aisle 2	Location 44
Order 2	number of articles 18	due date 197.521
0	Aisle 18	Location 23
1	Aisle 0	Location 22
2	Aisle 0	Location 1
3	Aisle 1	Location 2
4	Aisle 5	Location 41
5	Aisle 3	Location 11
6	Aisle 5	Location 9
7	Aisle 0	Location 23
8	Aisle 0	Location 29
9	Aisle 4	Location 43
10	Aisle 1	Location 32
11	Aisle 11	Location 26
12	Aisle 0	Location 40
13	Aisle 5	Location 15
14	Aisle 1	Location 43
15	Aisle 4	Location 7
16	Aisle 3	Location 30
17	Aisle 1	Location 35
Order 3	number of articles 14	due date 138.521
0	Aisle 4	Location 21
1	Aisle 0	Location 42
2	Aisle 0	Location 38
3	Aisle 1	Location 21
4	Aisle 0	Location 33
5	Aisle 0	Location 2
6	Aisle 0	Location 21
7	Aisle 1	Location 6
8	Aisle 1	Location 34
9	Aisle 5	Location 15
10	Aisle 0	Location 16
11	Aisle 5	Location 4
12	Aisle 1	Location 17
13	Aisle 15	Location 32
Order 4	number of articles 20	due date 151.521
0	Aisle 3	Location 30
1	Aisle 1	Location 0
2	Aisle 4	Location 14
3	Aisle 4	Location 5
4	Aisle 0	Location 28
5	Aisle 1	Location 5
6	Aisle 19	Location 29
7	Aisle 1	Location 26
8	Aisle 0	Location 19
9	Aisle 0	Location 32
10	Aisle 0	Location 12
11	Aisle 2	Location 41
12	Aisle 1	Location 30
13	Aisle 1	Location 17
14	Aisle 1	Location 8
15	Aisle 12	Location 44
16	Aisle 0	Location 40
17	Aisle 1	Location 34
18	Aisle 0	Location 7
19	Aisle 16	Location 7
Order 5	number of articles 17	due date 224.521
0	Aisle 3	Location 16
1	Aisle 5	Location 10
2	Aisle 4	Location 42
3	Aisle 12	Location 35
4	Aisle 1	Location 13
5	Aisle 0	Location 0
6	Aisle 6	Location 28
7	Aisle 3	Location 23
8	Aisle 9	Location 4
9	Aisle 5	Location 11
10	Aisle 5	Location 16
11	Aisle 1	Location 40
12	Aisle 3	Location 24
13	Aisle 1	Location 4
14	Aisle 0	Location 12
15	Aisle 14	Location 5
16	Aisle 0	Location 2
Order 6	number of articles 18	due date 39.5208
0	Aisle 1	Location 40
1	Aisle 2	Location 19
2	Aisle 1	Location 9
3	Aisle 0	Location 10
4	Aisle 1	Location 7
5	Aisle 1	Location 2
6	Aisle 1	Location 27
7	Aisle 0	Location 37
8	Aisle 2	Location 2
9	Aisle 3	Location 32
10	Aisle 0	Location 14
11	Aisle 2	Location 15
12	Aisle 2	Location 11
13	Aisle 0	Location 31
14	Aisle 1	Location 36
15	Aisle 1	Location 37
16	Aisle 3	Location 21
17	Aisle 3	Location 2
Order 7	number of articles 17	due date 209.521
0	Aisle 3	Location 40
1	Aisle 3	Location 5
2	Aisle 0	Location 3
3	Aisle 0	Location 34
4	Aisle 1	Location 29
5	Aisle 0	Location 40
6	Aisle 1	Location 43
7	Aisle 2	Location 11
8	Aisle 1	Location 16
9	Aisle 3	Location 6
10	Aisle 1	Location 11
11	Aisle 1	Location 7
12	Aisle 1	Location 17
13	Aisle 0	Location 28
14	Aisle 2	Location 21
15	Aisle 0	Location 44
16	Aisle 2	Location 14
Order 8	number of articles 15	due date 177.521
0	Aisle 0	Location 34
1	Aisle 1	Location 2
2	Aisle 2	Location 3
3	Aisle 1	Location 20
4	Aisle 2	Location 9
5	Aisle 0	Location 41
6	Aisle 3	Location 4
7	Aisle 0	Location 2
8	Aisle 5	Location 35
9	Aisle 4	Location 3
10	Aisle 3	Location 19
11	Aisle 4	Location 18
12	Aisle 2	Location 29
13	Aisle 0	Location 0
14	Aisle 5	Location 8
Order 9	number of articles 14	due date 89.5208
0	Aisle 0	Location 0
1	Aisle 1	Location 16
2	Aisle 13	Location 26
3	Aisle 2	Location 39
4	Aisle 3	Location 22
5	Aisle 0	Location 16
6	Aisle 1	Location 30
7	Aisle 6	Location 29
8	Aisle 5	Location 26
9	Aisle 0	Location 27
10	Aisle 1	Location 43
11	Aisle 4	Location 31
12	Aisle 7	Location 12
13	Aisle 1	Location 44
Order 10	number of articles 20	due date 135.521
0	Aisle 1	Location 35
1	Aisle 1	Location 27
2	Aisle 0	Location 7
3	Aisle 1	Location 20
4	Aisle 3	Location 21
5	Aisle 1	Location 18
6	Aisle 4	Location 30
7	Aisle 19	Location 16
8	Aisle 3	Location 31
9	Aisle 2	Location 28
10	Aisle 0	Location 17
11	Aisle 3	Location 17
12	Aisle 5	Location 3
13	Aisle 12	Location 5
14	Aisle 0	Location 29
15	Aisle 1	Location 30
16	Aisle 0	Location 21
17	Aisle 1	Location 1
18	Aisle 0	Location 19
19	Aisle 2	Location 42
Order 11	number of articles 19	due date 108.521
0	Aisle 0	Location 38
1	Aisle 2	Location 23
2	Aisle 2	Location 32
3	Aisle 9	Location 22
4	Aisle 4	Location 1
5	Aisle 3	Location 16
6	Aisle 14	Location 21
7	Aisle 1	Location 9
8	Aisle 0	Location 33
9	Aisle 3	Location 3
10	Aisle 0	Location 27
11	Aisle 0	Location 19
12	Aisle 1	Location 34
13	Aisle 2	Location 8
14	Aisle 1	Location 3
15	Aisle 17	Location 14
16	Aisle 1	Location 7
17	Aisle 5	Location 7
18	Aisle 0	Location 28
Order 12	number of articles 14	due date 56.5208
0	Aisle 5	Location 11
1	Aisle 2	Location 19
2	Aisle 0	Location 8
3	Aisle 1	Location 3
4	Aisle 3	Location 32
5	Aisle 5	Location 14
6	Aisle 1	Location 19
7	Aisle 4	Location 12
8	Aisle 5	Location 27
9	Aisle 8	Location 7
10	Aisle 4	Location 2
11	Aisle 3	Location 35
12	Aisle 1	Location 2
13	Aisle 3	Location 34
Order 13	number of articles 21	due date 127.521
0	Aisle 1	Location 20
1	Aisle 10	Location 3
2	Aisle 3	Location 37
3	Aisle 13	Location 39
4	Aisle 0	Location 40
5	Aisle 14	Location 1
6	Aisle 2	Location 36
7	Aisle 1	Location 25
8	Aisle 2	Location 34
9	Aisle 1	Location 43
10	Aisle 4	Location 41
11	Aisle 0	Location 15
12	Aisle 5	Location 31
13	Aisle 14	Location 34
14	Aisle 0	Location 13
15	Aisle 0	Location 14
16	Aisle 0	Location 1
17	Aisle 1	Location 9
18	Aisle 6	Location 5
19	Aisle 0	Location 0
20	Aisle 5	Location 18
Order 14	number of articles 15	due date 153.521
0	Aisle 1	Location 23
1	Aisle 1	Location 19
2	Aisle 2	Location 8
3	Aisle 14	Location 38
4	Aisle 2	Location 39
5	Aisle 5	Location 7
6	Aisle 16	Location 14
7	Aisle 3	Location 29
8	Aisle 16	Location 36
9	Aisle 2	Location 1
10	Aisle 9	Location 38
11	Aisle 1	Location 2
12	Aisle 1	Location 6
13	Aisle 0	Location 17
14	Aisle 1	Location 28
Order 15	number of articles 9	due date 136.521
0	Aisle 1	Location 41
1	Aisle 0	Location 19
2	Aisle 13	Location 6
3	Aisle 0	Location 0
4	Aisle 4	Location 15
5	Aisle 0	Location 3
6	Aisle 0	Location 5
7	Aisle 2	Location 5
8	Aisle 0	Location 20
Order 16	number of articles 6	due date 235.521
0	Aisle 1	Location 16
1	Aisle 2	Location 4
2	Aisle 1	Location 17
3	Aisle 0	Location 32
4	Aisle 1	Location 38
5	Aisle 4	Location 26
Order 17	number of articles 18	due date 69.5208
0	Aisle 0	Location 37
1	Aisle 0	Location 8
2	Aisle 6	Location 2
3	Aisle 0	Location 9
4	Aisle 0	Location 42
5	Aisle 18	Location 37
6	Aisle 14	Location 21
7	Aisle 0	Location 4
8	Aisle 3	Location 22
9	Aisle 1	Location 3
10	Aisle 0	Location 40
11	Aisle 2	Location 9
12	Aisle 2	Location 27
13	Aisle 1	Location 38
14	Aisle 11	Location 11
15	Aisle 2	Location 36
16	Aisle 3	Location 42
17	Aisle 1	Location 34
Order 18	number of articles 6	due date 42.5208
0	Aisle 5	Location 28
1	Aisle 1	Location 31
2	Aisle 2	Location 44
3	Aisle 15	Location 32
4	Aisle 4	Location 6
5	Aisle 0	Location 44
Order 19	number of articles 18	due date 213.521
0	Aisle 1	Location 28
1	Aisle 0	Location 6
2	Aisle 1	Location 10
3	Aisle 12	Location 23
4	Aisle 1	Location 3
5	Aisle 4	Location 38
6	Aisle 1	Location 12
7	Aisle 16	Location 31
8	Aisle 0	Location 38
9	Aisle 1	Location 7
10	Aisle 1	Location 32
11	Aisle 1	Location 8
12	Aisle 3	Location 11
13	Aisle 8	Location 5
14	Aisle 1	Location 30
15	Aisle 1	Location 0
16	Aisle 2	Location 39
17	Aisle 1	Location 31
