Order 0	number of articles 10	due date 38.75
0	Aisle 1	Location 5
1	Aisle 0	Location 18
2	Aisle 2	Location 29
3	Aisle 18	Location 43
4	Aisle 0	Location 24
5	Aisle 5	Location 38
6	Aisle 0	Location 43
7	Aisle 1	Location 30
8	Aisle 18	Location 9
9	Aisle 1	Location 18
Order 1	number of articles 15	due date 73.75
0	Aisle 1	Location 30
1	Aisle 0	Location 30
2	Aisle 1	Location 34
3	Aisle 4	Location 8
4	Aisle 3	Location 41
5	Aisle 0	Location 0
6	Aisle 1	Location 1
7	Aisle 17	Location 30
8	Aisle 0	Location 17
9	Aisle 1	Location 37
10	Aisle 17	Location 32
11	Aisle 1	Location 22
12	Aisle 0	Location 4
13	Aisle 0	Location 35
14	Aisle 0	Location 8
Order 2	number of articles 17	due date 89.75
0	Aisle 1	Location 1
1	Aisle 0	Location 39
2	Aisle 0	Location 1
3	Aisle 8	Location 4
4	Aisle 0	Location 12
5	Aisle 0	Location 27
6	Aisle 0	Location 4
7	Aisle 3	Location 17
8	Aisle 2	Location 7
9	Aisle 1	Location 31
10	Aisle 0	Location 8
11	Aisle 1	Location 8
12	Aisle 0	Location 42
13	Aisle 0	Location 0
14	Aisle 0	Location 18
15	Aisle 1	Location 44
16	Aisle 1	Location 43
Order 3	number of articles 12	due date 25.75
0	Aisle 1	Location 41
1	Aisle 13	Location 12
2	Aisle 0	Location 0
3	Aisle 1	Location 34
4	Aisle 18	Location 3
5	Aisle 5	Location 22
6	Aisle 14	Location 38
7	Aisle 0	Location 13
8	Aisle 1	Location 19
9	Aisle 5	Location 18
10	Aisle 19	Location 12
11	Aisle 1	Location 28
Order 4	number of articles 19	due date 35.75
0	Aisle 1	Location 34
1	Aisle 1	Location 39
2	Aisle 1	Location 24
3	Aisle 2	Location 22
4	Aisle 3	Location 40
5	Aisle 0	Location 41
6	Aisle 0	Location 5
7	Aisle 3	Location 18
8	Aisle 10	Location 44
9	Aisle 1	Location 37
10	Aisle 7	Location 20
11	Aisle 3	Location 39
12	Aisle 1	Location 13
13	Aisle 0	Location 18
14	Aisle 1	Location 11
15	Aisle 0	Location 4
16	Aisle 15	Location 1
17	Aisle 2	Location 38
18	Aisle 3	Location 20
Order 5	number of articles 6	due date 127.75
0	Aisle 1	Location 34
1	Aisle 1	Location 6
2	Aisle 10	Location 26
3	Aisle 0	Location 21
4	Aisle 8	Location 31
5	Aisle 7	Location 14
Order 6	number of articles 14	due date 55.75
0	Aisle 0	Location 10
1	Aisle 4	Location 11
2	Aisle 0	Location 32
3	Aisle 0	Location 22
4	Aisle 2	Location 13
5	Aisle 5	Location 17
6	Aisle 0	Location 38
7	Aisle 1	Location 3
8	Aisle 1	Location 39
9	Aisle 1	Location 42
10	Aisle 1	Location 22
11	Aisle 0	Location 15
12	Aisle 1	Location 11
13	Aisle 1	Location 18
Order 7	number of articles 13	due date 26.75
0	Aisle 19	Location 24
1	Aisle 0	Location 34
2	Aisle 5	Location 20
3	Aisle 1	Location 40
4	Aisle 1	Location 35
5	Aisle 1	Location 18
6	Aisle 2	Location 29
7	Aisle 4	Location 3
8	Aisle 5	Location 39
9	Aisle 1	Location 20
10	Aisle 1	Location 12
11	Aisle 1	Location 17
12	Aisle 4	Location 5
Order 8	number of articles 5	due date 22.75
0	Aisle 1	Location 18
1	Aisle 11	Location 42
2	Aisle 3	Location 37
3	Aisle 4	Location 16
4	Aisle 5	Location 21
Order 9	number of articles 17	due date 36.75
0	Aisle 0	Location 31
1	Aisle 1	Location 44
2	Aisle 0	Location 39
3	Aisle 2	Location 9
4	Aisle 0	Location 9
5	Aisle 14	Location 0
6	Aisle 0	Location 2
7	Aisle 1	Location 27
8	Aisle 1	Location 23
9	Aisle 11	Location 33
10	Aisle 1	Location 21
11	Aisle 4	Location 36
12	Aisle 1	Location 19
13	Aisle 0	Location 41
14	Aisle 9	Location 13
15	Aisle 5	Location 9
16	Aisle 2	Location 23
Order 10	number of articles 18	due date 82.75
0	Aisle 1	Location 15
1	Aisle 1	Location 43
2	Aisle 1	Location 21
3	Aisle 3	Location 25
4	Aisle 0	Location 12
5	Aisle 1	Location 35
6	Aisle 3	Location 4
7	Aisle 2	Location 27
8	Aisle 2	Location 18
9	Aisle 6	Location 21
10	Aisle 0	Location 6
11	Aisle 1	Location 28
12	Aisle 1	Location 8
13	Aisle 6	Location 13
14	Aisle 3	Location 0
15	Aisle 5	Location 31
16	Aisle 1	Location 26
17	Aisle 14	Location 1
Order 11	number of articles 20	due date 108.75
0	Aisle 4	Location 11
1	Aisle 5	Location 28
2	Aisle 3	Location 33
3	Aisle 0	Location 44
4	Aisle 5	Location 27
5	Aisle 0	Location 43
6	Aisle 6	Location 12
7	Aisle 0	Location 16
8	Aisle 1	Location 21
9	Aisle 1	Location 35
10	Aisle 0	Location 27
11	Aisle 1	Location 33
12	Aisle 17	Location 19
13	Aisle 2	Location 40
14	Aisle 4	Location 35
15	Aisle 1	Location 0
16	Aisle 1	Location 8
17	Aisle 3	Location 12
18	Aisle 2	Location 10
19	Aisle 1	Location 13
Order 12	number of articles 12	due date 46.75
0	Aisle 17	Location 5
1	Aisle 0	Location 30
2	Aisle 2	Location 30
3	Aisle 0	Location 27
4	Aisle 1	Location 22
5	Aisle 1	Location 6
6	Aisle 5	Location 24
7	Aisle 2	Location 3
8	Aisle 0	Location 6
9	Aisle 0	Location 1
10	Aisle 0	Location 21
11	Aisle 1	Location 40
Order 13	number of articles 8	due date 85.75
0	Aisle 4	Location 43
1	Aisle 0	Location 4
2	Aisle 3	Location 24
3	Aisle 1	Location 30
4	Aisle 5	Location 18
5	Aisle 0	Location 11
6	Aisle 0	Location 35
7	Aisle 1	Location 37
Order 14	number of articles 7	due date 37.75
0	Aisle 0	Location 19
1	Aisle 1	Location 38
2	Aisle 5	Location 29
3	Aisle 1	Location 35
4	Aisle 5	Location 42
5	Aisle 9	Location 25
6	Aisle 1	Location 11
Order 15	number of articles 17	due date 16.75
0	Aisle 3	Location 0
1	Aisle 12	Location 12
2	Aisle 3	Location 4
3	Aisle 3	Location 37
4	Aisle 1	Location 29
5	Aisle 2	Location 43
6	Aisle 1	Location 23
7	Aisle 1	Location 16
8	Aisle 2	Location 22
9	Aisle 1	Location 7
10	Aisle 0	Location 28
11	Aisle 1	Location 31
12	Aisle 0	Location 18
13	Aisle 16	Location 24
14	Aisle 0	Location 14
15	Aisle 1	Location 22
16	Aisle 2	Location 12
Order 16	number of articles 17	due date 69.75
0	Aisle 4	Location 44
1	Aisle 1	Location 18
2	Aisle 9	Location 5
3	Aisle 3	Location 11
4	Aisle 5	Location 9
5	Aisle 1	Location 29
6	Aisle 5	Location 33
7	Aisle 1	Location 26
8	Aisle 4	Location 23
9	Aisle 1	Location 25
10	Aisle 4	Location 36
11	Aisle 0	Location 18
12	Aisle 4	Location 14
13	Aisle 1	Location 1
14	Aisle 0	Location 43
15	Aisle 5	Location 5
16	Aisle 1	Location 13
Order 17	number of articles 9	due date 128.75
0	Aisle 0	Location 11
1	Aisle 5	Location 31
2	Aisle 1	Location 33
3	Aisle 0	Location 19
4	Aisle 1	Location 1
5	Aisle 1	Location 11
6	Aisle 0	Location 26
7	Aisle 1	Location 27
8	Aisle 5	Location 43
Order 18	number of articles 13	due date 115.75
0	Aisle 1	Location 2
1	Aisle 4	Location 2
2	Aisle 0	Location 43
3	Aisle 0	Location 35
4	Aisle 0	Location 38
5	Aisle 0	Location 36
6	Aisle 2	Location 2
7	Aisle 0	Location 22
8	Aisle 0	Location 21
9	Aisle 11	Location 22
10	Aisle 1	Location 35
11	Aisle 1	Location 13
12	Aisle 0	Location 26
Order 19	number of articles 12	due date 112.75
0	Aisle 0	Location 7
1	Aisle 4	Location 0
2	Aisle 0	Location 36
3	Aisle 5	Location 5
4	Aisle 0	Location 20
5	Aisle 0	Location 41
6	Aisle 1	Location 6
7	Aisle 0	Location 39
8	Aisle 15	Location 34
9	Aisle 3	Location 0
10	Aisle 1	Location 17
11	Aisle 1	Location 38
