Order 0	number of articles 12	due date 323.042
0	Aisle 2	Location 18
1	Aisle 1	Location 32
2	Aisle 1	Location 17
3	Aisle 0	Location 3
4	Aisle 1	Location 13
5	Aisle 2	Location 35
6	Aisle 5	Location 17
7	Aisle 2	Location 1
8	Aisle 0	Location 12
9	Aisle 1	Location 29
10	Aisle 0	Location 22
11	Aisle 0	Location 43
Order 1	number of articles 17	due date 243.042
0	Aisle 1	Location 21
1	Aisle 14	Location 23
2	Aisle 4	Location 10
3	Aisle 3	Location 22
4	Aisle 3	Location 24
5	Aisle 1	Location 12
6	Aisle 15	Location 22
7	Aisle 0	Location 3
8	Aisle 5	Location 4
9	Aisle 0	Location 12
10	Aisle 1	Location 18
11	Aisle 2	Location 34
12	Aisle 0	Location 11
13	Aisle 18	Location 13
14	Aisle 1	Location 42
15	Aisle 1	Location 16
16	Aisle 0	Location 13
Order 2	number of articles 9	due date 208.042
0	Aisle 1	Location 41
1	Aisle 2	Location 11
2	Aisle 1	Location 10
3	Aisle 1	Location 37
4	Aisle 1	Location 39
5	Aisle 5	Location 23
6	Aisle 0	Location 8
7	Aisle 1	Location 12
8	Aisle 1	Location 9
Order 3	number of articles 22	due date 259.042
0	Aisle 2	Location 19
1	Aisle 1	Location 30
2	Aisle 0	Location 17
3	Aisle 1	Location 0
4	Aisle 17	Location 7
5	Aisle 3	Location 8
6	Aisle 8	Location 33
7	Aisle 1	Location 16
8	Aisle 1	Location 44
9	Aisle 1	Location 15
10	Aisle 5	Location 4
11	Aisle 5	Location 14
12	Aisle 0	Location 8
13	Aisle 1	Location 36
14	Aisle 3	Location 10
15	Aisle 2	Location 14
16	Aisle 3	Location 11
17	Aisle 3	Location 9
18	Aisle 0	Location 5
19	Aisle 2	Location 21
20	Aisle 5	Location 43
21	Aisle 4	Location 11
Order 4	number of articles 11	due date 207.042
0	Aisle 5	Location 2
1	Aisle 14	Location 13
2	Aisle 0	Location 11
3	Aisle 1	Location 30
4	Aisle 1	Location 1
5	Aisle 5	Location 5
6	Aisle 0	Location 30
7	Aisle 0	Location 28
8	Aisle 1	Location 38
9	Aisle 9	Location 18
10	Aisle 2	Location 17
Order 5	number of articles 7	due date 78.0417
0	Aisle 0	Location 33
1	Aisle 6	Location 44
2	Aisle 2	Location 27
3	Aisle 1	Location 28
4	Aisle 1	Location 0
5	Aisle 0	Location 7
6	Aisle 0	Location 30
Order 6	number of articles 13	due date 129.042
0	Aisle 0	Location 20
1	Aisle 2	Location 6
2	Aisle 1	Location 10
3	Aisle 0	Location 27
4	Aisle 4	Location 43
5	Aisle 1	Location 17
6	Aisle 4	Location 10
7	Aisle 5	Location 28
8	Aisle 6	Location 17
9	Aisle 5	Location 36
10	Aisle 5	Location 27
11	Aisle 1	Location 14
12	Aisle 2	Location 43
Order 7	number of articles 21	due date 589.042
0	Aisle 0	Location 36
1	Aisle 1	Location 17
2	Aisle 0	Location 44
3	Aisle 0	Location 31
4	Aisle 5	Location 6
5	Aisle 19	Location 37
6	Aisle 0	Location 11
7	Aisle 0	Location 34
8	Aisle 0	Location 20
9	Aisle 4	Location 37
10	Aisle 0	Location 17
11	Aisle 12	Location 17
12	Aisle 4	Location 11
13	Aisle 5	Location 26
14	Aisle 4	Location 43
15	Aisle 0	Location 4
16	Aisle 1	Location 41
17	Aisle 4	Location 7
18	Aisle 1	Location 26
19	Aisle 0	Location 33
20	Aisle 5	Location 29
Order 8	number of articles 13	due date 153.042
0	Aisle 0	Location 7
1	Aisle 1	Location 7
2	Aisle 1	Location 22
3	Aisle 5	Location 29
4	Aisle 3	Location 23
5	Aisle 0	Location 44
6	Aisle 0	Location 35
7	Aisle 4	Location 7
8	Aisle 0	Location 5
9	Aisle 4	Location 40
10	Aisle 3	Location 39
11	Aisle 5	Location 5
12	Aisle 5	Location 1
Order 9	number of articles 17	due date 553.042
0	Aisle 0	Location 0
1	Aisle 3	Location 34
2	Aisle 13	Location 40
3	Aisle 1	Location 6
4	Aisle 1	Location 38
5	Aisle 0	Location 7
6	Aisle 2	Location 27
7	Aisle 0	Location 34
8	Aisle 7	Location 7
9	Aisle 5	Location 40
10	Aisle 0	Location 38
11	Aisle 4	Location 38
12	Aisle 1	Location 40
13	Aisle 5	Location 7
14	Aisle 10	Location 13
15	Aisle 4	Location 39
16	Aisle 5	Location 5
Order 10	number of articles 23	due date 115.042
0	Aisle 5	Location 16
1	Aisle 2	Location 25
2	Aisle 4	Location 3
3	Aisle 0	Location 13
4	Aisle 4	Location 8
5	Aisle 1	Location 38
6	Aisle 1	Location 19
7	Aisle 2	Location 16
8	Aisle 4	Location 28
9	Aisle 0	Location 12
10	Aisle 15	Location 26
11	Aisle 3	Location 42
12	Aisle 2	Location 38
13	Aisle 1	Location 39
14	Aisle 0	Location 44
15	Aisle 0	Location 21
16	Aisle 13	Location 25
17	Aisle 1	Location 29
18	Aisle 3	Location 17
19	Aisle 1	Location 25
20	Aisle 12	Location 23
21	Aisle 1	Location 41
22	Aisle 1	Location 36
Order 11	number of articles 24	due date 131.042
0	Aisle 1	Location 8
1	Aisle 3	Location 19
2	Aisle 1	Location 20
3	Aisle 0	Location 17
4	Aisle 4	Location 39
5	Aisle 3	Location 18
6	Aisle 7	Location 8
7	Aisle 1	Location 3
8	Aisle 3	Location 40
9	Aisle 2	Location 28
10	Aisle 2	Location 7
11	Aisle 1	Location 36
12	Aisle 1	Location 6
13	Aisle 0	Location 19
14	Aisle 3	Location 37
15	Aisle 5	Location 26
16	Aisle 11	Location 19
17	Aisle 1	Location 16
18	Aisle 2	Location 40
19	Aisle 2	Location 36
20	Aisle 3	Location 43
21	Aisle 7	Location 13
22	Aisle 10	Location 41
23	Aisle 0	Location 23
Order 12	number of articles 21	due date 249.042
0	Aisle 0	Location 33
1	Aisle 2	Location 13
2	Aisle 1	Location 33
3	Aisle 1	Location 6
4	Aisle 1	Location 34
5	Aisle 0	Location 41
6	Aisle 15	Location 15
7	Aisle 1	Location 40
8	Aisle 0	Location 9
9	Aisle 0	Location 2
10	Aisle 0	Location 4
11	Aisle 2	Location 11
12	Aisle 14	Location 20
13	Aisle 3	Location 43
14	Aisle 4	Location 32
15	Aisle 0	Location 44
16	Aisle 5	Location 15
17	Aisle 4	Location 29
18	Aisle 1	Location 20
19	Aisle 1	Location 17
20	Aisle 3	Location 19
Order 13	number of articles 10	due date 517.042
0	Aisle 5	Location 14
1	Aisle 0	Location 7
2	Aisle 1	Location 6
3	Aisle 1	Location 7
4	Aisle 5	Location 6
5	Aisle 4	Location 12
6	Aisle 1	Location 1
7	Aisle 5	Location 33
8	Aisle 0	Location 30
9	Aisle 4	Location 0
Order 14	number of articles 5	due date 101.042
0	Aisle 4	Location 22
1	Aisle 0	Location 36
2	Aisle 3	Location 11
3	Aisle 4	Location 30
4	Aisle 5	Location 33
Order 15	number of articles 19	due date 537.042
0	Aisle 9	Location 1
1	Aisle 0	Location 40
2	Aisle 0	Location 7
3	Aisle 4	Location 13
4	Aisle 0	Location 36
5	Aisle 5	Location 24
6	Aisle 1	Location 18
7	Aisle 1	Location 8
8	Aisle 19	Location 28
9	Aisle 1	Location 39
10	Aisle 2	Location 7
11	Aisle 1	Location 43
12	Aisle 1	Location 41
13	Aisle 19	Location 42
14	Aisle 3	Location 2
15	Aisle 1	Location 3
16	Aisle 1	Location 30
17	Aisle 2	Location 44
18	Aisle 2	Location 12
Order 16	number of articles 12	due date 510.042
0	Aisle 1	Location 24
1	Aisle 1	Location 25
2	Aisle 1	Location 19
3	Aisle 0	Location 23
4	Aisle 4	Location 34
5	Aisle 3	Location 24
6	Aisle 5	Location 37
7	Aisle 2	Location 35
8	Aisle 0	Location 43
9	Aisle 0	Location 25
10	Aisle 0	Location 16
11	Aisle 4	Location 6
Order 17	number of articles 18	due date 456.042
0	Aisle 0	Location 30
1	Aisle 0	Location 10
2	Aisle 2	Location 36
3	Aisle 0	Location 25
4	Aisle 5	Location 32
5	Aisle 0	Location 41
6	Aisle 1	Location 38
7	Aisle 0	Location 24
8	Aisle 0	Location 1
9	Aisle 0	Location 43
10	Aisle 1	Location 11
11	Aisle 0	Location 39
12	Aisle 0	Location 37
13	Aisle 1	Location 29
14	Aisle 5	Location 9
15	Aisle 1	Location 34
16	Aisle 0	Location 26
17	Aisle 4	Location 9
Order 18	number of articles 19	due date 464.042
0	Aisle 0	Location 6
1	Aisle 0	Location 12
2	Aisle 0	Location 32
3	Aisle 1	Location 37
4	Aisle 1	Location 1
5	Aisle 4	Location 41
6	Aisle 1	Location 42
7	Aisle 1	Location 39
8	Aisle 1	Location 31
9	Aisle 15	Location 16
10	Aisle 0	Location 9
11	Aisle 0	Location 7
12	Aisle 1	Location 8
13	Aisle 0	Location 22
14	Aisle 0	Location 19
15	Aisle 8	Location 8
16	Aisle 5	Location 42
17	Aisle 2	Location 38
18	Aisle 0	Location 28
Order 19	number of articles 5	due date 188.042
0	Aisle 0	Location 2
1	Aisle 4	Location 28
2	Aisle 3	Location 9
3	Aisle 1	Location 28
4	Aisle 0	Location 29
Order 20	number of articles 15	due date 432.042
0	Aisle 1	Location 36
1	Aisle 5	Location 24
2	Aisle 0	Location 3
3	Aisle 1	Location 21
