Order 0	number of articles 11	due date 166.292
0	Aisle 1	Location 2
1	Aisle 0	Location 33
2	Aisle 10	Location 33
3	Aisle 0	Location 6
4	Aisle 1	Location 12
5	Aisle 2	Location 7
6	Aisle 0	Location 27
7	Aisle 4	Location 3
8	Aisle 1	Location 13
9	Aisle 2	Location 5
10	Aisle 5	Location 21
Order 1	number of articles 14	due date 67.2917
0	Aisle 1	Location 7
1	Aisle 0	Location 2
2	Aisle 0	Location 34
3	Aisle 0	Location 39
4	Aisle 0	Location 10
5	Aisle 0	Location 17
6	Aisle 0	Location 5
7	Aisle 15	Location 20
8	Aisle 0	Location 24
9	Aisle 16	Location 13
10	Aisle 1	Location 19
11	Aisle 0	Location 4
12	Aisle 4	Location 31
13	Aisle 1	Location 33
Order 2	number of articles 18	due date 142.292
0	Aisle 1	Location 7
1	Aisle 1	Location 29
2	Aisle 0	Location 24
3	Aisle 1	Location 1
4	Aisle 4	Location 14
5	Aisle 1	Location 32
6	Aisle 17	Location 23
7	Aisle 2	Location 29
8	Aisle 14	Location 6
9	Aisle 4	Location 8
10	Aisle 1	Location 28
11	Aisle 0	Location 33
12	Aisle 0	Location 4
13	Aisle 3	Location 23
14	Aisle 0	Location 18
15	Aisle 1	Location 19
16	Aisle 0	Location 41
17	Aisle 4	Location 27
Order 3	number of articles 14	due date 201.292
0	Aisle 1	Location 20
1	Aisle 4	Location 22
2	Aisle 1	Location 28
3	Aisle 0	Location 14
4	Aisle 4	Location 11
5	Aisle 1	Location 43
6	Aisle 10	Location 3
7	Aisle 9	Location 26
8	Aisle 0	Location 20
9	Aisle 1	Location 23
10	Aisle 14	Location 0
11	Aisle 0	Location 22
12	Aisle 0	Location 11
13	Aisle 1	Location 11
Order 4	number of articles 22	due date 230.292
0	Aisle 9	Location 34
1	Aisle 0	Location 5
2	Aisle 1	Location 41
3	Aisle 0	Location 29
4	Aisle 1	Location 3
5	Aisle 0	Location 30
6	Aisle 2	Location 38
7	Aisle 1	Location 11
8	Aisle 3	Location 39
9	Aisle 0	Location 9
10	Aisle 5	Location 9
11	Aisle 0	Location 27
12	Aisle 2	Location 26
13	Aisle 1	Location 24
14	Aisle 1	Location 10
15	Aisle 2	Location 39
