Order 0	number of articles 8	due date 67.4792
0	Aisle 15	Location 10
1	Aisle 9	Location 27
2	Aisle 0	Location 32
3	Aisle 1	Location 8
4	Aisle 8	Location 5
5	Aisle 10	Location 12
6	Aisle 3	Location 19
7	Aisle 1	Location 3
Order 1	number of articles 11	due date 93.4792
0	Aisle 1	Location 38
1	Aisle 4	Location 21
2	Aisle 0	Location 43
3	Aisle 12	Location 25
4	Aisle 0	Location 24
5	Aisle 1	Location 33
6	Aisle 1	Location 18
7	Aisle 18	Location 3
8	Aisle 1	Location 10
9	Aisle 1	Location 11
10	Aisle 0	Location 34
Order 2	number of articles 21	due date 46.4792
0	Aisle 1	Location 14
1	Aisle 4	Location 12
2	Aisle 0	Location 31
3	Aisle 2	Location 22
4	Aisle 4	Location 17
5	Aisle 4	Location 28
6	Aisle 1	Location 6
7	Aisle 11	Location 28
8	Aisle 1	Location 12
9	Aisle 1	Location 33
10	Aisle 0	Location 25
11	Aisle 2	Location 29
12	Aisle 0	Location 16
13	Aisle 3	Location 34
14	Aisle 0	Location 39
15	Aisle 4	Location 0
16	Aisle 0	Location 15
17	Aisle 1	Location 18
18	Aisle 0	Location 33
19	Aisle 5	Location 15
20	Aisle 0	Location 36
Order 3	number of articles 23	due date 172.479
0	Aisle 0	Location 18
1	Aisle 1	Location 22
2	Aisle 4	Location 21
3	Aisle 3	Location 36
4	Aisle 1	Location 28
5	Aisle 0	Location 35
6	Aisle 1	Location 35
7	Aisle 1	Location 5
8	Aisle 5	Location 15
9	Aisle 1	Location 30
10	Aisle 4	Location 13
11	Aisle 1	Location 42
12	Aisle 4	Location 3
13	Aisle 0	Location 37
14	Aisle 0	Location 39
15	Aisle 2	Location 25
16	Aisle 5	Location 42
17	Aisle 5	Location 4
18	Aisle 5	Location 19
19	Aisle 2	Location 6
20	Aisle 1	Location 36
21	Aisle 11	Location 4
22	Aisle 16	Location 37
Order 4	number of articles 21	due date 40.4792
0	Aisle 14	Location 15
1	Aisle 13	Location 38
2	Aisle 4	Location 26
3	Aisle 3	Location 27
4	Aisle 2	Location 18
5	Aisle 4	Location 19
6	Aisle 0	Location 34
7	Aisle 1	Location 35
8	Aisle 9	Location 26
9	Aisle 0	Location 32
10	Aisle 1	Location 14
11	Aisle 0	Location 36
12	Aisle 0	Location 27
