Order 0	number of articles 16	due date 198.542
0	Aisle 1	Location 42
1	Aisle 3	Location 32
2	Aisle 8	Location 14
3	Aisle 0	Location 1
4	Aisle 0	Location 29
5	Aisle 1	Location 38
6	Aisle 8	Location 29
7	Aisle 1	Location 37
8	Aisle 0	Location 25
9	Aisle 0	Location 39
10	Aisle 4	Location 21
11	Aisle 1	Location 30
12	Aisle 1	Location 29
13	Aisle 4	Location 15
14	Aisle 4	Location 5
15	Aisle 5	Location 43
Order 1	number of articles 15	due date 32.5417
0	Aisle 13	Location 12
1	Aisle 2	Location 37
2	Aisle 6	Location 9
3	Aisle 1	Location 23
4	Aisle 1	Location 5
5	Aisle 0	Location 42
6	Aisle 0	Location 13
7	Aisle 1	Location 21
8	Aisle 1	Location 18
9	Aisle 1	Location 33
10	Aisle 3	Location 31
11	Aisle 4	Location 34
12	Aisle 1	Location 2
13	Aisle 1	Location 29
14	Aisle 1	Location 7
Order 2	number of articles 9	due date 84.5417
0	Aisle 1	Location 13
1	Aisle 1	Location 16
2	Aisle 1	Location 10
3	Aisle 4	Location 43
4	Aisle 5	Location 11
5	Aisle 1	Location 38
6	Aisle 10	Location 10
7	Aisle 1	Location 30
8	Aisle 1	Location 5
Order 3	number of articles 13	due date 116.542
0	Aisle 1	Location 25
1	Aisle 5	Location 41
2	Aisle 0	Location 1
3	Aisle 0	Location 3
4	Aisle 0	Location 37
5	Aisle 0	Location 24
6	Aisle 1	Location 33
7	Aisle 0	Location 12
8	Aisle 4	Location 1
9	Aisle 0	Location 26
10	Aisle 1	Location 21
11	Aisle 2	Location 41
12	Aisle 0	Location 35
Order 4	number of articles 23	due date 122.542
0	Aisle 0	Location 39
1	Aisle 0	Location 25
2	Aisle 0	Location 35
3	Aisle 1	Location 7
4	Aisle 16	Location 9
5	Aisle 3	Location 41
6	Aisle 2	Location 40
7	Aisle 4	Location 18
8	Aisle 1	Location 27
9	Aisle 3	Location 43
10	Aisle 3	Location 22
11	Aisle 14	Location 32
12	Aisle 1	Location 23
13	Aisle 1	Location 18
14	Aisle 1	Location 26
15	Aisle 0	Location 28
16	Aisle 1	Location 0
17	Aisle 1	Location 6
18	Aisle 19	Location 38
19	Aisle 1	Location 34
20	Aisle 1	Location 31
21	Aisle 1	Location 4
22	Aisle 1	Location 1
