Order 0	number of articles 13	due date 187.375
0	Aisle 1	Location 3
1	Aisle 0	Location 31
2	Aisle 0	Location 29
3	Aisle 4	Location 32
4	Aisle 18	Location 22
5	Aisle 0	Location 41
6	Aisle 0	Location 25
7	Aisle 0	Location 21
8	Aisle 0	Location 30
9	Aisle 4	Location 15
10	Aisle 1	Location 17
11	Aisle 5	Location 13
12	Aisle 3	Location 0
Order 1	number of articles 13	due date 65.375
0	Aisle 1	Location 28
1	Aisle 3	Location 23
2	Aisle 1	Location 42
3	Aisle 1	Location 5
4	Aisle 5	Location 21
5	Aisle 2	Location 6
6	Aisle 0	Location 24
7	Aisle 0	Location 11
8	Aisle 5	Location 14
9	Aisle 1	Location 24
10	Aisle 1	Location 35
11	Aisle 0	Location 6
12	Aisle 0	Location 27
Order 2	number of articles 14	due date 350.375
0	Aisle 0	Location 31
1	Aisle 16	Location 19
2	Aisle 0	Location 0
3	Aisle 0	Location 19
4	Aisle 0	Location 9
5	Aisle 2	Location 32
6	Aisle 1	Location 1
7	Aisle 9	Location 36
8	Aisle 5	Location 11
9	Aisle 3	Location 32
10	Aisle 0	Location 6
11	Aisle 1	Location 32
12	Aisle 1	Location 15
13	Aisle 3	Location 29
Order 3	number of articles 16	due date 264.375
0	Aisle 3	Location 14
1	Aisle 4	Location 32
2	Aisle 17	Location 12
3	Aisle 0	Location 28
4	Aisle 5	Location 24
5	Aisle 1	Location 11
6	Aisle 0	Location 34
7	Aisle 0	Location 20
8	Aisle 3	Location 9
9	Aisle 1	Location 24
10	Aisle 5	Location 27
11	Aisle 4	Location 31
12	Aisle 0	Location 33
13	Aisle 1	Location 26
14	Aisle 0	Location 17
15	Aisle 1	Location 29
Order 4	number of articles 17	due date 392.375
0	Aisle 1	Location 3
1	Aisle 4	Location 7
2	Aisle 0	Location 12
3	Aisle 14	Location 39
4	Aisle 2	Location 33
5	Aisle 14	Location 21
6	Aisle 2	Location 43
7	Aisle 0	Location 19
8	Aisle 1	Location 36
9	Aisle 0	Location 40
10	Aisle 1	Location 23
11	Aisle 5	Location 42
12	Aisle 0	Location 9
13	Aisle 0	Location 1
14	Aisle 3	Location 19
15	Aisle 9	Location 37
16	Aisle 1	Location 30
Order 5	number of articles 23	due date 100.375
0	Aisle 3	Location 26
1	Aisle 0	Location 0
2	Aisle 1	Location 29
3	Aisle 5	Location 31
4	Aisle 0	Location 33
5	Aisle 0	Location 27
6	Aisle 0	Location 21
7	Aisle 5	Location 9
8	Aisle 0	Location 9
9	Aisle 1	Location 24
10	Aisle 3	Location 28
11	Aisle 0	Location 4
12	Aisle 4	Location 16
13	Aisle 2	Location 28
14	Aisle 2	Location 27
15	Aisle 3	Location 23
16	Aisle 5	Location 19
17	Aisle 5	Location 8
18	Aisle 0	Location 28
19	Aisle 4	Location 7
20	Aisle 17	Location 43
21	Aisle 1	Location 7
22	Aisle 5	Location 18
Order 6	number of articles 6	due date 285.375
0	Aisle 0	Location 15
1	Aisle 2	Location 24
2	Aisle 11	Location 5
3	Aisle 8	Location 8
4	Aisle 0	Location 11
5	Aisle 0	Location 20
Order 7	number of articles 20	due date 178.375
