Order 0	number of articles 20	due date 27.3958
0	Aisle 2	Location 40
1	Aisle 4	Location 4
2	Aisle 19	Location 19
3	Aisle 5	Location 31
4	Aisle 0	Location 6
5	Aisle 3	Location 26
6	Aisle 7	Location 18
7	Aisle 2	Location 20
8	Aisle 4	Location 5
9	Aisle 15	Location 27
10	Aisle 1	Location 10
11	Aisle 1	Location 18
12	Aisle 3	Location 14
13	Aisle 3	Location 9
14	Aisle 8	Location 39
15	Aisle 0	Location 1
16	Aisle 5	Location 41
17	Aisle 2	Location 16
18	Aisle 4	Location 29
19	Aisle 0	Location 0
Order 1	number of articles 6	due date 191.396
0	Aisle 2	Location 26
1	Aisle 4	Location 38
2	Aisle 0	Location 0
3	Aisle 4	Location 27
4	Aisle 1	Location 19
5	Aisle 1	Location 8
Order 2	number of articles 11	due date 123.396
0	Aisle 1	Location 31
1	Aisle 5	Location 32
2	Aisle 4	Location 32
3	Aisle 0	Location 17
4	Aisle 2	Location 43
5	Aisle 1	Location 34
6	Aisle 0	Location 19
7	Aisle 19	Location 25
8	Aisle 0	Location 10
9	Aisle 0	Location 23
10	Aisle 2	Location 27
Order 3	number of articles 16	due date 104.396
0	Aisle 11	Location 21
1	Aisle 3	Location 5
2	Aisle 1	Location 40
3	Aisle 2	Location 21
4	Aisle 0	Location 34
5	Aisle 0	Location 29
6	Aisle 17	Location 5
7	Aisle 5	Location 26
8	Aisle 19	Location 37
9	Aisle 17	Location 19
10	Aisle 0	Location 2
11	Aisle 0	Location 5
12	Aisle 0	Location 32
13	Aisle 1	Location 19
14	Aisle 1	Location 22
15	Aisle 12	Location 21
Order 4	number of articles 8	due date 81.3958
0	Aisle 1	Location 23
1	Aisle 4	Location 9
2	Aisle 3	Location 30
3	Aisle 1	Location 20
4	Aisle 0	Location 6
5	Aisle 3	Location 22
6	Aisle 0	Location 34
7	Aisle 1	Location 30
Order 5	number of articles 21	due date 208.396
0	Aisle 1	Location 44
1	Aisle 0	Location 39
2	Aisle 2	Location 28
3	Aisle 0	Location 12
4	Aisle 1	Location 40
5	Aisle 2	Location 42
6	Aisle 17	Location 37
7	Aisle 0	Location 31
8	Aisle 0	Location 2
9	Aisle 0	Location 40
10	Aisle 1	Location 37
11	Aisle 1	Location 28
12	Aisle 2	Location 0
13	Aisle 0	Location 10
14	Aisle 1	Location 6
15	Aisle 0	Location 22
16	Aisle 2	Location 35
17	Aisle 0	Location 42
18	Aisle 1	Location 32
19	Aisle 1	Location 8
20	Aisle 3	Location 16
Order 6	number of articles 21	due date 160.396
0	Aisle 1	Location 9
1	Aisle 1	Location 27
2	Aisle 1	Location 39
3	Aisle 18	Location 6
4	Aisle 0	Location 29
5	Aisle 11	Location 37
6	Aisle 1	Location 43
7	Aisle 0	Location 25
8	Aisle 2	Location 0
9	Aisle 0	Location 18
10	Aisle 5	Location 15
11	Aisle 1	Location 38
12	Aisle 1	Location 32
13	Aisle 15	Location 0
14	Aisle 0	Location 22
15	Aisle 2	Location 32
16	Aisle 0	Location 5
17	Aisle 1	Location 36
18	Aisle 0	Location 2
19	Aisle 3	Location 26
20	Aisle 13	Location 4
Order 7	number of articles 9	due date 12.3958
0	Aisle 0	Location 21
1	Aisle 1	Location 31
2	Aisle 1	Location 26
3	Aisle 5	Location 19
4	Aisle 2	Location 43
5	Aisle 2	Location 34
6	Aisle 5	Location 41
7	Aisle 0	Location 29
8	Aisle 3	Location 23
Order 8	number of articles 7	due date 44.3958
0	Aisle 0	Location 2
1	Aisle 2	Location 32
2	Aisle 4	Location 4
3	Aisle 0	Location 3
4	Aisle 5	Location 17
5	Aisle 4	Location 14
6	Aisle 0	Location 17
Order 9	number of articles 10	due date 83.3958
0	Aisle 1	Location 39
1	Aisle 0	Location 24
2	Aisle 5	Location 7
3	Aisle 3	Location 27
4	Aisle 4	Location 43
5	Aisle 0	Location 9
6	Aisle 0	Location 25
7	Aisle 1	Location 23
8	Aisle 14	Location 18
9	Aisle 1	Location 34
Order 10	number of articles 16	due date 176.396
0	Aisle 3	Location 29
1	Aisle 0	Location 24
2	Aisle 1	Location 29
3	Aisle 1	Location 35
4	Aisle 16	Location 6
5	Aisle 0	Location 31
6	Aisle 14	Location 25
7	Aisle 0	Location 36
8	Aisle 0	Location 26
9	Aisle 0	Location 15
10	Aisle 0	Location 10
11	Aisle 1	Location 12
12	Aisle 4	Location 28
13	Aisle 4	Location 38
14	Aisle 1	Location 8
15	Aisle 5	Location 20
Order 11	number of articles 23	due date 206.396
0	Aisle 4	Location 37
1	Aisle 0	Location 17
2	Aisle 2	Location 3
3	Aisle 17	Location 32
4	Aisle 1	Location 7
5	Aisle 0	Location 38
6	Aisle 0	Location 7
7	Aisle 5	Location 16
8	Aisle 1	Location 15
9	Aisle 17	Location 41
10	Aisle 1	Location 12
11	Aisle 4	Location 3
12	Aisle 1	Location 16
13	Aisle 3	Location 26
14	Aisle 18	Location 24
15	Aisle 4	Location 40
16	Aisle 4	Location 6
17	Aisle 0	Location 16
18	Aisle 3	Location 39
19	Aisle 4	Location 11
20	Aisle 0	Location 31
21	Aisle 1	Location 29
22	Aisle 2	Location 4
Order 12	number of articles 19	due date 20.3958
0	Aisle 5	Location 2
1	Aisle 4	Location 42
2	Aisle 2	Location 15
3	Aisle 1	Location 43
4	Aisle 0	Location 36
5	Aisle 0	Location 12
6	Aisle 1	Location 41
7	Aisle 4	Location 24
8	Aisle 0	Location 16
9	Aisle 18	Location 24
10	Aisle 0	Location 3
11	Aisle 1	Location 42
12	Aisle 1	Location 15
13	Aisle 1	Location 31
14	Aisle 0	Location 30
15	Aisle 0	Location 22
16	Aisle 1	Location 35
17	Aisle 0	Location 10
