no_aisles_: 10
no_cells__: 45
opgrade___: 1
cell_lengt: 1
cell_width: 1.5
aisle_widt: 2
dis_ais_wa: 1
no_aisle_a: 1
no_aisle_b: 3
no_aisle_c: 6
arrangemen: c
routing___: s
type______: n
no_orders_: 40
a_p_or_mea: 15
a_p_or_var: 10
qntity_exp: 1
prop_cla_a: 52
prop_cla_b: 36
prop_cla_c: 12
no_instanc: 50
start_time: 0
MTCR______: 0.5
m_no_o_p_b: 500000
m_no_a_p_b: 75
m_ca_p_b__: 200000
no_of_work: 1
speed_move: 48
speed_pick: 6
art_capacy: 25025
empty_posi: 21190
chaotical_: 27496
21854,22293,16790,26580,26059,
29700,25200,30615,21458,30015,
4875,1562,3978,13203,3543,
21919,15741,16246,26431,6007,
15879,23264,28715,21621,17407,
17756,8650,14756,16025,3678,
30350,7477,6795,25047,21624,
20411,7791,775,27797,3483,
26217,27026,13257,9405,17161,
13527,22731,8840,32627,27005,
23409,7694,21181,11598,10542,
29315,152,30025,25305,32244,
27955,23026,12207,14389,10332,
1517,16796,13852,13289,29387,
28342,27884,2390,26660,1034,
18964,8879,28902,13724,29466,
2736,15084,20393,16850,14380,
5331,3375,20691,14507,32265,
14256,11307,28247,32038,29746,
31314,25881,12416,24970,12637,
767,19705,27610,11380,6113,
32540,31065,13702,4164,25193,
21586,22331,20350,748,30320,
2859,29979,7445,6456,6221,
4480,4035,12247,13746,3534,
13474,11806,17779,19209,4791,
16587,15336,15482,7993,23306,
1818,337,163,15675,2683,
16783,2055,22774,725,21027,
21669,13900,26241,25683,21948,
15952,5593,17502,7840,3799,
28655,27488,16653,15227,8064,
26741,8635,8166,13347,25889,
31538,10061,23494,18672,736,
11578,20571,16473,25705,23439,
19919,10984,1854,10696,9276,
13469,21105,24960,14943,7823,
25288,19510,5196,31444,26384,
28242,12896,24485,5811,29539,
23672,21950,30349,12203,11616,
1540,24572,23261,29327,27242,
32310,26661,13329,1557,13792,
8041,30916,26815,10972,23503,
6855,345,22626,4991,16432,
1012,28498,3242,19453,26337,
28360,25547,23374,15127,10993,
18220,8913,25558,13854,2988,
16509,29066,24599,32449,21891,
9202,16306,6585,31873,22401,
31396,31301,28665,25093,16278,
