Order 0	number of articles 16	due date 148.521
0	Aisle 0	Location 9
1	Aisle 0	Location 41
2	Aisle 4	Location 2
3	Aisle 1	Location 5
4	Aisle 0	Location 25
5	Aisle 0	Location 13
6	Aisle 4	Location 8
7	Aisle 3	Location 20
8	Aisle 5	Location 35
9	Aisle 3	Location 1
10	Aisle 1	Location 0
11	Aisle 1	Location 16
12	Aisle 12	Location 9
13	Aisle 1	Location 36
14	Aisle 1	Location 15
15	Aisle 7	Location 4
Order 1	number of articles 7	due date 140.521
0	Aisle 5	Location 3
1	Aisle 9	Location 42
2	Aisle 12	Location 12
3	Aisle 1	Location 24
4	Aisle 0	Location 4
5	Aisle 5	Location 24
6	Aisle 1	Location 6
Order 2	number of articles 24	due date 176.521
0	Aisle 1	Location 16
1	Aisle 14	Location 2
2	Aisle 5	Location 35
3	Aisle 1	Location 6
4	Aisle 0	Location 7
5	Aisle 0	Location 1
6	Aisle 0	Location 12
7	Aisle 0	Location 31
8	Aisle 4	Location 41
9	Aisle 17	Location 16
10	Aisle 4	Location 43
11	Aisle 18	Location 2
12	Aisle 1	Location 38
13	Aisle 4	Location 6
14	Aisle 5	Location 6
15	Aisle 4	Location 7
16	Aisle 4	Location 12
17	Aisle 4	Location 26
18	Aisle 1	Location 9
19	Aisle 0	Location 17
20	Aisle 1	Location 11
21	Aisle 0	Location 6
22	Aisle 0	Location 4
23	Aisle 10	Location 39
Order 3	number of articles 9	due date 40.5208
0	Aisle 15	Location 41
1	Aisle 2	Location 30
2	Aisle 9	Location 32
3	Aisle 0	Location 34
4	Aisle 4	Location 10
5	Aisle 1	Location 3
6	Aisle 1	Location 19
7	Aisle 4	Location 25
8	Aisle 4	Location 18
Order 4	number of articles 21	due date 186.521
0	Aisle 4	Location 13
1	Aisle 16	Location 36
2	Aisle 0	Location 21
3	Aisle 3	Location 38
4	Aisle 3	Location 21
5	Aisle 1	Location 16
6	Aisle 4	Location 3
7	Aisle 1	Location 43
8	Aisle 0	Location 39
9	Aisle 0	Location 11
10	Aisle 0	Location 12
11	Aisle 0	Location 27
12	Aisle 1	Location 8
13	Aisle 0	Location 14
14	Aisle 1	Location 30
15	Aisle 0	Location 2
16	Aisle 1	Location 21
17	Aisle 2	Location 1
18	Aisle 0	Location 20
19	Aisle 2	Location 33
20	Aisle 5	Location 23
Order 5	number of articles 11	due date 170.521
