Order 0	number of articles 11	due date 35.8333
0	Aisle 3	Location 16
1	Aisle 18	Location 9
2	Aisle 3	Location 33
3	Aisle 1	Location 34
4	Aisle 4	Location 17
5	Aisle 3	Location 19
6	Aisle 0	Location 5
7	Aisle 11	Location 31
8	Aisle 3	Location 1
9	Aisle 0	Location 23
10	Aisle 0	Location 16
Order 1	number of articles 13	due date 96.8333
0	Aisle 1	Location 15
1	Aisle 1	Location 28
2	Aisle 1	Location 26
3	Aisle 5	Location 32
4	Aisle 1	Location 20
5	Aisle 0	Location 27
6	Aisle 13	Location 17
7	Aisle 4	Location 8
8	Aisle 5	Location 1
9	Aisle 2	Location 10
10	Aisle 14	Location 41
11	Aisle 0	Location 43
12	Aisle 17	Location 16
Order 2	number of articles 18	due date 11.8333
0	Aisle 3	Location 3
1	Aisle 6	Location 2
2	Aisle 1	Location 4
3	Aisle 3	Location 12
4	Aisle 1	Location 21
5	Aisle 5	Location 18
6	Aisle 1	Location 17
7	Aisle 5	Location 26
8	Aisle 1	Location 40
9	Aisle 1	Location 31
10	Aisle 1	Location 13
11	Aisle 19	Location 31
12	Aisle 2	Location 9
13	Aisle 5	Location 0
14	Aisle 1	Location 3
15	Aisle 3	Location 30
16	Aisle 0	Location 27
17	Aisle 0	Location 8
Order 3	number of articles 17	due date 22.8333
0	Aisle 0	Location 34
1	Aisle 16	Location 13
2	Aisle 0	Location 43
3	Aisle 4	Location 34
4	Aisle 18	Location 3
5	Aisle 2	Location 18
6	Aisle 4	Location 39
7	Aisle 3	Location 38
8	Aisle 1	Location 24
9	Aisle 1	Location 33
10	Aisle 4	Location 5
11	Aisle 18	Location 8
12	Aisle 0	Location 41
13	Aisle 2	Location 25
14	Aisle 0	Location 16
15	Aisle 1	Location 11
16	Aisle 0	Location 27
Order 4	number of articles 22	due date 43.8333
0	Aisle 0	Location 37
1	Aisle 0	Location 8
2	Aisle 1	Location 19
3	Aisle 0	Location 28
4	Aisle 0	Location 30
5	Aisle 0	Location 32
6	Aisle 15	Location 35
7	Aisle 5	Location 12
8	Aisle 0	Location 34
9	Aisle 9	Location 37
10	Aisle 2	Location 18
11	Aisle 2	Location 32
12	Aisle 1	Location 17
13	Aisle 4	Location 36
14	Aisle 11	Location 17
15	Aisle 0	Location 44
16	Aisle 16	Location 23
17	Aisle 3	Location 32
18	Aisle 0	Location 43
19	Aisle 0	Location 23
20	Aisle 0	Location 3
21	Aisle 0	Location 20
Order 5	number of articles 18	due date 31.8333
0	Aisle 1	Location 26
1	Aisle 3	Location 13
2	Aisle 4	Location 21
3	Aisle 2	Location 39
4	Aisle 2	Location 44
5	Aisle 4	Location 38
6	Aisle 1	Location 7
7	Aisle 2	Location 22
8	Aisle 17	Location 30
9	Aisle 5	Location 24
10	Aisle 5	Location 39
11	Aisle 4	Location 30
12	Aisle 4	Location 5
13	Aisle 1	Location 13
14	Aisle 0	Location 17
15	Aisle 5	Location 3
16	Aisle 1	Location 15
17	Aisle 1	Location 6
Order 6	number of articles 20	due date 111.833
0	Aisle 3	Location 33
1	Aisle 6	Location 11
2	Aisle 2	Location 28
3	Aisle 9	Location 26
4	Aisle 0	Location 9
5	Aisle 5	Location 44
6	Aisle 6	Location 42
7	Aisle 5	Location 43
8	Aisle 5	Location 9
9	Aisle 0	Location 0
10	Aisle 1	Location 20
11	Aisle 0	Location 19
12	Aisle 2	Location 9
13	Aisle 0	Location 15
14	Aisle 0	Location 8
15	Aisle 11	Location 33
16	Aisle 19	Location 3
17	Aisle 3	Location 0
18	Aisle 1	Location 18
19	Aisle 2	Location 14
Order 7	number of articles 17	due date 96.8333
0	Aisle 5	Location 31
1	Aisle 0	Location 40
2	Aisle 9	Location 24
3	Aisle 1	Location 42
4	Aisle 1	Location 1
5	Aisle 0	Location 9
6	Aisle 1	Location 40
7	Aisle 1	Location 2
8	Aisle 0	Location 3
9	Aisle 2	Location 44
10	Aisle 1	Location 44
11	Aisle 3	Location 35
12	Aisle 2	Location 2
13	Aisle 0	Location 7
14	Aisle 0	Location 43
15	Aisle 4	Location 40
16	Aisle 2	Location 35
Order 8	number of articles 13	due date 102.833
0	Aisle 0	Location 19
1	Aisle 2	Location 43
2	Aisle 1	Location 34
3	Aisle 1	Location 0
4	Aisle 1	Location 7
5	Aisle 8	Location 40
6	Aisle 0	Location 0
7	Aisle 5	Location 36
8	Aisle 4	Location 29
9	Aisle 0	Location 28
10	Aisle 0	Location 5
11	Aisle 4	Location 42
12	Aisle 5	Location 6
Order 9	number of articles 20	due date 30.8333
0	Aisle 4	Location 39
1	Aisle 0	Location 13
2	Aisle 0	Location 21
3	Aisle 4	Location 35
4	Aisle 1	Location 8
5	Aisle 0	Location 2
6	Aisle 1	Location 13
7	Aisle 10	Location 26
8	Aisle 5	Location 29
9	Aisle 2	Location 29
10	Aisle 19	Location 27
11	Aisle 0	Location 6
12	Aisle 4	Location 23
13	Aisle 1	Location 7
14	Aisle 1	Location 24
15	Aisle 2	Location 2
16	Aisle 1	Location 44
17	Aisle 0	Location 31
18	Aisle 0	Location 39
19	Aisle 10	Location 15
Order 10	number of articles 18	due date 12.8333
0	Aisle 3	Location 20
1	Aisle 1	Location 24
2	Aisle 0	Location 15
3	Aisle 0	Location 39
4	Aisle 2	Location 18
5	Aisle 1	Location 12
6	Aisle 1	Location 44
7	Aisle 1	Location 14
