Order 0	number of articles 5	due date 15.9375
0	Aisle 0	Location 24
1	Aisle 5	Location 25
2	Aisle 2	Location 44
3	Aisle 2	Location 14
4	Aisle 3	Location 13
Order 1	number of articles 19	due date 233.938
0	Aisle 19	Location 8
1	Aisle 1	Location 15
2	Aisle 1	Location 20
3	Aisle 0	Location 3
4	Aisle 5	Location 36
5	Aisle 15	Location 0
6	Aisle 1	Location 12
7	Aisle 1	Location 42
8	Aisle 0	Location 38
9	Aisle 2	Location 17
10	Aisle 4	Location 40
11	Aisle 12	Location 35
12	Aisle 4	Location 6
13	Aisle 0	Location 39
14	Aisle 0	Location 4
15	Aisle 0	Location 42
16	Aisle 0	Location 37
17	Aisle 0	Location 1
18	Aisle 3	Location 21
Order 2	number of articles 14	due date 16.9375
0	Aisle 0	Location 40
1	Aisle 1	Location 13
2	Aisle 1	Location 42
3	Aisle 1	Location 10
4	Aisle 18	Location 3
5	Aisle 2	Location 5
6	Aisle 1	Location 28
7	Aisle 0	Location 41
8	Aisle 5	Location 25
9	Aisle 4	Location 4
10	Aisle 1	Location 2
11	Aisle 3	Location 10
12	Aisle 1	Location 40
13	Aisle 4	Location 3
Order 3	number of articles 10	due date 135.938
0	Aisle 3	Location 12
1	Aisle 16	Location 17
2	Aisle 1	Location 40
3	Aisle 0	Location 6
4	Aisle 0	Location 25
5	Aisle 8	Location 11
6	Aisle 10	Location 18
7	Aisle 0	Location 42
8	Aisle 0	Location 5
9	Aisle 3	Location 43
Order 4	number of articles 16	due date 126.938
0	Aisle 3	Location 37
1	Aisle 16	Location 24
2	Aisle 0	Location 17
3	Aisle 2	Location 12
4	Aisle 0	Location 37
5	Aisle 0	Location 14
6	Aisle 2	Location 27
7	Aisle 0	Location 41
8	Aisle 12	Location 13
9	Aisle 0	Location 34
10	Aisle 0	Location 3
11	Aisle 0	Location 35
12	Aisle 5	Location 7
13	Aisle 1	Location 44
14	Aisle 8	Location 11
15	Aisle 0	Location 11
Order 5	number of articles 17	due date 38.9375
0	Aisle 1	Location 16
1	Aisle 1	Location 35
2	Aisle 0	Location 43
3	Aisle 1	Location 43
4	Aisle 0	Location 44
5	Aisle 1	Location 13
6	Aisle 2	Location 37
7	Aisle 1	Location 32
8	Aisle 11	Location 38
9	Aisle 1	Location 3
10	Aisle 1	Location 28
11	Aisle 0	Location 10
12	Aisle 0	Location 32
13	Aisle 1	Location 12
14	Aisle 1	Location 40
15	Aisle 14	Location 43
16	Aisle 2	Location 20
Order 6	number of articles 21	due date 18.9375
0	Aisle 9	Location 22
1	Aisle 1	Location 10
2	Aisle 0	Location 39
3	Aisle 5	Location 3
4	Aisle 5	Location 19
5	Aisle 5	Location 10
6	Aisle 0	Location 17
7	Aisle 4	Location 43
8	Aisle 0	Location 28
9	Aisle 4	Location 23
10	Aisle 1	Location 35
11	Aisle 0	Location 40
12	Aisle 3	Location 44
13	Aisle 3	Location 37
14	Aisle 0	Location 43
15	Aisle 13	Location 14
16	Aisle 5	Location 29
17	Aisle 0	Location 44
18	Aisle 12	Location 25
19	Aisle 0	Location 0
20	Aisle 17	Location 6
Order 7	number of articles 16	due date 152.938
0	Aisle 1	Location 37
1	Aisle 1	Location 33
2	Aisle 10	Location 30
3	Aisle 0	Location 12
4	Aisle 1	Location 2
5	Aisle 18	Location 16
6	Aisle 4	Location 6
7	Aisle 3	Location 39
8	Aisle 0	Location 8
9	Aisle 5	Location 14
10	Aisle 0	Location 20
11	Aisle 2	Location 43
12	Aisle 1	Location 26
13	Aisle 0	Location 16
14	Aisle 0	Location 36
15	Aisle 4	Location 0
Order 8	number of articles 7	due date 25.9375
0	Aisle 0	Location 12
1	Aisle 4	Location 24
2	Aisle 3	Location 14
3	Aisle 0	Location 42
4	Aisle 16	Location 20
5	Aisle 0	Location 27
6	Aisle 1	Location 9
Order 9	number of articles 10	due date 125.938
0	Aisle 5	Location 9
1	Aisle 0	Location 33
2	Aisle 1	Location 31
3	Aisle 3	Location 21
4	Aisle 1	Location 10
5	Aisle 1	Location 44
6	Aisle 1	Location 6
7	Aisle 0	Location 39
8	Aisle 2	Location 6
9	Aisle 0	Location 27
Order 10	number of articles 13	due date 161.938
0	Aisle 0	Location 15
1	Aisle 1	Location 44
2	Aisle 3	Location 2
3	Aisle 2	Location 17
4	Aisle 5	Location 41
5	Aisle 1	Location 36
6	Aisle 17	Location 14
7	Aisle 1	Location 1
8	Aisle 4	Location 7
9	Aisle 3	Location 11
10	Aisle 0	Location 31
11	Aisle 0	Location 6
12	Aisle 0	Location 13
Order 11	number of articles 21	due date 37.9375
0	Aisle 1	Location 12
1	Aisle 2	Location 1
2	Aisle 0	Location 30
3	Aisle 1	Location 5
4	Aisle 4	Location 33
5	Aisle 0	Location 36
6	Aisle 0	Location 17
7	Aisle 0	Location 43
8	Aisle 4	Location 17
9	Aisle 10	Location 21
10	Aisle 3	Location 8
11	Aisle 1	Location 24
12	Aisle 0	Location 16
13	Aisle 4	Location 32
14	Aisle 1	Location 44
15	Aisle 1	Location 3
16	Aisle 1	Location 1
17	Aisle 0	Location 28
18	Aisle 1	Location 41
19	Aisle 15	Location 40
20	Aisle 0	Location 42
Order 12	number of articles 16	due date 18.9375
0	Aisle 0	Location 33
1	Aisle 1	Location 8
2	Aisle 9	Location 31
3	Aisle 3	Location 10
4	Aisle 2	Location 21
5	Aisle 4	Location 21
6	Aisle 2	Location 14
7	Aisle 3	Location 9
8	Aisle 3	Location 36
9	Aisle 4	Location 36
10	Aisle 2	Location 11
11	Aisle 1	Location 1
12	Aisle 0	Location 30
13	Aisle 17	Location 15
14	Aisle 1	Location 35
15	Aisle 5	Location 6
Order 13	number of articles 22	due date 138.938
0	Aisle 0	Location 20
1	Aisle 1	Location 25
2	Aisle 10	Location 4
3	Aisle 13	Location 11
4	Aisle 0	Location 28
5	Aisle 1	Location 1
6	Aisle 19	Location 23
7	Aisle 2	Location 33
8	Aisle 3	Location 26
9	Aisle 0	Location 16
10	Aisle 0	Location 31
11	Aisle 2	Location 18
12	Aisle 1	Location 27
13	Aisle 0	Location 1
14	Aisle 4	Location 39
15	Aisle 1	Location 9
16	Aisle 0	Location 5
17	Aisle 2	Location 30
18	Aisle 0	Location 24
19	Aisle 0	Location 2
20	Aisle 0	Location 23
21	Aisle 0	Location 15
Order 14	number of articles 20	due date 151.938
0	Aisle 19	Location 3
1	Aisle 14	Location 40
2	Aisle 0	Location 12
3	Aisle 8	Location 6
4	Aisle 1	Location 35
5	Aisle 2	Location 11
6	Aisle 2	Location 2
7	Aisle 2	Location 33
8	Aisle 1	Location 24
9	Aisle 0	Location 4
10	Aisle 1	Location 30
11	Aisle 4	Location 14
12	Aisle 1	Location 32
13	Aisle 2	Location 10
14	Aisle 17	Location 21
15	Aisle 1	Location 23
16	Aisle 0	Location 34
17	Aisle 15	Location 9
18	Aisle 2	Location 30
19	Aisle 15	Location 27
Order 15	number of articles 20	due date 52.9375
0	Aisle 3	Location 7
1	Aisle 1	Location 28
2	Aisle 2	Location 4
3	Aisle 5	Location 42
4	Aisle 0	Location 15
5	Aisle 9	Location 29
6	Aisle 0	Location 40
7	Aisle 5	Location 19
8	Aisle 2	Location 10
9	Aisle 1	Location 19
10	Aisle 11	Location 29
11	Aisle 0	Location 33
12	Aisle 3	Location 5
13	Aisle 15	Location 40
14	Aisle 1	Location 21
15	Aisle 1	Location 0
16	Aisle 0	Location 22
17	Aisle 1	Location 33
18	Aisle 0	Location 1
19	Aisle 4	Location 14
Order 16	number of articles 17	due date 221.938
0	Aisle 3	Location 38
1	Aisle 0	Location 30
2	Aisle 3	Location 14
3	Aisle 2	Location 32
4	Aisle 2	Location 28
5	Aisle 0	Location 7
6	Aisle 0	Location 14
7	Aisle 2	Location 40
8	Aisle 5	Location 26
9	Aisle 2	Location 11
10	Aisle 3	Location 16
11	Aisle 4	Location 26
12	Aisle 1	Location 1
13	Aisle 0	Location 19
14	Aisle 4	Location 35
15	Aisle 1	Location 8
16	Aisle 5	Location 22
Order 17	number of articles 21	due date 26.9375
0	Aisle 1	Location 26
1	Aisle 4	Location 21
2	Aisle 0	Location 31
3	Aisle 1	Location 13
4	Aisle 3	Location 29
5	Aisle 2	Location 11
6	Aisle 2	Location 33
7	Aisle 1	Location 28
8	Aisle 0	Location 12
9	Aisle 0	Location 32
10	Aisle 0	Location 10
11	Aisle 11	Location 12
12	Aisle 2	Location 15
13	Aisle 0	Location 17
14	Aisle 18	Location 33
15	Aisle 4	Location 20
16	Aisle 11	Location 5
17	Aisle 0	Location 37
18	Aisle 3	Location 0
19	Aisle 16	Location 19
20	Aisle 2	Location 8
Order 18	number of articles 21	due date 95.9375
0	Aisle 15	Location 22
1	Aisle 0	Location 44
2	Aisle 19	Location 17
3	Aisle 9	Location 37
4	Aisle 4	Location 38
5	Aisle 0	Location 43
6	Aisle 2	Location 14
7	Aisle 3	Location 10
8	Aisle 1	Location 26
9	Aisle 18	Location 7
10	Aisle 4	Location 0
11	Aisle 4	Location 24
12	Aisle 2	Location 23
13	Aisle 1	Location 40
14	Aisle 2	Location 4
15	Aisle 0	Location 34
16	Aisle 3	Location 28
17	Aisle 0	Location 14
18	Aisle 3	Location 37
19	Aisle 4	Location 44
20	Aisle 4	Location 26
Order 19	number of articles 6	due date 56.9375
0	Aisle 5	Location 12
1	Aisle 1	Location 28
2	Aisle 2	Location 7
3	Aisle 0	Location 22
4	Aisle 0	Location 0
5	Aisle 0	Location 42
