 1	10	171.54	 1	0.00	171.54	
 2	 6	26.90	11	0.41	26.49	
 3	 3	14.49	17	0.92	13.57	
 4	 7	106.94	20	0.95	105.98	
 5	 9	166.44	27	1.97	164.48	
 6	 7	118.91	36	2.34	116.57	
 7	 9	86.74	43	2.40	84.34	
 8	 4	76.94	52	2.91	74.02	
 9	 8	71.91	56	3.00	68.91	
10	 5	147.53	64	6.74	140.79	
11	 4	190.97	69	7.62	183.36	
12	 9	64.33	73	7.81	56.52	
13	 1	174.85	82	9.21	165.65	
14	 5	94.88	83	9.98	84.90	
15	 3	61.24	88	10.86	50.38	
16	 2	83.57	91	11.18	72.39	
17	 3	183.05	93	11.64	171.41	
18	 3	101.84	96	11.77	90.07	
19	 8	156.85	99	11.88	144.97	
20	10	136.39	107	11.89	124.50	
21	 5	38.38	117	12.08	26.29	
22	 3	119.34	122	16.66	102.68	
23	 8	128.20	125	17.08	111.11	
24	 3	52.50	133	17.40	35.10	
25	 2	159.58	136	18.32	141.25	
26	 4	84.08	138	19.67	64.42	
27	 5	115.23	142	21.14	94.09	
28	 3	66.64	147	21.52	45.12	
29	 9	57.90	150	26.77	31.13	
30	 4	203.26	159	29.93	173.34	
31	 7	37.55	163	29.98	7.57	
32	10	195.74	170	30.00	165.74	
33	 5	97.31	180	30.67	66.64	
34	 2	187.16	185	35.47	151.70	
35	 7	142.80	187	36.20	106.60	
36	 3	211.94	194	36.28	175.66	
37	 5	46.99	197	37.21	9.78	
38	 5	135.43	202	37.87	97.56	
39	 8	105.12	207	39.49	65.63	
40	 9	84.16	215	41.56	42.60	
