 1	 6	51.28	 1	0.00	51.28	
 2	 9	53.73	 7	0.73	53.00	
 3	 9	54.39	16	0.85	53.54	
 4	 6	15.05	25	1.69	13.35	
 5	 5	47.63	31	3.13	44.51	
 6	10	42.95	36	3.33	39.62	
 7	 2	42.10	46	3.49	38.61	
 8	 6	16.01	48	3.67	12.34	
 9	 2	10.81	54	3.92	6.89	
10	 8	18.32	56	4.09	14.23	
11	 4	63.90	64	5.98	57.92	
12	10	13.43	68	6.32	7.11	
13	 2	19.34	78	6.39	12.96	
14	 6	55.92	80	8.12	47.80	
15	 1	64.14	86	10.11	54.03	
16	 9	48.25	87	10.46	37.78	
17	 6	61.37	96	11.50	49.87	
18	 6	22.55	102	13.14	9.41	
19	 9	38.85	108	14.05	24.80	
20	10	74.96	117	14.49	60.47	
